DataType,Admin2,Admin1,Admin0,Population,CaseCount,X1,Y1,X2,Y2,X3,Y3,X4,Y4,X5,Y5,X6,Y6,X7,Y7,X8,Y8,X9,Y9
Confirmed,"","Andaman and Nicobar Islands","India",417035,7665,0,0.00,202,124.12,254,14.35,274,18.30,373,0.20,464,56.39,569,0.59,607,2.69,658,0.98
Confirmed,"","Andhra Pradesh","India",53903393,2069066,0,0.00,141,705.29,148,440.85,197,9647.87,208,8900.89,222,10518.13,390,59.17,480,21439.01,658,269.00
Confirmed,"","Arunachal Pradesh","India",1570457,55202,0,0.00,142,9.66,156,7.24,247,233.22,415,0.20,491,386.20,514,253.68,540,424.80,658,5.04
Confirmed,"","Assam","India",35607039,613061,0,0.00,141,443.28,150,233.29,202,2541.85,213,1911.53,224,2710.24,388,10.86,485,5659.96,658,236.49
Confirmed,"","Bihar","India",124799926,726144,0,0.00,141,715.68,151,200.09,202,3549.91,375,109.94,383,192.09,409,33.47,466,13616.37,658,4.10
Confirmed,"","Chandigarh","India",1158473,65373,0,0.00,236,311.63,273,57.23,302,117.42,386,20.64,470,827.94,558,3.37,578,340.40,658,2.76
Confirmed,"","Chhattisgarh","India",29436231,1006245,0,0.00,238,3084.73,297,1442.97,306,1870.25,363,507.48,372,1055.53,402,237.26,458,15324.26,658,20.57
Confirmed,"","Dadra and Nagar Haveli and Daman and Diu","India",615724,10682,0,0.00,168,25.40,173,21.01,199,49.07,292,2.14,301,4.07,381,0.05,457,214.55,658,0.00
Confirmed,"","Delhi","India",18710922,1440230,0,0.00,141,4634.06,187,1020.72,238,4071.17,258,2670.17,292,6926.36,385,129.53,457,24295.18,658,38.59
Confirmed,"","Goa","India",1586250,178399,0,0.00,204,406.79,212,344.77,239,553.80,391,46.19,471,3175.88,597,67.66,606,93.19,658,28.29
Confirmed,"","Gujarat","India",63872399,826826,0,0.00,140,2606.66,151,564.37,242,1419.75,283,950.90,311,1537.12,384,257.60,462,13931.77,658,26.03
Confirmed,"","Haryana","India",28204692,771368,0,0.00,141,830.80,158,444.43,237,2496.18,269,1134.02,303,2451.65,380,80.01,469,14027.42,658,13.41
Confirmed,"","Himachal Pradesh","India",7451954,225319,0,0.00,238,370.87,273,215.02,310,774.95,394,26.12,474,4194.99,545,100.81,567,309.68,658,120.71
Confirmed,"","Jammu and Kashmir","India",13606319,333490,0,0.00,141,557.03,151,147.54,236,1471.40,381,58.44,471,4531.54,632,79.84,658,137.72,658,137.72
Confirmed,"","Jharkhand","India",38593947,348948,0,0.00,141,192.83,155,46.40,224,1711.37,390,40.58,463,6146.26,604,7.93,640,26.72,658,20.20
Confirmed,"","Karnataka","India",67562686,2990856,0,0.00,141,783.08,149,353.96,236,8817.48,245,8119.23,259,9735.75,390,404.00,470,45089.21,658,273.01
Confirmed,"","Kerala","India",35699443,5034858,0,0.00,261,8300.64,323,4792.53,366,5896.57,420,1864.29,471,37259.96,517,11515.14,587,28785.54,658,6667.17
Confirmed,"","Ladakh","India",274289,21087,0,0.00,145,73.16,162,7.60,259,76.48,277,49.18,292,81.39,407,2.06,452,193.39,658,14.73
Confirmed,"","Lakshadweep","India",64429,10365,0,0.00,365,6.94,371,4.92,412,17.60,433,3.87,459,137.26,467,126.99,485,239.61,658,0.00
Confirmed,"","Madhya Pradesh","India",85358965,792924,0,0.00,140,1194.94,151,174.33,241,2505.99,284,711.83,308,1630.59,383,180.01,459,12933.27,658,6.27
Confirmed,"","Maharashtra","India",123144223,6620423,0,0.00,141,11960.94,151,3957.04,236,21620.66,330,2613.07,349,3649.67,373,2494.74,455,64412.88,658,907.73
Confirmed,"","Manipur","India",3091545,124250,0,0.00,150,56.07,164,29.41,269,298.71,417,2.76,493,825.14,517,559.51,549,1101.54,658,51.10
Confirmed,"","Meghalaya","India",3366710,83942,0,0.00,237,132.81,246,101.62,256,189.85,404,1.26,486,877.75,538,413.33,552,615.13,658,29.09
