DataType,Admin2,Admin1,Admin0,Population,CaseCount,X1,Y1,X2,Y2,X3,Y3,X4,Y4,X5,Y5,X6,Y6,X7,Y7
Confirmed,"","Alberta","Canada",4413146,331393,0,0.00,318,1716.18,388,302.51,467,1976.47,536,39.68,602,1616.87,668,335.29
Confirmed,"","British Columbia","Canada",5110917,214378,0,0.05,311,776.80,387,404.13,443,1210.71,527,39.28,598,728.23,668,371.64
Confirmed,"","Manitoba","Canada",1377517,66273,0,0.00,305,400.20,406,56.45,482,459.05,556,26.48,658,154.18,668,135.54
Confirmed,"","New Brunswick","Canada",779993,7503,0,0.00,67,6.81,162,0.02,362,26.29,533,0.22,625,97.57,668,68.61
Confirmed,"","Newfoundland and Labrador","Canada",521365,2033,0,0.00,66,15.63,211,0.01,387,34.24,424,0.23,613,18.62,668,1.74
Confirmed,"","Northwest Territories","Canada",44903,2035,0,0.00,469,5.61,551,0.00,575,23.07,591,10.56,621,41.12,668,4.53
Confirmed,"","Nova Scotia","Canada",977457,7998,0,0.00,98,63.06,182,0.02,471,157.17,540,0.80,657,36.47,668,23.68
Confirmed,"","Nunavut","Canada",38780,674,0,0.00,303,12.58,357,0.00,393,4.06,439,0.00,464,8.59,668,0.00
Confirmed,"","Ontario","Canada",14711827,618468,0,0.13,87,636.93,203,90.52,352,3484.70,391,1070.73,450,4307.87,668,644.23
Confirmed,"","Prince Edward Island","Canada",158158,328,0,0.00,67,1.86,192,0.00,403,2.31,551,0.00,604,4.17,668,0.30
Confirmed,"","Quebec","Canada",8537674,437595,0,0.00,100,899.53,208,76.05,347,2540.28,544,53.88,601,771.45,668,700.95
Confirmed,"","Repatriated Travellers","Canada",-1,13,0,0.00,307,1.46,668,0.00,,,,,,,,
Confirmed,"","Saskatchewan","Canada",1181666,80099,0,0.00,356,312.81,415,133.94,446,263.45,541,27.56,611,478.64,668,139.08
Confirmed,"","Yukon","Canada",41078,1362,0,0.00,307,1.90,419,0.00,525,17.43,592,0.96,665,27.40,668,25.44
