Admin0,Admin1,Admin2,FIPS,Population,CaseCount,DeathCount,CasesPer100K,DeathsPerM,CFR
"Algeria","","",0,43851043,253808,6591,578.80,150.30,0.0260
"Angola","","",0,32866268,98303,1895,299.10,57.66,0.0193
"Benin","","",0,12123197,26460,163,218.26,13.45,0.0062
"Botswana","","",0,2351625,253211,2583,10767.49,1098.39,0.0102
"Burkina Faso","","",0,20903277,20650,370,98.79,17.70,0.0179
"Burundi","","",0,11890780,37440,38,314.87,3.20,0.0010
"Cabo Verde","","",0,555988,55738,396,10025.04,712.25,0.0071
"Cameroon","","",0,26545864,116436,1878,438.62,70.75,0.0161
"Central African Republic","","",0,4829764,13937,110,288.56,22.78,0.0079
"Chad","","",0,16425859,7153,190,43.55,11.57,0.0266
"Comoros","","",0,869595,7833,160,900.76,183.99,0.0204
"Congo (Brazzaville)","","",0,5518092,23715,371,429.77,67.23,0.0156
"Congo (Kinshasa)","","",0,89561404,85379,1278,95.33,14.27,0.0150
"Cote d'Ivoire","","",0,26378275,80797,785,306.30,29.76,0.0097
"Djibouti","","",0,988001,15478,189,1566.60,191.30,0.0122
"Egypt","","",0,102334402,428034,22679,418.27,221.62,0.0530
"Equatorial Guinea","","",0,1402985,15830,182,1128.31,129.72,0.0115
"Eritrea","","",0,3546426,9549,98,269.26,27.63,0.0103
"Eswatini","","",0,1160164,68421,1375,5897.53,1185.18,0.0201
"Ethiopia","","",0,114963582,465548,7346,404.95,63.90,0.0158
"Gabon","","",0,2225728,46950,301,2109.42,135.24,0.0064
"Gambia","","",0,2416664,11866,362,491.01,149.79,0.0305
"Ghana","","",0,31072944,156994,1396,505.24,44.93,0.0089
"Guinea","","",0,13132792,36158,418,275.33,31.83,0.0116
"Guinea-Bissau","","",0,1967998,7603,156,386.33,79.27,0.0205
"Kenya","","",0,53771300,321576,5588,598.04,103.92,0.0174
"Lesotho","","",0,2142252,32189,693,1502.58,323.49,0.0215
"Liberia","","",0,5057676,7272,290,143.78,57.34,0.0399
"Libya","","",0,6871287,433118,6029,6303.30,877.42,0.0139
"Madagascar","","",0,27691019,59405,1276,214.53,46.08,0.0215
"Malawi","","",0,19129955,84581,2564,442.14,134.03,0.0303
"Mali","","",0,20250834,30113,715,148.70,35.31,0.0237
"Mauritania","","",0,4649660,58337,956,1254.65,205.61,0.0164
"Mauritius","","",0,1271767,70882,786,5573.51,618.04,0.0111
"Morocco","","",0,36910558,1137046,15433,3080.54,418.12,0.0136
"Mozambique","","",0,31255435,224009,2174,716.70,69.56,0.0097
"Namibia","","",0,2540916,155962,3972,6138.02,1563.22,0.0255
"Niger","","",0,24206636,8660,300,35.78,12.39,0.0346
"Nigeria","","",0,206139587,253334,3136,122.89,15.21,0.0124
"Rwanda","","",0,12952208,128976,1443,995.78,111.41,0.0112
"Sao Tome and Principe","","",0,219161,5901,69,2692.54,314.84,0.0117
"Senegal","","",0,16743930,85064,1949,508.03,116.40,0.0229
"Seychelles","","",0,98340,37248,154,37876.75,1566.00,0.0041
"Sierra Leone","","",0,7976985,7624,125,95.57,15.67,0.0164
"Somalia","","",0,15893219,25946,1335,163.25,84.00,0.0515
"South Africa","","",0,59308690,3608699,95271,6084.60,1606.36,0.0264
"South Sudan","","",0,11193729,16811,137,150.18,12.24,0.0081
"Sudan","","",0,43849269,58188,3441,132.70,78.47,0.0591
"Tanzania","","",0,59734212,33224,789,55.62,13.21,0.0237
"Togo","","",0,8278736,36517,268,441.09,32.37,0.0073
"Tunisia","","",0,11818618,918215,26352,7769.22,2229.70,0.0287
"Uganda","","",0,45741000,161968,3539,354.10,77.37,0.0218
"Zambia","","",0,18383956,305630,3920,1662.48,213.23,0.0128
"Zimbabwe","","",0,14862927,229859,5349,1546.53,359.89,0.0233
