Admin0,Admin1,Admin2,FIPS,Population,CaseCount,DeathCount,CasesPer100K,DeathsPerM,CFR
"Colombia","Amazonas","",0,76588,7425,260,9694.73,3394.79,0.0350
"Colombia","Antioquia","",0,6407102,905508,17681,14132.88,2759.59,0.0195
"Colombia","Arauca","",0,262173,15272,499,5825.16,1903.32,0.0327
"Colombia","Atlantico","",0,2535517,394459,9877,15557.34,3895.46,0.0250
"Colombia","Bolivar","",0,2070110,194393,3175,9390.47,1533.73,0.0163
"Colombia","Boyaca","",0,1217376,121008,2654,9940.07,2180.10,0.0219
"Colombia","Caldas","",0,998255,115543,2393,11574.50,2397.18,0.0207
"Colombia","Capital District","",0,7412566,1690279,28248,22802.89,3810.83,0.0167
"Colombia","Caqueta","",0,401488,24272,965,6045.51,2403.56,0.0398
"Colombia","Casanare","",0,420503,39415,954,9373.30,2268.71,0.0242
"Colombia","Cauca","",0,1464487,70202,1687,4793.62,1151.94,0.0240
"Colombia","Cesar","",0,1200574,102839,2614,8565.82,2177.29,0.0254
"Colombia","Choco","",0,534826,18289,417,3419.62,779.69,0.0228
"Colombia","Cordoba","",0,1784783,116654,3816,6536.03,2138.08,0.0327
"Colombia","Cundinamarca","",0,2919060,302274,6969,10355.18,2387.41,0.0231
"Colombia","Guainia","",0,48114,2723,36,5659.48,748.22,0.0132
"Colombia","Guaviare","",0,82767,5438,97,6570.25,1171.96,0.0178
"Colombia","Huila","",0,1100386,97518,3328,8862.16,3024.39,0.0341
"Colombia","La Guajira","",0,880560,52749,1476,5990.39,1676.21,0.0280
"Colombia","Magdalena","",0,1341746,112027,3541,8349.34,2639.10,0.0316
"Colombia","Meta","",0,1039722,100734,2392,9688.55,2300.61,0.0237
"Colombia","Narino","",0,1630592,102921,3156,6311.88,1935.49,0.0307
"Colombia","Norte de Santander","",0,1491688,113042,4842,7578.13,3245.99,0.0428
"Colombia","Putumayo","",0,348181,19764,742,5676.36,2131.08,0.0375
"Colombia","Quindio","",0,539904,69186,1968,12814.50,3645.09,0.0284
"Colombia","Risaralda","",0,943400,103934,2380,11016.96,2522.79,0.0229
"Colombia","San Andres y Providencia","",0,61280,9913,152,16176.57,2480.42,0.0153
"Colombia","Santander","",0,2184837,272411,7782,12468.25,3561.82,0.0286
"Colombia","Sucre","",0,904863,64484,1655,7126.38,1829.01,0.0257
"Colombia","Tolima","",0,1330187,121437,3791,9129.32,2849.98,0.0312
"Colombia","Unknown","",0,-1,2521,504,0.00,0.00,0.1999
"Colombia","Valle del Cauca","",0,4475886,530267,14417,11847.20,3221.04,0.0272
"Colombia","Vaupes","",0,40797,1847,19,4527.29,465.72,0.0103
"Colombia","Vichada","",0,107807,3261,59,3024.85,547.27,0.0181
