Admin0,Admin1,Admin2,FIPS,Population,CaseCount,DeathCount,CasesPer100K,DeathsPerM,CFR
"India","Andaman and Nicobar Islands","",0,417036,9810,129,2352.31,309.33,0.0131
"India","Andhra Pradesh","",0,53903393,2280383,14544,4230.50,269.82,0.0064
"India","Arunachal Pradesh","",0,1570458,62657,288,3989.73,183.39,0.0046
"India","Assam","",0,35607039,715883,6477,2010.51,181.90,0.0090
"India","Bihar","",0,124799926,819717,12194,656.82,97.71,0.0149
"India","Chandigarh","",0,1158473,89470,1119,7723.10,965.93,0.0125
"India","Chhattisgarh","",0,29436230,1128410,13862,3833.41,470.92,0.0123
"India","Dadra and Nagar Haveli and Daman and Diu","",0,615723,11340,3,1841.74,4.87,0.0003
"India","Delhi","",0,18710922,1803955,25039,9641.19,1338.20,0.0139
"India","Goa","",0,1586250,239769,3700,15115.46,2332.55,0.0154
"India","Gujarat","",0,63872398,1151000,9210,1802.03,144.19,0.0080
"India","Haryana","",0,28204692,948572,10278,3363.17,364.41,0.0108
"India","Himachal Pradesh","",0,7451955,272568,4002,3657.67,537.04,0.0147
"India","Jammu and Kashmir","",0,13606319,434918,4634,3196.44,340.58,0.0107
"India","Jharkhand","",0,38593948,428021,5297,1109.04,137.25,0.0124
"India","Karnataka","",0,67562686,3827145,38986,5664.58,577.03,0.0102
"India","Kerala","",0,35699443,6075317,55263,17017.96,1548.01,0.0091
"India","Ladakh","",0,274289,26113,224,9520.25,816.66,0.0086
"India","Lakshadweep","",0,64429,11124,52,17265.52,807.09,0.0047
"India","Madhya Pradesh","",0,85358965,964991,10208,1130.51,119.59,0.0106
"India","Maharashtra","",0,123144223,7653093,139484,6214.74,1132.69,0.0182
"India","Manipur","",0,3091544,133326,2049,4312.60,662.78,0.0154
"India","Meghalaya","",0,3366710,91373,1528,2714.01,453.86,0.0167
"India","Mizoram","",0,1239243,177240,614,14302.28,495.46,0.0035
"India","Nagaland","",0,2249695,34410,735,1529.54,326.71,0.0214
"India","Odisha","",0,46356334,1250582,8616,2697.76,185.86,0.0069
"India","Puducherry","",0,1413542,162102,1935,11467.79,1368.90,0.0119
"India","Punjab","",0,30141373,743527,17237,2466.80,571.87,0.0232
"India","Rajasthan","",0,81032689,1203219,9035,1484.86,111.50,0.0075
"India","Sikkim","",0,690251,38286,431,5546.68,624.41,0.0113
"India","Tamil Nadu","",0,77841267,3331868,37308,4280.34,479.28,0.0112
"India","Telangana","",0,39362732,763397,3947,1939.39,100.27,0.0052
"India","Tripura","",0,4169794,99705,910,2391.13,218.24,0.0091
"India","Unknown","",0,-1,-9434,0,0.00,0.00,0.0000
"India","Uttar Pradesh","",0,237882725,2015198,22940,847.14,96.43,0.0114
"India","Uttarakhand","",0,11250858,422323,7549,3753.70,670.97,0.0179
"India","West Bengal","",0,99609303,1989882,20243,1997.69,203.22,0.0102
