Admin0,Admin1,Admin2,FIPS,Population,CaseCount,DeathCount,CasesPer100K,DeathsPerM,CFR
"Mexico","Aguascalientes","",0,1434635,49697,3197,3464.09,2228.44,0.0643
"Mexico","Baja California","",0,3634867,117822,10946,3241.44,3011.39,0.0929
"Mexico","Baja California Sur","",0,804708,91458,2499,11365.36,3105.47,0.0273
"Mexico","Campeche","",0,1000617,29845,2077,2982.66,2075.72,0.0696
"Mexico","Chiapas","",0,5730367,26878,2265,469.05,395.26,0.0843
"Mexico","Chihuahua","",0,3801487,107065,9083,2816.40,2389.33,0.0848
"Mexico","Ciudad de Mexico","",0,9018645,1219262,39501,13519.35,4379.93,0.0324
"Mexico","Coahuila","",0,3218719,135424,8221,4207.39,2554.12,0.0607
"Mexico","Colima","",0,785153,45992,2067,5857.71,2632.61,0.0449
"Mexico","Durango","",0,1868996,64305,3282,3440.62,1756.02,0.0510
"Mexico","Guanajuato","",0,6228175,248267,13836,3986.19,2221.52,0.0557
"Mexico","Guerrero","",0,3657048,89280,6292,2441.31,1720.51,0.0705
"Mexico","Hidalgo","",0,3086413,76649,7845,2483.43,2541.79,0.1023
"Mexico","Jalisco","",0,8409693,203809,18145,2423.50,2157.63,0.0890
"Mexico","Mexico","",0,17427789,462038,44882,2651.16,2575.31,0.0971
"Mexico","Michoacan","",0,4825401,85232,8286,1766.32,1717.16,0.0972
"Mexico","Morelos","",0,2044058,57644,4808,2820.08,2352.18,0.0834
"Mexico","Nayarit","",0,1288571,50645,2944,3930.32,2284.70,0.0581
"Mexico","Nuevo Leon","",0,5610153,262593,14130,4680.67,2518.65,0.0538
"Mexico","Oaxaca","",0,4143593,101510,5679,2449.81,1370.55,0.0559
"Mexico","Puebla","",0,6604451,146977,15652,2225.42,2369.92,0.1065
"Mexico","Queretaro","",0,2279637,126486,5722,5548.51,2510.05,0.0452
"Mexico","Quintana Roo","",0,1723259,84610,3957,4909.88,2296.23,0.0468
"Mexico","San Luis Potosi","",0,2866142,155732,7077,5433.51,2469.17,0.0454
"Mexico","Sinaloa","",0,3156674,101636,8901,3219.72,2819.74,0.0876
"Mexico","Sonora","",0,3074745,146801,9486,4774.41,3085.13,0.0646
"Mexico","Tabasco","",0,2572287,177670,5506,6907.08,2140.51,0.0310
"Mexico","Tamaulipas","",0,3650602,130396,7342,3571.90,2011.18,0.0563
"Mexico","Tlaxcala","",0,1380011,36053,2903,2612.52,2103.61,0.0805
"Mexico","Unknown","",0,-1,0,0,0.00,0.00,0.0000
"Mexico","Veracruz","",0,8539862,144428,15039,1691.22,1761.04,0.1041
"Mexico","Yucatan","",0,2259098,97145,5754,4300.17,2547.03,0.0592
"Mexico","Zacatecas","",0,1666426,62205,3615,3732.84,2169.31,0.0581
