Admin0,Admin1,Admin2,FIPS,Population,CaseCount,DeathCount,CasesPer100K,DeathsPerM,CFR
"US","Colorado","Adams",8001,517421,124687,1161,24097.78,2243.82,0.0093
"US","Colorado","Alamosa",8003,16232,4122,58,25394.28,3573.19,0.0141
"US","Colorado","Arapahoe",8005,656589,141910,1082,21613.22,1647.91,0.0076
"US","Colorado","Archuleta",8007,14029,2732,9,19473.95,641.53,0.0033
"US","Colorado","Baca",8009,3581,707,8,19743.09,2234.01,0.0113
"US","Colorado","Bent",8011,5577,2196,46,39376.01,8248.16,0.0209
"US","Colorado","Boulder",8013,326196,57784,316,17714.50,968.74,0.0055
"US","Colorado","Broomfield",8014,70465,12375,104,17561.91,1475.91,0.0084
"US","Colorado","Chaffee",8015,20355,4035,40,19823.14,1965.12,0.0099
"US","Colorado","Cheyenne",8017,1831,297,9,16220.64,4915.35,0.0303
"US","Colorado","Clear Creek",8019,9700,1447,10,14917.53,1030.93,0.0069
"US","Colorado","Conejos",8021,8204,1578,49,19234.52,5972.70,0.0311
"US","Colorado","Costilla",8023,3887,596,14,15333.16,3601.75,0.0235
"US","Colorado","Crowley",8025,6060,2930,28,48349.83,4620.46,0.0096
"US","Colorado","Custer",8027,5068,596,17,11760.06,3354.38,0.0285
"US","Colorado","Delta",8029,31162,5506,124,17668.96,3979.21,0.0225
"US","Colorado","Denver",8031,727211,159115,1193,21880.17,1640.51,0.0075
"US","Colorado","Dolores",8033,2055,334,7,16253.04,3406.33,0.0210
"US","Colorado","Douglas",8035,351154,72568,374,20665.58,1065.06,0.0052
"US","Colorado","Eagle",8037,55127,15110,34,27409.44,616.76,0.0023
"US","Colorado","El Paso",8041,720403,170804,1517,23709.51,2105.77,0.0089
"US","Colorado","Elbert",8039,26729,4466,33,16708.44,1234.61,0.0074
"US","Colorado","Fremont",8043,47839,13214,172,27621.81,3595.39,0.0130
"US","Colorado","Garfield",8045,60061,13490,83,22460.50,1381.93,0.0062
"US","Colorado","Gilpin",8047,6242,890,4,14258.25,640.82,0.0045
"US","Colorado","Grand",8049,15734,3312,22,21049.96,1398.25,0.0066
"US","Colorado","Gunnison",8051,17462,3083,13,17655.48,744.47,0.0042
"US","Colorado","Hinsdale",8053,820,117,0,14268.29,0.00,0.0000
"US","Colorado","Huerfano",8055,6896,1298,28,18822.51,4060.32,0.0216
"US","Colorado","Jackson",8057,1392,143,0,10272.99,0.00,0.0000
"US","Colorado","Jefferson",8059,582881,113308,1220,19439.30,2093.05,0.0108
"US","Colorado","Kiowa",8061,1405,313,4,22277.58,2846.98,0.0128
"US","Colorado","Kit Carson",8063,7096,1494,29,21054.11,4086.81,0.0194
"US","Colorado","La Plata",8067,56220,11629,73,20684.81,1298.47,0.0063
"US","Colorado","Lake",8065,8127,1722,1,21188.63,123.05,0.0006
"US","Colorado","Larimer",8069,356899,69435,435,19455.08,1218.83,0.0063
"US","Colorado","Las Animas",8071,14505,3180,38,21923.47,2619.79,0.0119
"US","Colorado","Lincoln",8073,5700,1877,9,32929.82,1578.95,0.0048
"US","Colorado","Logan",8075,22409,6408,104,28595.65,4640.99,0.0162
"US","Colorado","Mesa",8077,154210,38641,502,25057.39,3255.30,0.0130
"US","Colorado","Mineral",8079,769,216,1,28088.43,1300.39,0.0046
"US","Colorado","Moffat",8081,13283,2743,50,20650.46,3764.21,0.0182
"US","Colorado","Montezuma",8083,26183,5472,60,20899.06,2291.56,0.0110
"US","Colorado","Montrose",8085,42758,8504,151,19888.68,3531.50,0.0178
"US","Colorado","Morgan",8087,29068,5251,130,18064.54,4472.27,0.0248
"US","Colorado","Otero",8089,18278,3990,123,21829.52,6729.40,0.0308
"US","Colorado","Ouray",8091,4952,808,6,16316.64,1211.63,0.0074
"US","Colorado","Out of CO",80008,-1,0,0,0.00,0.00,0.0000
"US","Colorado","Park",8093,18845,2643,17,14024.94,902.10,0.0064
"US","Colorado","Phillips",8095,4265,798,15,18710.43,3517.00,0.0188
"US","Colorado","Pitkin",8097,17767,5951,6,33494.68,337.70,0.0010
"US","Colorado","Prowers",8099,12172,2421,45,19889.91,3697.01,0.0186
"US","Colorado","Pueblo",8101,168423,41937,730,24899.81,4334.32,0.0174
"US","Colorado","Rio Blanco",8103,6324,1456,13,23023.40,2055.66,0.0089
"US","Colorado","Rio Grande",8105,11267,2514,42,22312.95,3727.70,0.0167
"US","Colorado","Routt",8107,25638,5949,24,23203.84,936.11,0.0040
"US","Colorado","Saguache",8109,6824,1040,10,15240.33,1465.42,0.0096
"US","Colorado","San Juan",8111,728,188,0,25824.18,0.00,0.0000
"US","Colorado","San Miguel",8113,8178,2110,7,25800.93,855.96,0.0033
"US","Colorado","Sedgwick",8115,2248,440,8,19572.95,3558.72,0.0182
"US","Colorado","Summit",8117,31011,9297,12,29979.68,386.96,0.0013
"US","Colorado","Teller",8119,25388,4528,54,17835.20,2126.99,0.0119
"US","Colorado","Unassigned",90008,-1,108,0,0.00,0.00,0.0000
"US","Colorado","Washington",8121,4907,934,26,19034.03,5298.55,0.0278
"US","Colorado","Weld",8123,324492,76941,632,23711.22,1947.66,0.0082
"US","Colorado","Yuma",8125,10018,1752,22,17488.52,2196.05,0.0126
