Admin0,Admin1,Admin2,FIPS,Population,CaseCount,DeathCount,CasesPer100K,DeathsPerM,CFR
"US","Minnesota","Aitkin",27001,15886,2742,58,17260.48,3651.01,0.0212
"US","Minnesota","Anoka",27003,356921,92930,737,26036.57,2064.88,0.0079
"US","Minnesota","Becker",27005,34423,7933,85,23045.64,2469.28,0.0107
"US","Minnesota","Beltrami",27007,47188,10612,115,22488.77,2437.06,0.0108
"US","Minnesota","Benton",27009,40889,12822,159,31358.07,3888.58,0.0124
"US","Minnesota","Big Stone",27011,4991,1269,7,25425.77,1402.52,0.0055
"US","Minnesota","Blue Earth",27013,67653,16275,86,24056.58,1271.19,0.0053
"US","Minnesota","Brown",27015,25007,6160,70,24633.10,2799.22,0.0114
"US","Minnesota","Carlton",27017,35871,7704,84,21476.96,2341.72,0.0109
"US","Minnesota","Carver",27019,105089,24771,99,23571.45,942.06,0.0040
"US","Minnesota","Cass",27021,29779,6326,70,21243.16,2350.65,0.0111
"US","Minnesota","Chippewa",27023,11800,2821,46,23906.78,3898.31,0.0163
"US","Minnesota","Chisago",27025,56579,13364,113,23620.07,1997.21,0.0085
"US","Minnesota","Clay",27027,64221,17548,116,27324.40,1806.26,0.0066
"US","Minnesota","Clearwater",27029,8817,1981,29,22467.96,3289.10,0.0146
"US","Minnesota","Cook",27031,5463,503,2,9207.40,366.10,0.0040
"US","Minnesota","Cottonwood",27033,11195,3028,38,27047.79,3394.37,0.0125
"US","Minnesota","Crow Wing",27035,65054,14713,152,22616.60,2336.52,0.0103
"US","Minnesota","Dakota",27037,429021,102625,712,23920.74,1659.59,0.0069
"US","Minnesota","Dodge",27039,20933,5264,15,25146.90,716.57,0.0028
"US","Minnesota","Douglas",27041,38141,10129,112,26556.72,2936.47,0.0111
"US","Minnesota","Faribault",27043,13652,3509,45,25703.19,3296.22,0.0128
"US","Minnesota","Fillmore",27045,21067,4297,21,20396.83,996.82,0.0049
"US","Minnesota","Freeborn",27047,30281,8383,62,27684.03,2047.49,0.0074
"US","Minnesota","Goodhue",27049,46340,11981,116,25854.55,2503.24,0.0097
"US","Minnesota","Grant",27051,5972,1352,12,22638.98,2009.38,0.0089
"US","Minnesota","Hennepin",27053,1265842,279527,2372,22082.30,1873.85,0.0085
"US","Minnesota","Houston",27055,18599,3887,18,20898.97,967.79,0.0046
"US","Minnesota","Hubbard",27057,21491,4563,53,21232.14,2466.15,0.0116
"US","Minnesota","Isanti",27059,40596,9500,108,23401.32,2660.36,0.0114
"US","Minnesota","Itasca",27061,45129,10195,129,22590.80,2858.47,0.0127
"US","Minnesota","Jackson",27063,9845,2052,16,20843.07,1625.19,0.0078
"US","Minnesota","Kanabec",27065,16336,3293,53,20157.93,3244.37,0.0161
"US","Minnesota","Kandiyohi",27067,43199,12433,129,28780.76,2986.18,0.0104
"US","Minnesota","Kittson",27069,4298,975,26,22684.97,6049.33,0.0267
"US","Minnesota","Koochiching",27071,12229,2459,34,20107.94,2780.28,0.0138
"US","Minnesota","Lac qui Parle",27073,6623,1608,28,24279.03,4227.69,0.0174
"US","Minnesota","Lake",27075,10641,1880,26,17667.51,2443.38,0.0138
"US","Minnesota","Lake of the Woods",27077,3740,698,5,18663.10,1336.90,0.0072
"US","Minnesota","Le Sueur",27079,28886,6027,47,20864.78,1627.09,0.0078
"US","Minnesota","Lincoln",27081,5639,1162,5,20606.49,886.68,0.0043
"US","Minnesota","Lyon",27083,25474,6761,70,26540.79,2747.90,0.0104
"US","Minnesota","Mahnomen",27087,5526,1418,17,25660.51,3076.37,0.0120
"US","Minnesota","Marshall",27089,9336,1881,23,20147.81,2463.58,0.0122
"US","Minnesota","Martin",27091,19683,5150,54,26164.71,2743.48,0.0105
"US","Minnesota","McLeod",27085,35893,9719,98,27077.70,2730.34,0.0101
"US","Minnesota","Meeker",27093,23222,5487,73,23628.46,3143.57,0.0133
"US","Minnesota","Mille Lacs",27095,26277,6761,103,25729.73,3919.78,0.0152
"US","Minnesota","Morrison",27097,33385,8443,92,25289.80,2755.73,0.0109
"US","Minnesota","Mower",27099,40062,11195,59,27944.19,1472.72,0.0053
"US","Minnesota","Murray",27101,8194,1937,15,23639.25,1830.61,0.0077
"US","Minnesota","Nicollet",27103,34274,7308,65,21322.29,1896.48,0.0089
"US","Minnesota","Nobles",27105,21629,6600,56,30514.59,2589.12,0.0085
"US","Minnesota","Norman",27107,6375,1360,13,21333.33,2039.22,0.0096
"US","Minnesota","Olmsted",27109,158293,37034,152,23395.85,960.24,0.0041
"US","Minnesota","Otter Tail",27111,58746,12387,154,21085.69,2621.46,0.0124
"US","Minnesota","Pennington",27113,14119,3228,35,22862.81,2478.93,0.0108
