Admin0,Admin1,Admin2,FIPS,Population,CaseCount,DeathCount,CasesPer100K,DeathsPerM,CFR
"US","Missouri","Adair",29001,25343,5197,57,20506.65,2249.14,0.0110
"US","Missouri","Andrew",29003,17712,4535,45,25604.11,2540.65,0.0099
"US","Missouri","Atchison",29005,5142,1201,19,23356.67,3695.06,0.0158
"US","Missouri","Audrain",29007,25387,5403,95,21282.55,3742.07,0.0176
"US","Missouri","Barry",29009,35788,6267,103,17511.46,2878.06,0.0164
"US","Missouri","Barton",29011,11753,2597,45,22096.49,3828.81,0.0173
"US","Missouri","Bates",29013,16172,3584,72,22161.76,4452.14,0.0201
"US","Missouri","Benton",29015,19443,3858,84,19842.62,4320.32,0.0218
"US","Missouri","Bollinger",29017,12132,2353,35,19394.99,2884.93,0.0149
"US","Missouri","Boone",29019,180463,41335,217,22904.97,1202.46,0.0052
"US","Missouri","Buchanan",29021,87363,21489,273,24597.37,3124.89,0.0127
"US","Missouri","Butler",29023,42477,9387,142,22099.02,3342.99,0.0151
"US","Missouri","Caldwell",29025,9020,1555,29,17239.47,3215.08,0.0186
"US","Missouri","Callaway",29027,44743,11331,104,25324.63,2324.39,0.0092
"US","Missouri","Camden",29029,46305,8888,164,19194.47,3541.73,0.0185
"US","Missouri","Cape Girardeau",29031,78871,17586,213,22297.17,2700.61,0.0121
"US","Missouri","Carroll",29033,8678,2137,41,24625.49,4724.59,0.0192
"US","Missouri","Carter",29035,5982,1431,19,23921.77,3176.20,0.0133
"US","Missouri","Cass",29037,105779,23434,257,22153.74,2429.59,0.0110
"US","Missouri","Cedar",29039,14349,2731,43,19032.69,2996.72,0.0157
"US","Missouri","Chariton",29041,7425,1570,33,21144.78,4444.44,0.0210
"US","Missouri","Christian",29043,88595,19599,225,22122.02,2539.65,0.0115
"US","Missouri","Clark",29045,6797,1514,28,22274.53,4119.46,0.0185
"US","Missouri","Clay",29047,249948,24912,317,9966.87,1268.26,0.0127
"US","Missouri","Clinton",29049,20387,4433,108,21744.25,5297.49,0.0244
"US","Missouri","Cole",29051,76745,19242,252,25072.64,3283.60,0.0131
"US","Missouri","Cooper",29053,17708,3974,71,22441.83,4009.49,0.0179
"US","Missouri","Crawford",29055,23920,5160,90,21571.91,3762.54,0.0174
"US","Missouri","Dade",29057,7561,1336,38,17669.62,5025.79,0.0284
"US","Missouri","Dallas",29059,16878,3607,64,21371.02,3791.92,0.0177
"US","Missouri","Daviess",29061,8278,1538,24,18579.37,2899.25,0.0156
"US","Missouri","DeKalb",29063,12547,2037,41,16234.96,3267.71,0.0201
"US","Missouri","Dent",29065,15572,3075,66,19746.98,4238.38,0.0215
"US","Missouri","Douglas",29067,13185,2385,68,18088.74,5157.38,0.0285
"US","Missouri","Dunklin",29069,29130,6563,93,22530.04,3192.58,0.0142
"US","Missouri","Franklin",29071,103966,21647,299,20821.23,2875.94,0.0138
"US","Missouri","Gasconade",29073,14705,3155,92,21455.29,6256.38,0.0292
"US","Missouri","Gentry",29075,6571,2038,28,31015.07,4261.15,0.0137
"US","Missouri","Greene",29077,293086,65994,892,22516.94,3043.48,0.0135
"US","Missouri","Grundy",29079,9850,2199,61,22324.87,6192.89,0.0277
"US","Missouri","Harrison",29081,8352,1714,27,20522.03,3232.76,0.0158
"US","Missouri","Henry",29083,21823,5419,72,24831.60,3299.27,0.0133
"US","Missouri","Hickory",29085,9544,1725,49,18074.18,5134.12,0.0284
"US","Missouri","Holt",29087,4403,985,25,22371.11,5677.95,0.0254
"US","Missouri","Howard",29089,10001,2070,22,20697.93,2199.78,0.0106
"US","Missouri","Howell",29091,40117,8408,185,20958.70,4611.51,0.0220
"US","Missouri","Iron",29093,10125,2025,34,20000.00,3358.02,0.0168
"US","Missouri","Jackson",29095,703010,90481,1019,12870.51,1449.48,0.0113
"US","Missouri","Jasper",29097,121327,31870,470,26267.85,3873.83,0.0147
"US","Missouri","Jefferson",29099,225081,51498,524,22879.76,2328.05,0.0102
"US","Missouri","Johnson",29101,54062,11501,127,21273.72,2349.15,0.0110
"US","Missouri","Kansas City",0,488942,107870,1081,22061.92,2210.90,0.0100
"US","Missouri","Knox",29103,3959,899,10,22707.75,2525.89,0.0111
"US","Missouri","Laclede",29105,35723,7724,159,21621.92,4450.91,0.0206
"US","Missouri","Lafayette",29107,32708,7414,111,22667.24,3393.67,0.0150
"US","Missouri","Lawrence",29109,38354,7327,144,19103.61,3754.50,0.0197
"US","Missouri","Lewis",29111,9776,2549,31,26074.06,3171.03,0.0122
"US","Missouri","Lincoln",29113,59012,14610,109,24757.68,1847.08,0.0075
"US","Missouri","Linn",29115,11920,2265,59,19001.68,4949.66,0.0260
"US","Missouri","Livingston",29117,15227,3497,86,22965.78,5647.86,0.0246
"US","Missouri","Macon",29121,15116,3431,42,22697.80,2778.51,0.0122
"US","Missouri","Madison",29123,12088,3390,46,28044.34,3805.43,0.0136
"US","Missouri","Maries",29125,8697,1514,28,17408.30,3219.50,0.0185
"US","Missouri","Marion",29127,28530,7624,110,26722.75,3855.59,0.0144
"US","Missouri","McDonald",29119,22837,4888,62,21403.86,2714.89,0.0127
"US","Missouri","Mercer",29129,3617,637,12,17611.28,3317.67,0.0188
"US","Missouri","Miller",29131,25619,5831,105,22760.45,4098.52,0.0180
"US","Missouri","Mississippi",29133,13180,2976,51,22579.67,3869.50,0.0171
"US","Missouri","Moniteau",29135,16132,3680,48,22811.80,2975.45,0.0130
"US","Missouri","Monroe",29137,8644,2053,38,23750.58,4396.11,0.0185
"US","Missouri","Montgomery",29139,11551,2274,49,19686.61,4242.06,0.0215
"US","Missouri","Morgan",29141,20626,3836,91,18597.89,4411.91,0.0237
"US","Missouri","New Madrid",29143,17076,4587,72,26862.26,4216.44,0.0157
"US","Missouri","Newton",29145,58235,10733,177,18430.50,3039.41,0.0165
"US","Missouri","Nodaway",29147,22092,5637,41,25516.02,1855.88,0.0073
"US","Missouri","Oregon",29149,10529,1910,27,18140.37,2564.35,0.0141
"US","Missouri","Osage",29151,13615,3055,39,22438.49,2864.49,0.0128
"US","Missouri","Ozark",29153,9174,1596,48,17396.99,5232.18,0.0301
"US","Missouri","Pemiscot",29155,15805,2835,62,17937.36,3922.81,0.0219
"US","Missouri","Perry",29157,19136,4625,44,24169.11,2299.33,0.0095
"US","Missouri","Pettis",29159,42339,11266,138,26609.04,3259.41,0.0122
"US","Missouri","Phelps",29161,44573,9474,214,21255.02,4801.11,0.0226
"US","Missouri","Pike",29163,18301,4022,55,21976.94,3005.30,0.0137
"US","Missouri","Platte",29165,104417,9510,83,9107.71,794.89,0.0087
"US","Missouri","Polk",29167,32149,7538,84,23447.07,2612.83,0.0111
"US","Missouri","Pulaski",29169,52607,8410,104,15986.47,1976.92,0.0124
"US","Missouri","Putnam",29171,4696,912,20,19420.78,4258.94,0.0219
"US","Missouri","Ralls",29173,10309,2343,19,22727.71,1843.05,0.0081
"US","Missouri","Randolph",29175,24748,5682,91,22959.43,3677.06,0.0160
"US","Missouri","Ray",29177,23018,4821,80,20944.48,3475.54,0.0166
"US","Missouri","Reynolds",29179,6270,1076,19,17161.08,3030.30,0.0177
"US","Missouri","Ripley",29181,13288,2559,53,19257.98,3988.56,0.0207
"US","Missouri","Saline",29195,22761,6007,94,26391.63,4129.87,0.0156
"US","Missouri","Schuyler",29197,4660,660,24,14163.09,5150.21,0.0364
"US","Missouri","Scotland",29199,4902,631,17,12872.30,3467.97,0.0269
"US","Missouri","Scott",29201,38280,10357,142,27055.90,3709.51,0.0137
"US","Missouri","Shannon",29203,8166,1474,32,18050.45,3918.69,0.0217
"US","Missouri","Shelby",29205,5930,1429,13,24097.81,2192.24,0.0091
"US","Missouri","St. Charles",29183,402022,90662,796,22551.50,1979.99,0.0088
"US","Missouri","St. Clair",29185,9397,1980,29,21070.55,3086.09,0.0146
"US","Missouri","St. Francois",29187,67215,17625,255,26221.83,3793.80,0.0145
"US","Missouri","St. Louis",29189,994205,211622,2984,21285.55,3001.39,0.0141
"US","Missouri","St. Louis City",29510,300576,53993,707,17963.18,2352.15,0.0131
"US","Missouri","Ste. Genevieve",29186,17894,3486,35,19481.39,1955.96,0.0100
"US","Missouri","Stoddard",29207,29025,5801,113,19986.22,3893.20,0.0195
"US","Missouri","Stone",29209,31952,5463,104,17097.52,3254.88,0.0190
"US","Missouri","Sullivan",29211,6088,1619,19,26593.30,3120.89,0.0117
"US","Missouri","Taney",29213,55928,12714,192,22732.80,3432.99,0.0151
"US","Missouri","Texas",29215,25398,4362,80,17174.58,3149.85,0.0183
"US","Missouri","Unassigned",90029,-1,0,0,0.00,0.00,0.0000
"US","Missouri","Vernon",29217,20563,4756,94,23128.92,4571.32,0.0198
"US","Missouri","Warren",29219,35648,7875,92,22091.00,2580.79,0.0117
"US","Missouri","Washington",29221,24730,5563,117,22494.95,4731.10,0.0210
"US","Missouri","Wayne",29223,12873,2271,42,17641.58,3262.64,0.0185
"US","Missouri","Webster",29225,39592,8392,129,21196.20,3258.23,0.0154
"US","Missouri","Worth",29227,2012,387,3,19234.59,1491.05,0.0078
"US","Missouri","Wright",29229,18289,3634,71,19869.87,3882.11,0.0195
