Admin0,Admin1,Admin2,FIPS,Population,CaseCount,DeathCount,CasesPer100K,DeathsPerM,CFR
"US","Montana","Beaverhead",30001,9453,1983,24,20977.47,2538.88,0.0121
"US","Montana","Big Horn",30003,13319,4097,88,30760.57,6607.10,0.0215
"US","Montana","Blaine",30005,6681,1746,28,26133.81,4190.99,0.0160
"US","Montana","Broadwater",30007,6237,1144,18,18342.15,2886.00,0.0157
"US","Montana","Carbon",30009,10725,1899,27,17706.29,2517.48,0.0142
"US","Montana","Carter",30011,1252,228,5,18210.86,3993.61,0.0219
"US","Montana","Cascade",30013,81366,20802,291,25565.96,3576.43,0.0140
"US","Montana","Chouteau",30015,5635,894,12,15865.13,2129.55,0.0134
"US","Montana","Custer",30017,11402,2806,44,24609.72,3858.97,0.0157
"US","Montana","Daniels",30019,1690,355,9,21005.92,5325.44,0.0254
"US","Montana","Dawson",30021,8613,2157,53,25043.54,6153.49,0.0246
"US","Montana","Deer Lodge",30023,9140,2166,29,23698.03,3172.87,0.0134
"US","Montana","Fallon",30025,2846,636,10,22347.15,3513.70,0.0157
"US","Montana","Fergus",30027,11049,2203,52,19938.46,4706.31,0.0236
"US","Montana","Flathead",30029,103805,24692,233,23786.91,2244.59,0.0094
"US","Montana","Gallatin",30031,114434,31976,109,27942.74,952.51,0.0034
"US","Montana","Garfield",30033,1258,214,3,17011.13,2384.74,0.0140
"US","Montana","Glacier",30035,13752,3202,65,23283.89,4726.59,0.0203
"US","Montana","Golden Valley",30037,821,138,5,16808.77,6090.13,0.0362
"US","Montana","Granite",30039,3379,491,6,14530.93,1775.67,0.0122
"US","Montana","Hill",30041,16484,4119,71,24987.87,4307.21,0.0172
"US","Montana","Jefferson",30043,12220,2358,23,19296.24,1882.16,0.0098
"US","Montana","Judith Basin",30045,2006,206,1,10269.19,498.50,0.0049
"US","Montana","Lake",30047,30458,5852,91,19213.34,2987.72,0.0156
"US","Montana","Lewis and Clark",30049,69432,15932,163,22946.19,2347.62,0.0102
"US","Montana","Liberty",30051,2337,357,2,15275.99,855.80,0.0056
"US","Montana","Lincoln",30053,19980,4333,76,21686.69,3803.80,0.0175
"US","Montana","Madison",30057,8600,1702,20,19790.70,2325.58,0.0118
"US","Montana","McCone",30055,1664,363,9,21814.90,5408.65,0.0248
"US","Montana","Meagher",30059,1861,377,10,20257.93,5373.46,0.0265
"US","Montana","Mineral",30061,4397,997,15,22674.55,3411.42,0.0150
"US","Montana","Missoula",30063,119599,24380,199,20384.79,1663.89,0.0082
"US","Montana","Musselshell",30065,4633,862,26,18605.66,5611.91,0.0302
"US","Montana","Park",30067,16606,3696,34,22257.02,2047.45,0.0092
"US","Montana","Petroleum",30069,487,34,1,6981.52,2053.39,0.0294
"US","Montana","Phillips",30071,3954,990,28,25037.94,7081.44,0.0283
"US","Montana","Pondera",30073,5911,1036,6,17526.65,1015.06,0.0058
"US","Montana","Powder River",30075,1682,309,10,18370.99,5945.30,0.0324
"US","Montana","Powell",30077,6890,1748,26,25370.10,3773.58,0.0149
"US","Montana","Prairie",30079,1076,239,3,22211.90,2788.10,0.0126
"US","Montana","Ravalli",30081,43806,6479,132,14790.21,3013.29,0.0204
"US","Montana","Richland",30083,10803,2381,30,22040.17,2777.01,0.0126
"US","Montana","Roosevelt",30085,11003,2786,69,25320.37,6271.02,0.0248
"US","Montana","Rosebud",30087,8937,1969,58,22032.00,6489.87,0.0295
"US","Montana","Sanders",30089,12112,2019,43,16669.42,3550.20,0.0213
"US","Montana","Sheridan",30091,3308,624,10,18863.36,3022.97,0.0160
"US","Montana","Silver Bow",30093,34915,7835,118,22440.21,3379.64,0.0151
"US","Montana","Stillwater",30095,9642,1390,29,14416.10,3007.67,0.0209
"US","Montana","Sweet Grass",30097,3736,729,8,19512.85,2141.33,0.0110
"US","Montana","Teton",30099,6146,1199,18,19508.62,2928.73,0.0150
"US","Montana","Toole",30101,4736,1154,22,24366.55,4645.27,0.0191
"US","Montana","Treasure",30103,696,125,1,17959.77,1436.78,0.0080
"US","Montana","Unassigned",90030,-1,0,0,0.00,0.00,0.0000
"US","Montana","Valley",30105,7396,1558,33,21065.44,4461.87,0.0212
"US","Montana","Wheatland",30107,2126,330,13,15522.11,6114.77,0.0394
"US","Montana","Wibaux",30109,969,199,8,20536.64,8255.93,0.0402
"US","Montana","Yellowstone",30111,161300,38991,490,24172.97,3037.82,0.0126
