Admin0,Admin1,Admin2,FIPS,Population,CaseCount,DeathCount,CasesPer100K,DeathsPerM,CFR
"US","New Hampshire","Belknap",33001,61303,12261,159,20000.65,2593.67,0.0130
"US","New Hampshire","Carroll",33003,48910,8366,47,17104.89,960.95,0.0056
"US","New Hampshire","Cheshire",33005,76085,12848,91,16886.38,1196.03,0.0071
"US","New Hampshire","Coos",33007,31563,6203,93,19652.76,2946.49,0.0150
"US","New Hampshire","Grafton",33009,89885,15022,53,16712.47,589.64,0.0035
"US","New Hampshire","Hillsborough",33011,417024,90109,831,21607.63,1992.69,0.0092
"US","New Hampshire","Merrimack",33013,151391,29177,203,19272.61,1340.90,0.0070
"US","New Hampshire","Rockingham",33015,309768,61377,472,19813.86,1523.72,0.0077
"US","New Hampshire","Strafford",33017,130633,25531,185,19544.07,1416.18,0.0072
"US","New Hampshire","Sullivan",33019,43146,8211,61,19030.73,1413.80,0.0074
"US","New Hampshire","Unassigned",90033,-1,8449,27,0.00,0.00,0.0032
"US","New Hampshire","Nashua",0,-1,0,0,0.00,0.00,0.0000
