Admin0,Admin1,Admin2,FIPS,Population,CaseCount,DeathCount,CasesPer100K,DeathsPerM,CFR
"US","New York","Albany",36001,305506,55758,481,18251.03,1574.44,0.0086
"US","New York","Allegany",36003,46090,8347,144,18110.22,3124.32,0.0173
"US","New York","Bronx",36005,1418207,346194,2562,24410.68,1806.51,0.0074
"US","New York","Broome",36007,190487,42477,492,22299.16,2582.85,0.0116
"US","New York","Cattaraugus",36009,76117,14533,205,19092.98,2693.22,0.0141
"US","New York","Cayuga",36011,76576,15058,132,19664.12,1723.78,0.0088
"US","New York","Chautauqua",36013,126903,22496,255,17726.93,2009.41,0.0113
"US","New York","Chemung",36015,83456,20203,219,24207.97,2624.14,0.0108
"US","New York","Chenango",36017,47206,8655,113,18334.53,2393.76,0.0131
"US","New York","Clinton",36019,80485,14945,67,18568.68,832.45,0.0045
"US","New York","Columbia",36021,59461,9473,132,15931.45,2219.94,0.0139
"US","New York","Cortland",36023,47581,9832,106,20663.71,2227.78,0.0108
"US","New York","Delaware",36025,44135,7233,66,16388.35,1495.41,0.0091
"US","New York","Dutchess",36027,294218,61789,610,21001.09,2073.29,0.0099
"US","New York","Erie",36029,918702,200641,2472,21839.62,2690.75,0.0123
"US","New York","Essex",36031,36885,5131,52,13910.80,1409.79,0.0101
"US","New York","Franklin",36033,50022,8434,39,16860.58,779.66,0.0046
"US","New York","Fulton",36035,53383,11705,154,21926.46,2884.81,0.0132
"US","New York","Genesee",36037,57280,13196,177,23037.71,3090.08,0.0134
"US","New York","Greene",36039,47188,8156,112,17284.06,2373.48,0.0137
"US","New York","Hamilton",36041,4416,788,5,17844.20,1132.25,0.0063
"US","New York","Herkimer",36043,61319,13022,179,21236.48,2919.16,0.0137
"US","New York","Jefferson",36045,109834,18555,125,16893.68,1138.08,0.0067
"US","New York","Kings",36047,2559903,607759,4948,23741.49,1932.89,0.0081
"US","New York","Lewis",36049,26296,5878,45,22353.21,1711.29,0.0077
"US","New York","Livingston",36051,62914,11046,102,17557.30,1621.26,0.0092
"US","New York","Madison",36053,70941,12078,120,17025.42,1691.55,0.0099
"US","New York","Monroe",36055,741770,145687,1477,19640.45,1991.18,0.0101
"US","New York","Montgomery",36057,49221,11169,186,22691.53,3778.87,0.0167
"US","New York","Nassau",36059,1356924,391765,3716,28871.55,2738.55,0.0095
"US","New York","New York",36061,1628706,362025,2032,22227.77,1247.62,0.0056
"US","New York","Niagara",36063,209281,46006,535,21982.88,2556.37,0.0116
"US","New York","Oneida",36065,228670,50227,749,21964.84,3275.46,0.0149
"US","New York","Onondaga",36067,460527,102486,976,22254.07,2119.31,0.0095
"US","New York","Ontario",36069,109777,18643,166,16982.61,1512.16,0.0089
"US","New York","Orange",36071,384940,105757,1081,27473.63,2808.23,0.0102
"US","New York","Orleans",36073,40351,8304,107,20579.42,2651.73,0.0129
"US","New York","Oswego",36075,117123,23448,161,20019.98,1374.62,0.0069
"US","New York","Otsego",36077,59492,9143,80,15368.45,1344.72,0.0087
"US","New York","Out of NY",80036,-1,0,436,0.00,0.00,0.0000
"US","New York","Putnam",36079,98320,22868,117,23258.75,1189.99,0.0051
"US","New York","Queens",36081,2253857,553307,4177,24549.34,1853.27,0.0075
"US","New York","Rensselaer",36083,158713,29498,236,18585.75,1486.96,0.0080
"US","New York","Richmond",36085,476142,146231,1088,30711.64,2285.03,0.0074
"US","New York","Rockland",36087,325789,89767,879,27553.72,2698.07,0.0098
"US","New York","Saratoga",36091,229863,43259,303,18819.47,1318.18,0.0070
"US","New York","Schenectady",36093,155299,31180,286,20077.40,1841.61,0.0092
"US","New York","Schoharie",36095,30999,4677,33,15087.58,1064.55,0.0071
"US","New York","Schuyler",36097,17807,3237,23,18178.24,1291.63,0.0071
"US","New York","Seneca",36099,34016,5433,88,15971.90,2587.02,0.0162
"US","New York","St. Lawrence",36089,107740,19143,166,17767.77,1540.75,0.0087
"US","New York","Steuben",36101,95379,18597,232,19498.00,2432.40,0.0125
"US","New York","Suffolk",36103,1476601,416257,4219,28190.22,2857.24,0.0101
"US","New York","Sullivan",36105,75432,17656,118,23406.51,1564.32,0.0067
"US","New York","Tioga",36107,48203,10039,81,20826.50,1680.39,0.0081
"US","New York","Tompkins",36109,102180,16411,77,16060.87,753.57,0.0047
"US","New York","Ulster",36111,177573,29780,344,16770.57,1937.23,0.0116
"US","New York","Unassigned",90036,-1,442,0,0.00,0.00,0.0000
"US","New York","Warren",36113,63944,12646,116,19776.68,1814.09,0.0092
"US","New York","Washington",36115,61203,11280,106,18430.47,1731.94,0.0094
"US","New York","Wayne",36117,89918,16213,156,18030.87,1734.91,0.0096
"US","New York","Westchester",36119,967506,242422,2622,25056.38,2710.06,0.0108
"US","New York","Wyoming",36121,39859,8008,80,20090.82,2007.07,0.0100
"US","New York","Yates",36123,24912,3145,37,12624.44,1485.23,0.0118
"US","New York","New York City",36061,-1,233960,23688,0.00,0.00,0.1012
