Admin0,Admin1,Admin2,FIPS,Population,CaseCount,DeathCount,CasesPer100K,DeathsPerM,CFR
"US","North Carolina","Alamance",37001,169509,43657,412,25754.97,2430.55,0.0094
"US","North Carolina","Alexander",37003,37497,9886,122,26364.78,3253.59,0.0123
"US","North Carolina","Alleghany",37005,11136,2667,11,23949.35,987.79,0.0041
"US","North Carolina","Anson",37007,24446,6117,87,25022.50,3558.86,0.0142
"US","North Carolina","Ashe",37009,27203,5531,67,20332.32,2462.96,0.0121
"US","North Carolina","Avery",37011,17557,3973,39,22629.15,2221.34,0.0098
"US","North Carolina","Beaufort",37013,46994,11279,143,24000.94,3042.94,0.0127
"US","North Carolina","Bertie",37015,18947,4015,60,21190.69,3166.73,0.0149
"US","North Carolina","Bladen",37017,32722,8754,107,26752.64,3269.97,0.0122
"US","North Carolina","Brunswick",37019,142820,26845,271,18796.39,1897.49,0.0101
"US","North Carolina","Buncombe",37021,261191,46006,489,17613.93,1872.19,0.0106
"US","North Carolina","Burke",37023,90484,22334,267,24682.82,2950.80,0.0120
"US","North Carolina","Cabarrus",37025,216453,52561,420,24282.87,1940.38,0.0080
"US","North Carolina","Caldwell",37027,82178,20306,244,24709.78,2969.16,0.0120
"US","North Carolina","Camden",37029,10867,1673,9,15395.23,828.20,0.0054
"US","North Carolina","Carteret",37031,69473,12359,83,17789.64,1194.71,0.0067
"US","North Carolina","Caswell",37033,22603,4886,39,21616.60,1725.43,0.0080
"US","North Carolina","Catawba",37035,159551,44296,501,27762.91,3140.06,0.0113
"US","North Carolina","Chatham",37037,74470,11613,102,15594.20,1369.68,0.0088
"US","North Carolina","Cherokee",37039,28612,6558,91,22920.45,3180.48,0.0139
"US","North Carolina","Chowan",37041,13943,3960,48,28401.35,3442.59,0.0121
"US","North Carolina","Clay",37043,11231,2361,38,21022.17,3383.49,0.0161
"US","North Carolina","Cleveland",37045,97946,27766,338,28348.27,3450.88,0.0122
"US","North Carolina","Columbus",37047,55508,14948,240,26929.45,4323.70,0.0161
"US","North Carolina","Craven",37049,102139,21403,176,20954.78,1723.14,0.0082
"US","North Carolina","Cumberland",37051,335509,75526,517,22510.87,1540.94,0.0068
"US","North Carolina","Currituck",37053,27762,4501,32,16212.81,1152.65,0.0071
"US","North Carolina","Dare",37055,37009,6847,18,18500.91,486.37,0.0026
"US","North Carolina","Davidson",37057,167609,40495,369,24160.40,2201.55,0.0091
"US","North Carolina","Davie",37059,42846,10256,82,23936.89,1913.83,0.0080
"US","North Carolina","Duplin",37061,58740,14744,207,25100.44,3524.00,0.0140
"US","North Carolina","Durham",37063,321488,64624,285,20101.53,886.50,0.0044
"US","North Carolina","Edgecombe",37065,51472,12825,133,24916.46,2583.93,0.0104
"US","North Carolina","Forsyth",37067,382295,86507,691,22628.34,1807.50,0.0080
"US","North Carolina","Franklin",37069,69685,18604,65,26697.28,932.77,0.0035
"US","North Carolina","Gaston",37071,224528,61151,705,27235.36,3139.92,0.0115
"US","North Carolina","Gates",37073,11562,1722,19,14893.62,1643.31,0.0110
"US","North Carolina","Graham",37075,8440,2060,30,24407.58,3554.50,0.0146
"US","North Carolina","Granville",37077,60443,13298,110,22000.89,1819.90,0.0083
"US","North Carolina","Greene",37079,21069,5422,56,25734.49,2657.93,0.0103
"US","North Carolina","Guilford",37081,537174,108293,993,20159.76,1848.56,0.0092
"US","North Carolina","Halifax",37083,50009,13203,159,26401.25,3179.43,0.0120
"US","North Carolina","Harnett",37085,135976,29812,291,21924.46,2140.08,0.0098
"US","North Carolina","Haywood",37087,62317,11667,172,18722.02,2760.08,0.0147
"US","North Carolina","Henderson",37089,117416,22963,259,19556.96,2205.83,0.0113
"US","North Carolina","Hertford",37091,23677,4540,80,19174.73,3378.81,0.0176
"US","North Carolina","Hoke",37093,55234,13531,95,24497.59,1719.96,0.0070
"US","North Carolina","Hyde",37095,4937,1207,13,24448.05,2633.18,0.0108
"US","North Carolina","Iredell",37097,181805,45114,390,24814.50,2145.16,0.0086
"US","North Carolina","Jackson",37099,43938,8448,81,19227.09,1843.51,0.0096
"US","North Carolina","Johnston",37101,209338,54217,368,25899.26,1757.92,0.0068
"US","North Carolina","Jones",37103,9419,2028,38,21530.95,4034.40,0.0187
"US","North Carolina","Lee",37105,61779,15115,129,24466.24,2088.09,0.0085
"US","North Carolina","Lenoir",37107,55949,14646,183,26177.41,3270.84,0.0125
"US","North Carolina","Lincoln",37109,86111,22607,122,26253.32,1416.78,0.0054
"US","North Carolina","Macon",37113,35858,6816,90,19008.31,2509.90,0.0132
"US","North Carolina","Madison",37115,21754,4345,74,19973.34,3401.67,0.0170
"US","North Carolina","Martin",37117,22440,5736,79,25561.50,3520.50,0.0138
"US","North Carolina","McDowell",37111,45756,12098,142,26440.25,3103.42,0.0117
"US","North Carolina","Mecklenburg",37119,1110356,262319,1441,23624.77,1297.78,0.0055
"US","North Carolina","Mitchell",37121,14964,2988,28,19967.92,1871.16,0.0094
"US","North Carolina","Montgomery",37123,27173,6903,115,25403.89,4232.14,0.0167
"US","North Carolina","Moore",37125,100879,22646,283,22448.68,2805.34,0.0125
"US","North Carolina","Nash",37127,94298,25733,270,27289.02,2863.26,0.0105
"US","North Carolina","New Hanover",37129,234473,45038,326,19208.18,1390.35,0.0072
"US","North Carolina","Northampton",37131,19483,4078,69,20931.07,3541.55,0.0169
"US","North Carolina","Onslow",37133,197938,46543,317,23513.93,1601.51,0.0068
"US","North Carolina","Orange",37135,148476,23225,120,15642.26,808.21,0.0052
"US","North Carolina","Pamlico",37137,12726,2423,27,19039.76,2121.64,0.0111
"US","North Carolina","Pasquotank",37139,39824,7481,111,18785.15,2787.26,0.0148
"US","North Carolina","Pender",37141,63060,14023,107,22237.55,1696.80,0.0076
"US","North Carolina","Perquimans",37143,13463,2522,17,18732.82,1262.72,0.0067
"US","North Carolina","Person",37145,39490,8532,97,21605.47,2456.32,0.0114
"US","North Carolina","Pitt",37147,180742,49157,146,27197.33,807.78,0.0030
"US","North Carolina","Polk",37149,20724,3518,49,16975.49,2364.41,0.0139
"US","North Carolina","Randolph",37151,143667,33259,369,23150.06,2568.44,0.0111
"US","North Carolina","Richmond",37153,44828,11707,169,26115.37,3769.97,0.0144
"US","North Carolina","Robeson",37155,130624,37754,486,28902.80,3720.60,0.0129
"US","North Carolina","Rockingham",37157,91009,20375,245,22387.90,2692.04,0.0120
"US","North Carolina","Rowan",37159,142088,38706,533,27240.86,3751.20,0.0138
"US","North Carolina","Rutherford",37161,67029,16120,364,24049.29,5430.49,0.0226
"US","North Carolina","Sampson",37163,63531,17169,147,27024.60,2313.83,0.0086
"US","North Carolina","Scotland",37165,34823,9484,117,27234.87,3359.85,0.0123
"US","North Carolina","Stanly",37167,62806,18428,222,29341.15,3534.69,0.0120
"US","North Carolina","Stokes",37169,45591,10322,142,22640.43,3114.65,0.0138
"US","North Carolina","Surry",37171,71783,19392,286,27014.75,3984.23,0.0147
"US","North Carolina","Swain",37173,14271,3050,33,21372.01,2312.38,0.0108
"US","North Carolina","Transylvania",37175,34385,5694,59,16559.55,1715.86,0.0104
"US","North Carolina","Tyrrell",37177,4016,914,7,22758.96,1743.03,0.0077
"US","North Carolina","Unassigned",90037,-1,1401,0,0.00,0.00,0.0000
