Admin0,Admin1,Admin2,FIPS,Population,CaseCount,DeathCount,CasesPer100K,DeathsPerM,CFR
"US","Puerto Rico","Adjuntas",72001,17363,1993,0,11478.43,0.00,0.0000
"US","Puerto Rico","Aguada",72003,36694,5688,0,15501.17,0.00,0.0000
"US","Puerto Rico","Aguadilla",72005,50265,6576,0,13082.66,0.00,0.0000
"US","Puerto Rico","Aguas Buenas",72007,24814,3712,0,14959.30,0.00,0.0000
"US","Puerto Rico","Aibonito",72009,22107,3267,0,14778.12,0.00,0.0000
"US","Puerto Rico","Anasco",72011,26161,3195,0,12212.84,0.00,0.0000
"US","Puerto Rico","Arecibo",72013,81965,11571,0,14117.00,0.00,0.0000
"US","Puerto Rico","Arroyo",72015,17238,1678,0,9734.31,0.00,0.0000
"US","Puerto Rico","Barceloneta",72017,23727,2950,0,12433.09,0.00,0.0000
"US","Puerto Rico","Barranquitas",72019,27725,4281,0,15440.94,0.00,0.0000
"US","Puerto Rico","Bayamon",72021,169269,31423,0,18563.94,0.00,0.0000
"US","Puerto Rico","Cabo Rojo",72023,47515,4614,0,9710.62,0.00,0.0000
"US","Puerto Rico","Caguas",72025,124606,20006,0,16055.41,0.00,0.0000
"US","Puerto Rico","Camuy",72027,30504,4322,0,14168.63,0.00,0.0000
"US","Puerto Rico","Canovanas",72029,44674,5940,0,13296.32,0.00,0.0000
"US","Puerto Rico","Carolina",72031,146984,25803,0,17554.97,0.00,0.0000
"US","Puerto Rico","Catano",72033,23121,3846,0,16634.23,0.00,0.0000
"US","Puerto Rico","Cayey",72035,42409,5345,0,12603.46,0.00,0.0000
"US","Puerto Rico","Ceiba",72037,10904,1237,0,11344.46,0.00,0.0000
"US","Puerto Rico","Ciales",72039,15808,2315,0,14644.48,0.00,0.0000
"US","Puerto Rico","Cidra",72041,38307,5158,0,13464.90,0.00,0.0000
"US","Puerto Rico","Coamo",72043,38336,4105,0,10707.95,0.00,0.0000
"US","Puerto Rico","Comerio",72045,18648,2585,0,13862.08,0.00,0.0000
"US","Puerto Rico","Corozal",72047,32293,5754,0,17818.10,0.00,0.0000
"US","Puerto Rico","Culebra",72049,1714,143,0,8343.06,0.00,0.0000
"US","Puerto Rico","Dorado",72051,36140,6171,0,17075.26,0.00,0.0000
"US","Puerto Rico","Fajardo",72053,29454,4187,0,14215.39,0.00,0.0000
"US","Puerto Rico","Florida",72054,11317,2223,0,19643.01,0.00,0.0000
"US","Puerto Rico","Guanica",72055,15383,1319,0,8574.40,0.00,0.0000
"US","Puerto Rico","Guayama",72057,39465,4226,0,10708.22,0.00,0.0000
"US","Puerto Rico","Guayanilla",72059,17623,1804,0,10236.62,0.00,0.0000
"US","Puerto Rico","Guaynabo",72061,83728,13906,0,16608.54,0.00,0.0000
"US","Puerto Rico","Gurabo",72063,47093,6685,0,14195.32,0.00,0.0000
"US","Puerto Rico","Hatillo",72065,39218,4769,0,12160.23,0.00,0.0000
"US","Puerto Rico","Hormigueros",72067,15518,1647,0,10613.48,0.00,0.0000
"US","Puerto Rico","Humacao",72069,50653,7134,0,14084.06,0.00,0.0000
"US","Puerto Rico","Isabela",72071,40422,6014,0,14878.04,0.00,0.0000
"US","Puerto Rico","Jayuya",72073,13890,1792,0,12901.37,0.00,0.0000
"US","Puerto Rico","Juana Diaz",72075,44678,5255,0,11761.94,0.00,0.0000
"US","Puerto Rico","Juncos",72077,38155,5771,0,15125.15,0.00,0.0000
"US","Puerto Rico","Lajas",72079,22010,2230,0,10131.76,0.00,0.0000
"US","Puerto Rico","Lares",72081,24276,3377,0,13910.86,0.00,0.0000
"US","Puerto Rico","Las Marias",72083,7926,979,0,12351.75,0.00,0.0000
"US","Puerto Rico","Las Piedras",72085,37007,4877,0,13178.59,0.00,0.0000
"US","Puerto Rico","Loiza",72087,24553,2980,0,12137.01,0.00,0.0000
"US","Puerto Rico","Luquillo",72089,17665,2293,0,12980.47,0.00,0.0000
"US","Puerto Rico","Manati",72091,37287,5531,0,14833.59,0.00,0.0000
"US","Puerto Rico","Maricao",72093,5430,411,0,7569.06,0.00,0.0000
"US","Puerto Rico","Maunabo",72095,10321,1274,0,12343.77,0.00,0.0000
"US","Puerto Rico","Mayaguez",72097,71530,8755,0,12239.62,0.00,0.0000
"US","Puerto Rico","Moca",72099,34891,5344,0,15316.27,0.00,0.0000
"US","Puerto Rico","Morovis",72101,30334,4209,0,13875.52,0.00,0.0000
"US","Puerto Rico","Naguabo",72103,25761,3061,0,11882.30,0.00,0.0000
"US","Puerto Rico","Naranjito",72105,27349,4700,0,17185.27,0.00,0.0000
"US","Puerto Rico","Orocovis",72107,20220,2587,0,12794.26,0.00,0.0000
"US","Puerto Rico","Out of PR",72888,-1,644,0,0.00,0.00,0.0000
"US","Puerto Rico","Patillas",72109,16210,1830,0,11289.33,0.00,0.0000
"US","Puerto Rico","Penuelas",72111,19249,2034,0,10566.78,0.00,0.0000
"US","Puerto Rico","Ponce",72113,131881,15953,0,12096.51,0.00,0.0000
"US","Puerto Rico","Quebradillas",72115,22918,3336,0,14556.24,0.00,0.0000
"US","Puerto Rico","Rincon",72117,13656,1988,0,14557.70,0.00,0.0000
