Admin0,Admin1,Admin2,FIPS,Population,CaseCount,DeathCount,CasesPer100K,DeathsPerM,CFR
"US","South Dakota","Aurora",46003,2751,744,16,27044.71,5816.07,0.0215
"US","South Dakota","Beadle",46005,18453,4452,51,24126.16,2763.78,0.0115
"US","South Dakota","Bennett",46007,3365,726,9,21575.04,2674.59,0.0124
"US","South Dakota","Bon Homme",46009,6901,2255,36,32676.42,5216.64,0.0160
"US","South Dakota","Brookings",46011,35077,7880,43,22464.86,1225.87,0.0055
"US","South Dakota","Brown",46013,38839,9789,113,25204.05,2909.45,0.0115
"US","South Dakota","Brule",46015,5296,1359,18,25660.88,3398.79,0.0132
"US","South Dakota","Buffalo",46017,1962,602,17,30682.98,8664.63,0.0282
"US","South Dakota","Butte",46019,10429,2596,43,24892.13,4123.12,0.0166
"US","South Dakota","Campbell",46021,1376,254,7,18459.30,5087.21,0.0276
"US","South Dakota","Charles Mix",46023,9291,2806,33,30201.27,3551.82,0.0118
"US","South Dakota","Clark",46025,3736,757,6,20262.31,1606.00,0.0079
"US","South Dakota","Clay",46027,14069,3396,19,24138.18,1350.49,0.0056
"US","South Dakota","Codington",46029,28008,8028,94,28663.24,3356.18,0.0117
"US","South Dakota","Corson",46031,4085,1006,15,24626.68,3671.97,0.0149
"US","South Dakota","Custer",46033,8972,1925,21,21455.64,2340.62,0.0109
"US","South Dakota","Davison",46035,19775,5678,78,28713.02,3944.37,0.0137
"US","South Dakota","Day",46037,5424,1222,32,22529.50,5899.71,0.0262
"US","South Dakota","Deuel",46039,4351,1002,12,23029.19,2757.99,0.0120
"US","South Dakota","Dewey",46041,5892,2393,38,40614.39,6449.42,0.0159
"US","South Dakota","Douglas",46043,2921,667,15,22834.65,5135.23,0.0225
"US","South Dakota","Edmunds",46045,3829,898,16,23452.60,4178.64,0.0178
"US","South Dakota","Fall River",46047,6712,1703,36,25372.47,5363.53,0.0211
"US","South Dakota","Faulk",46049,2299,520,16,22618.53,6959.55,0.0308
"US","South Dakota","Grant",46051,7052,1974,47,27992.06,6664.78,0.0238
"US","South Dakota","Gregory",46053,4185,1032,33,24659.50,7885.30,0.0320
"US","South Dakota","Haakon",46055,1899,438,11,23064.77,5792.52,0.0251
"US","South Dakota","Hamlin",46057,6164,1450,40,23523.69,6489.29,0.0276
"US","South Dakota","Hand",46059,3191,537,8,16828.58,2507.05,0.0149
"US","South Dakota","Hanson",46061,3453,635,6,18389.81,1737.62,0.0094
"US","South Dakota","Harding",46063,1298,198,3,15254.24,2311.25,0.0152
"US","South Dakota","Hughes",46065,17525,4149,57,23674.75,3252.50,0.0137
"US","South Dakota","Hutchinson",46067,7291,1690,33,23179.26,4526.13,0.0195
"US","South Dakota","Hyde",46069,1301,286,5,21983.09,3843.20,0.0175
"US","South Dakota","Jackson",46071,3344,599,20,17912.68,5980.86,0.0334
"US","South Dakota","Jerauld",46073,2013,393,19,19523.10,9438.65,0.0483
"US","South Dakota","Jones",46075,902,171,1,18957.87,1108.65,0.0058
"US","South Dakota","Kingsbury",46077,4938,1271,20,25739.17,4050.22,0.0157
"US","South Dakota","Lake",46079,12797,2272,26,17754.16,2031.73,0.0114
"US","South Dakota","Lawrence",46081,25844,6256,79,24206.78,3056.80,0.0126
"US","South Dakota","Lincoln",46083,61128,15193,89,24854.40,1455.96,0.0059
"US","South Dakota","Lyman",46085,3781,1171,12,30970.64,3173.76,0.0102
"US","South Dakota","Marshall",46091,4935,730,10,14792.30,2026.34,0.0137
"US","South Dakota","McCook",46087,5586,1304,30,23344.07,5370.57,0.0230
"US","South Dakota","McPherson",46089,2379,412,9,17318.20,3783.10,0.0218
"US","South Dakota","Meade",46093,28332,6677,57,23566.99,2011.86,0.0085
"US","South Dakota","Mellette",46095,2061,500,5,24260.07,2426.01,0.0100
"US","South Dakota","Miner",46097,2216,448,12,20216.61,5415.16,0.0268
"US","South Dakota","Minnehaha",46099,193133,55793,469,28888.38,2428.38,0.0084
"US","South Dakota","Moody",46101,6576,1291,26,19632.00,3953.77,0.0201
"US","South Dakota","Oglala Lakota",46102,14177,3640,57,25675.39,4020.60,0.0157
"US","South Dakota","Pennington",46103,113775,31386,310,27586.03,2724.68,0.0099
"US","South Dakota","Perkins",46105,2865,661,16,23071.55,5584.64,0.0242
"US","South Dakota","Potter",46107,2153,667,6,30980.03,2786.81,0.0090
"US","South Dakota","Roberts",46109,10394,2270,46,21839.52,4425.63,0.0203
"US","South Dakota","Sanborn",46111,2344,549,5,23421.50,2133.11,0.0091
"US","South Dakota","Spink",46115,6375,1345,32,21098.04,5019.61,0.0238
"US","South Dakota","Stanley",46117,3098,614,6,19819.24,1936.73,0.0098
"US","South Dakota","Sully",46119,1391,238,3,17109.99,2156.72,0.0126
"US","South Dakota","Todd",46121,10176,2716,43,26690.25,4225.63,0.0158
"US","South Dakota","Tripp",46123,5440,1320,21,24264.71,3860.29,0.0159
"US","South Dakota","Turner",46125,8384,1917,62,22864.98,7395.04,0.0323
"US","South Dakota","Unassigned",90046,-1,0,0,0.00,0.00,0.0000
"US","South Dakota","Union",46127,15931,3893,48,24436.63,3012.99,0.0123
"US","South Dakota","Walworth",46129,5434,1252,21,23040.12,3864.56,0.0168
"US","South Dakota","Yankton",46135,22814,5653,50,24778.64,2191.64,0.0088
"US","South Dakota","Ziebach",46137,2755,521,11,18911.07,3992.74,0.0211
