Admin0,Admin1,Admin2,FIPS,Population,CaseCount,DeathCount,CasesPer100K,DeathsPerM,CFR,Waves,Start,End,Peak,NormalizedPeakValue,CaseCount,DeathCount,Weight,DeathWeight,CFR,Start,End,Peak,NormalizedPeakValue,CaseCount,DeathCount,Weight,DeathWeight,CFR,Start,End,Peak,NormalizedPeakValue,CaseCount,DeathCount,Weight,DeathWeight,CFR,Start,End,Peak,NormalizedPeakValue,CaseCount,DeathCount,Weight,DeathWeight,CFR,Start,End,Peak,NormalizedPeakValue,CaseCount,DeathCount,Weight,DeathWeight,CFR
"US","Alaska","Aleutians East",2013,3337,865,3,25921.49,899.01,0.0035,5,269,320,308,49.15,36,0,0.042,0.000,0.0000,353,428,380,704.82,325,2,0.376,0.670,0.0062,537,585,565,46.15,32,0,0.038,0.000,0.0000,585,681,618,47.35,51,0,0.059,0.000,0.0000,698,741,739,1034.46,414,0,0.478,0.000,0.0000
"US","Alaska","Aleutians West",2016,5633,1586,2,28155.51,355.05,0.0013,5,266,310,279,186.40,102,0,0.065,0.000,0.0000,310,485,393,213.03,594,1,0.374,0.505,0.0017,485,566,553,85.03,88,0,0.056,0.000,0.0000,566,675,611,80.06,157,1,0.099,0.505,0.0064,675,741,729,622.23,642,0,0.405,0.000,0.0000
"US","Alaska","Anchorage",2020,288000,93219,469,32367.71,1628.47,0.0050,5,125,219,189,24.80,2675,17,0.029,0.035,0.0062,219,396,299,121.01,23551,135,0.253,0.287,0.0057,396,501,436,27.31,4502,25,0.048,0.053,0.0055,501,680,612,144.88,30654,221,0.329,0.472,0.0072,680,741,729,434.37,31804,69,0.341,0.147,0.0022
"US","Alaska","Bethel",2050,18386,8105,37,44082.45,2012.40,0.0046,5,116,128,119,0.71,2,0,0.000,0.000,0.0000,140,336,309,245.24,2118,8,0.261,0.224,0.0039,336,505,345,318.07,1803,14,0.222,0.375,0.0077,505,694,622,186.07,2984,6,0.368,0.154,0.0019,694,741,733,292.94,1219,10,0.150,0.259,0.0079
"US","Alaska","Bristol Bay",2060,-1,0,0,0.00,0.00,0.0000,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"US","Alaska","Bristol Bay plus Lake and Peninsula",2164,2428,747,1,30766.06,411.86,0.0013,5,261,351,279,355.85,161,0,0.215,0.000,0.0000,351,371,361,31.71,9,0,0.013,0.000,0.0000,415,488,425,37.07,21,0,0.028,0.000,0.0000,539,687,612,312.60,353,1,0.473,1.010,0.0029,687,741,739,443.99,192,0,0.257,0.000,0.0000
"US","Alaska","Denali",2068,2097,353,1,16833.57,476.87,0.0028,5,239,339,278,62.47,58,0,0.164,0.000,0.0000,362,380,368,22.89,5,0,0.014,0.000,0.0000,386,509,429,44.83,44,0,0.125,0.000,0.0000,517,691,591,132.57,184,1,0.522,1.010,0.0055,691,741,732,154.51,58,0,0.163,0.000,0.0000
"US","Alaska","Dillingham",2070,4915,1267,11,25778.23,2238.05,0.0087,5,228,324,279,84.03,103,1,0.081,0.092,0.0098,324,415,351,51.88,100,0,0.079,0.000,0.0000,435,466,446,37.84,21,1,0.017,0.092,0.0482,536,685,640,259.21,739,7,0.583,0.635,0.0094,685,741,739,285.66,297,2,0.235,0.191,0.0071
"US","Alaska","Fairbanks North Star",2090,96849,24660,124,25462.32,1280.34,0.0050,5,56,84,73,4.53,77,1,0.003,0.008,0.0130,138,404,323,74.85,6179,26,0.251,0.208,0.0042,404,517,460,58.15,1829,17,0.074,0.135,0.0091,517,684,613,190.08,9194,64,0.373,0.516,0.0070,684,741,733,357.59,7406,16,0.300,0.131,0.0022
"US","Alaska","Haines",2100,2530,408,1,16126.48,395.26,0.0025,5,272,302,279,32.81,10,0,0.025,0.000,0.0000,317,366,326,12.65,7,0,0.018,0.000,0.0000,366,393,371,8.30,3,0,0.007,0.000,0.0000,556,669,572,275.10,208,1,0.510,1.010,0.0049,669,741,729,209.88,170,0,0.416,0.000,0.0000
"US","Alaska","Juneau",2110,31974,7126,18,22286.86,562.96,0.0025,5,59,94,70,3.38,26,0,0.004,0.000,0.0000,119,418,279,67.34,1247,5,0.175,0.277,0.0040,418,510,441,11.51,215,0,0.030,0.000,0.0000,510,674,609,120.63,2658,9,0.373,0.502,0.0034,674,741,729,333.11,2989,4,0.419,0.224,0.0014
"US","Alaska","Kenai Peninsula",2122,58708,15222,92,25928.32,1567.08,0.0060,5,119,232,177,9.79,399,0,0.026,0.000,0.0000,232,398,309,105.76,3573,20,0.235,0.218,0.0056,398,505,452,22.45,602,0,0.040,0.000,0.0000,505,687,613,154.27,7431,47,0.488,0.510,0.0063,687,741,736,246.63,3211,24,0.211,0.256,0.0073
"US","Alaska","Ketchikan Gateway",2130,13901,3366,18,24214.09,1294.87,0.0053,5,247,340,291,49.85,185,0,0.055,0.003,0.0003,430,515,477,72.37,285,0,0.085,0.000,0.0000,522,633,585,115.03,933,6,0.277,0.361,0.0070,633,690,679,110.50,634,5,0.188,0.286,0.0081,690,741,734,369.04,1145,5,0.340,0.267,0.0042
"US","Alaska","Kodiak Island",2150,12997,4364,10,33576.98,769.41,0.0023,5,138,150,143,1.23,2,0,0.000,0.000,0.0000,187,406,321,242.21,1053,5,0.241,0.504,0.0048,411,508,435,11.77,69,1,0.016,0.101,0.0146,528,678,615,241.98,1565,3,0.359,0.302,0.0019,678,741,729,527.74,1672,1,0.383,0.101,0.0006
"US","Alaska","Kusilvak",2158,8314,3227,9,38814.05,1082.51,0.0028,5,227,307,276,234.66,385,1,0.119,0.063,0.0015,307,424,346,270.15,830,3,0.257,0.286,0.0031,478,550,523,61.58,182,0,0.056,0.000,0.0000,550,667,629,165.74,716,5,0.222,0.541,0.0068,667,741,731,448.88,1052,0,0.326,0.027,0.0002
"US","Alaska","Matanuska-Susitna",2170,108316,31223,203,28825.84,1874.15,0.0065,5,127,227,191,8.20,475,1,0.015,0.005,0.0021,227,373,315,177.07,6972,25,0.223,0.124,0.0036,373,513,438,50.93,4382,32,0.140,0.158,0.0073,513,689,613,204.04,12874,90,0.412,0.443,0.0070,689,741,735,280.66,6560,55,0.210,0.271,0.0084
"US","Alaska","Nome",2180,10004,3909,3,39074.37,299.88,0.0008,5,135,415,308,51.28,327,0,0.084,0.000,0.0000,415,513,497,13.49,62,0,0.016,0.000,0.0000,513,605,574,222.61,569,0,0.146,0.000,0.0000,605,691,651,326.07,1351,2,0.346,0.730,0.0016,691,741,735,800.88,1609,1,0.412,0.303,0.0006
"US","Alaska","North Slope",2185,9832,3661,10,37235.56,1017.09,0.0027,5,169,401,324,151.14,1005,4,0.275,0.402,0.0040,401,494,432,15.05,79,0,0.022,0.000,0.0000,500,513,508,3.25,3,0,0.001,0.000,0.0000,526,686,608,414.97,1813,4,0.495,0.405,0.0022,686,741,731,346.62,759,2,0.207,0.202,0.0027
"US","Alaska","Northwest Arctic",2188,7621,3382,12,44377.38,1574.60,0.0035,5,156,216,189,27.42,58,0,0.017,0.000,0.0000,216,321,263,74.01,315,0,0.093,0.000,0.0000,321,427,352,128.33,223,2,0.066,0.168,0.0091,504,693,614,334.47,1743,8,0.515,0.671,0.0046,693,741,733,677.08,1020,2,0.302,0.170,0.0020
"US","Alaska","Petersburg",2195,3265,627,3,19203.68,918.84,0.0048,5,247,315,280,28.79,19,-0,0.030,-0.000,-0.0000,334,362,356,33.08,18,0,0.029,0.000,0.0000,362,503,404,209.19,128,0,0.205,0.000,0.0000,526,705,665,297.40,370,2,0.589,0.673,0.0055,705,741,729,95.56,85,0,0.136,0.000,0.0000
"US","Alaska","Prince of Wales-Hyder",2198,6202,1077,6,17365.37,967.43,0.0056,5,262,360,316,17.09,44,1,0.041,0.168,0.0231,448,523,483,42.24,97,0,0.090,0.057,0.0035,523,636,608,99.16,307,4,0.285,0.725,0.0142,636,682,661,65.30,123,1,0.114,0.093,0.0045,682,741,735,290.55,468,0,0.435,0.000,0.0000
"US","Alaska","Sitka",2220,8492,1975,6,23257.18,706.55,0.0030,5,171,229,205,7.77,26,0,0.013,0.000,0.0000,229,398,313,60.06,274,0,0.139,0.000,0.0000,412,496,444,11.19,48,1,0.024,0.168,0.0212,496,662,548,257.65,846,4,0.428,0.672,0.0048,662,741,729,262.36,760,1,0.385,0.168,0.0013
