Admin0,Admin1,Admin2,FIPS,Population,CaseCount,DeathCount,CasesPer100K,DeathsPerM,CFR,Waves,Start,End,Peak,NormalizedPeakValue,CaseCount,DeathCount,Weight,DeathWeight,CFR,Start,End,Peak,NormalizedPeakValue,CaseCount,DeathCount,Weight,DeathWeight,CFR,Start,End,Peak,NormalizedPeakValue,CaseCount,DeathCount,Weight,DeathWeight,CFR,Start,End,Peak,NormalizedPeakValue,CaseCount,DeathCount,Weight,DeathWeight,CFR,Start,End,Peak,NormalizedPeakValue,CaseCount,DeathCount,Weight,DeathWeight,CFR
"US","California","Alameda",6001,1671329,246311,1608,14737.43,962.11,0.0065,5,57,259,203,16.72,21959,390,0.089,0.242,0.0177,259,434,354,54.34,63462,826,0.258,0.513,0.0130,434,501,445,7.13,5405,53,0.022,0.033,0.0097,501,655,584,26.73,32088,189,0.130,0.118,0.0059,655,741,720,261.80,123707,159,0.502,0.099,0.0013
"US","California","Alpine",6003,1129,124,0,10983.17,0.00,0.0000,5,272,391,286,170.95,76,0,0.615,0.000,0.0000,391,441,407,31.89,9,0,0.072,0.000,0.0000,549,567,557,19.49,2,0,0.016,0.000,0.0000,573,648,598,46.94,14,0,0.113,0.000,0.0000,662,741,735,52.26,19,0,0.156,0.000,0.0000
"US","California","Amador",6005,39752,8162,73,20532.30,1836.39,0.0089,5,74,86,79,1.26,5,0,0.001,0.000,0.0000,146,251,201,22.46,283,16,0.035,0.220,0.0567,251,477,325,189.80,3402,30,0.417,0.412,0.0088,477,675,567,59.27,2064,20,0.253,0.276,0.0097,675,741,732,251.41,2412,7,0.296,0.095,0.0029
"US","California","Butte",6007,219186,36197,354,16514.28,1615.07,0.0098,5,116,263,222,27.94,2969,52,0.082,0.148,0.0177,263,425,330,76.72,9922,135,0.274,0.381,0.0136,425,516,463,11.20,1659,10,0.046,0.028,0.0059,516,675,586,73.91,10860,115,0.300,0.325,0.0106,675,741,727,171.58,10825,45,0.299,0.127,0.0042
"US","California","Calaveras",6009,45905,6968,96,15179.17,2091.28,0.0138,5,139,247,203,11.70,241,11,0.035,0.113,0.0449,253,392,331,60.30,1619,11,0.232,0.110,0.0065,413,512,417,9.91,280,7,0.040,0.070,0.0240,512,678,579,58.90,2219,32,0.318,0.333,0.0144,678,741,731,205.27,2558,10,0.367,0.099,0.0037
"US","California","Colusa",6011,21546,4105,21,19052.26,974.66,0.0051,5,148,265,179,59.83,536,6,0.131,0.288,0.0113,265,426,330,112.55,1618,7,0.394,0.350,0.0045,426,513,447,10.81,131,2,0.032,0.091,0.0146,524,674,566,73.01,954,4,0.232,0.200,0.0044,674,741,726,124.20,861,2,0.210,0.088,0.0021
"US","California","Contra Costa",6013,1153526,184492,1112,15993.74,964.00,0.0060,5,56,102,74,2.38,934,28,0.005,0.025,0.0296,102,260,203,23.43,16592,198,0.090,0.178,0.0119,260,499,355,59.71,53428,590,0.290,0.531,0.0111,499,660,585,46.64,31441,217,0.170,0.195,0.0069,660,741,720,249.57,82313,83,0.446,0.075,0.0010
"US","California","Del Norte",6015,27812,5015,43,18031.78,1546.10,0.0086,5,164,253,217,11.43,89,2,0.018,0.047,0.0225,253,377,323,57.57,733,0,0.146,0.000,0.0000,377,509,435,35.31,554,6,0.110,0.139,0.0108,509,650,576,186.29,2226,34,0.444,0.791,0.0153,650,741,741,215.19,1370,1,0.273,0.023,0.0007
"US","California","El Dorado",6017,192843,27467,184,14243.19,954.14,0.0067,5,110,239,182,9.97,1001,4,0.036,0.020,0.0036,239,421,351,68.51,8822,101,0.321,0.549,0.0114,421,504,449,11.53,1192,9,0.043,0.047,0.0073,504,669,586,57.75,7063,48,0.257,0.261,0.0068,669,741,723,158.28,9376,24,0.341,0.130,0.0025
"US","California","Fresno",6019,999101,228571,2465,22877.67,2467.22,0.0108,5,63,257,206,44.78,29400,409,0.129,0.166,0.0139,257,513,331,171.16,82395,1316,0.360,0.534,0.0160,513,518,513,2.55,120,3,0.001,0.001,0.0251,530,677,586,59.54,45277,527,0.198,0.214,0.0116,677,741,730,277.04,71951,214,0.315,0.087,0.0030
"US","California","Glenn",6021,28393,6019,39,21198.89,1373.58,0.0065,5,64,69,67,0.77,1,0,0.000,0.000,0.0000,105,261,185,26.56,613,3,0.102,0.078,0.0049,261,516,353,108.23,2394,16,0.398,0.421,0.0069,516,675,582,85.87,1557,17,0.259,0.430,0.0108,675,741,730,182.76,1459,3,0.242,0.079,0.0021
"US","California","Humboldt",6023,135557,17711,130,13065.35,959.01,0.0073,5,149,261,197,4.01,410,4,0.023,0.030,0.0095,261,429,360,27.80,2941,27,0.166,0.211,0.0093,429,514,458,15.42,1049,9,0.059,0.069,0.0086,514,656,580,53.94,5191,74,0.293,0.569,0.0142,656,741,722,188.98,8060,14,0.455,0.110,0.0018
"US","California","Imperial",6025,181215,58713,847,32399.64,4674.01,0.0144,5,60,195,131,79.10,8029,160,0.137,0.189,0.0200,195,239,202,42.65,2447,121,0.042,0.143,0.0493,239,411,325,197.10,19209,386,0.327,0.455,0.0201,411,519,442,19.84,2118,80,0.036,0.095,0.0380,531,741,731,344.57,27186,108,0.463,0.128,0.0040
"US","California","Inyo",6027,18039,4236,50,23482.45,2771.77,0.0118,5,61,97,69,5.93,20,1,0.005,0.017,0.0430,132,244,198,27.88,167,12,0.039,0.236,0.0706,244,497,363,106.66,1243,22,0.294,0.450,0.0181,515,678,636,127.61,1157,11,0.273,0.213,0.0092,678,741,721,358.45,1653,5,0.390,0.091,0.0027
