Admin0,Admin1,Admin2,FIPS,Population,CaseCount,DeathCount,CasesPer100K,DeathsPerM,CFR,Waves,Start,End,Peak,NormalizedPeakValue,CaseCount,DeathCount,Weight,DeathWeight,CFR,Start,End,Peak,NormalizedPeakValue,CaseCount,DeathCount,Weight,DeathWeight,CFR,Start,End,Peak,NormalizedPeakValue,CaseCount,DeathCount,Weight,DeathWeight,CFR,Start,End,Peak,NormalizedPeakValue,CaseCount,DeathCount,Weight,DeathWeight,CFR,Start,End,Peak,NormalizedPeakValue,CaseCount,DeathCount,Weight,DeathWeight,CFR
"US","Indiana","Adams",18001,35777,7076,105,19778.07,2934.85,0.0148,5,73,88,80,1.23,5,1,0.001,0.010,0.1961,113,167,152,3.83,40,0,0.006,0.000,0.0000,171,508,297,147.22,3400,54,0.481,0.516,0.0159,508,640,587,60.54,1399,21,0.198,0.198,0.0149,640,741,727,128.85,2240,29,0.317,0.280,0.0131
"US","Indiana","Allen",18003,379299,100617,1058,26527.09,2789.36,0.0105,5,62,167,129,13.27,2812,130,0.028,0.122,0.0461,167,411,299,108.77,33431,518,0.332,0.489,0.0155,411,512,446,21.57,5497,47,0.055,0.044,0.0085,512,634,588,67.79,15801,103,0.157,0.097,0.0065,634,741,721,261.98,43295,266,0.430,0.251,0.0061
"US","Indiana","Bartholomew",18005,83779,20326,221,24261.45,2637.89,0.0109,5,57,154,95,13.73,570,47,0.028,0.214,0.0830,154,239,206,18.74,565,19,0.028,0.084,0.0328,239,433,302,99.98,6567,86,0.323,0.389,0.0131,515,647,589,78.23,3659,24,0.180,0.109,0.0066,647,741,728,261.84,8519,40,0.419,0.182,0.0047
"US","Indiana","Benton",18007,8748,2406,21,27503.43,2400.55,0.0087,5,251,414,323,182.10,839,13,0.349,0.621,0.0155,433,483,448,31.09,58,1,0.024,0.040,0.0145,483,539,526,39.78,89,1,0.037,0.045,0.0106,539,640,589,135.80,432,2,0.179,0.101,0.0049,640,741,731,240.97,897,4,0.373,0.192,0.0045
"US","Indiana","Blackford",18009,11758,2988,60,25412.49,5102.91,0.0201,5,66,154,126,6.72,33,2,0.011,0.034,0.0607,154,402,350,129.70,1172,25,0.392,0.418,0.0214,402,505,420,49.92,155,5,0.052,0.083,0.0322,505,652,626,85.13,655,11,0.219,0.184,0.0168,652,741,736,188.47,979,17,0.328,0.284,0.0174
"US","Indiana","Boone",18011,67843,14497,146,21368.45,2152.03,0.0101,5,58,131,79,10.67,314,35,0.022,0.241,0.1122,131,234,220,11.66,605,16,0.042,0.109,0.0263,234,519,321,95.63,6077,52,0.419,0.354,0.0085,519,639,601,45.43,1957,13,0.135,0.090,0.0067,639,741,720,201.20,5573,31,0.384,0.212,0.0056
"US","Indiana","Brown",18013,15092,2503,58,16584.95,3843.10,0.0232,5,141,226,180,9.87,55,1,0.022,0.018,0.0193,226,414,317,78.12,864,38,0.345,0.656,0.0441,414,516,444,14.51,89,3,0.036,0.053,0.0342,516,623,584,53.60,366,4,0.146,0.070,0.0111,623,741,730,144.05,1099,11,0.439,0.193,0.0102
"US","Indiana","Carroll",18015,20257,4095,52,20215.23,2567.01,0.0127,5,154,240,199,31.69,164,11,0.040,0.211,0.0669,240,418,324,111.07,1511,6,0.369,0.117,0.0040,418,516,439,15.11,160,1,0.039,0.020,0.0065,516,633,589,52.82,657,12,0.160,0.235,0.0186,633,741,725,164.09,1508,20,0.368,0.383,0.0132
"US","Indiana","Cass",18017,37689,11011,148,29215.42,3926.88,0.0134,5,66,148,96,306.72,1612,9,0.146,0.061,0.0056,222,442,320,102.31,3781,92,0.343,0.622,0.0243,442,525,478,24.89,392,8,0.036,0.054,0.0204,525,643,589,87.40,1569,13,0.142,0.085,0.0080,643,741,727,269.57,3419,26,0.311,0.175,0.0076
"US","Indiana","Clark",18019,118302,28985,340,24500.85,2874.00,0.0117,5,58,143,96,11.26,562,42,0.019,0.124,0.0750,143,233,202,21.21,1388,12,0.048,0.036,0.0089,233,512,349,97.67,11278,140,0.389,0.411,0.0124,512,647,580,78.06,5710,64,0.197,0.188,0.0112,647,741,732,234.27,10110,84,0.349,0.247,0.0083
