Admin0,Admin1,Admin2,FIPS,Population,CaseCount,DeathCount,CasesPer100K,DeathsPerM,CFR,Waves,Start,End,Peak,NormalizedPeakValue,CaseCount,DeathCount,Weight,DeathWeight,CFR,Start,End,Peak,NormalizedPeakValue,CaseCount,DeathCount,Weight,DeathWeight,CFR,Start,End,Peak,NormalizedPeakValue,CaseCount,DeathCount,Weight,DeathWeight,CFR,Start,End,Peak,NormalizedPeakValue,CaseCount,DeathCount,Weight,DeathWeight,CFR,Start,End,Peak,NormalizedPeakValue,CaseCount,DeathCount,Weight,DeathWeight,CFR
"US","Maryland","Allegany",24001,70416,15679,325,22266.25,4615.43,0.0207,5,232,412,316,174.14,6015,178,0.384,0.549,0.0297,412,525,450,16.33,633,12,0.040,0.037,0.0190,525,669,605,72.06,3229,50,0.206,0.155,0.0156,669,690,678,45.64,470,10,0.030,0.032,0.0219,696,741,718,234.66,4953,53,0.316,0.165,0.0108
"US","Maryland","Anne Arundel",24003,579234,84556,973,14597.90,1679.80,0.0115,5,58,157,130,12.23,5033,205,0.060,0.211,0.0407,215,406,354,59.88,27998,310,0.331,0.319,0.0111,406,517,445,23.12,8068,121,0.095,0.125,0.0151,517,667,588,19.31,10598,124,0.125,0.127,0.0117,696,741,708,216.67,28453,178,0.336,0.183,0.0063
"US","Maryland","Baltimore",24005,827370,125090,2288,15118.99,2765.39,0.0183,5,149,248,187,21.68,10416,187,0.083,0.082,0.0180,248,400,303,42.90,32791,645,0.262,0.282,0.0197,400,520,445,34.43,15525,414,0.124,0.181,0.0267,520,646,617,16.66,10790,164,0.086,0.072,0.0152,696,741,709,249.64,43968,382,0.351,0.167,0.0087
"US","Maryland","Baltimore City",24510,593490,105364,1643,17753.29,2768.37,0.0156,5,151,241,190,27.66,8237,167,0.078,0.101,0.0202,241,397,303,45.49,24702,393,0.234,0.239,0.0159,397,521,445,42.44,13268,379,0.126,0.231,0.0286,521,649,618,20.23,8651,101,0.082,0.062,0.0117,696,741,708,344.03,40394,260,0.383,0.159,0.0064
"US","Maryland","Calvert",24009,92525,10465,128,11310.46,1383.41,0.0122,5,224,411,354,54.54,2915,44,0.279,0.347,0.0152,411,516,427,11.18,537,13,0.051,0.104,0.0248,531,668,620,25.95,1662,15,0.159,0.118,0.0091,696,724,709,197.24,3253,10,0.311,0.081,0.0032,724,741,724,122.52,1240,17,0.119,0.132,0.0136
"US","Maryland","Caroline",24011,33406,5690,66,17032.87,1975.69,0.0116,5,61,151,110,28.95,293,2,0.051,0.035,0.0080,263,415,354,62.80,1387,14,0.244,0.205,0.0098,531,652,611,46.52,904,21,0.159,0.320,0.0233,696,724,708,240.35,1456,6,0.256,0.097,0.0044,724,741,724,169.16,678,6,0.119,0.093,0.0090
"US","Maryland","Carroll",24013,168447,20022,369,11886.23,2190.60,0.0184,5,243,404,352,43.76,5646,89,0.282,0.242,0.0158,404,518,436,20.47,1988,41,0.099,0.110,0.0204,532,640,612,23.15,2121,33,0.106,0.090,0.0156,696,724,708,168.72,5414,44,0.270,0.120,0.0081,724,741,724,102.03,1776,30,0.089,0.081,0.0168
"US","Maryland","Cecil",24015,102855,14373,242,13974.04,2352.83,0.0168,5,153,403,323,55.45,4551,91,0.317,0.376,0.0200,403,514,451,25.88,1319,32,0.092,0.134,0.0246,514,670,617,36.01,2963,36,0.206,0.147,0.0120,696,724,716,152.81,3278,28,0.228,0.114,0.0084,724,741,724,132.60,1581,22,0.110,0.092,0.0141
"US","Maryland","Charles",24017,163257,26329,323,16127.33,1978.48,0.0123,5,153,250,193,12.96,1452,15,0.055,0.046,0.0103,250,414,356,42.68,6406,61,0.243,0.190,0.0096,414,520,436,18.54,1813,54,0.069,0.168,0.0299,520,667,586,32.76,3829,51,0.145,0.158,0.0133,696,741,709,314.38,11261,55,0.428,0.171,0.0049
"US","Maryland","Dorchester",24019,31929,7230,100,22643.99,3131.95,0.0138,5,217,420,357,93.18,1977,41,0.273,0.408,0.0206,420,520,454,26.65,444,19,0.061,0.193,0.0434,520,668,599,60.26,1474,20,0.204,0.201,0.0136,696,724,720,288.45,1921,8,0.266,0.077,0.0040,724,741,724,258.54,885,6,0.122,0.058,0.0065
