Admin0,Admin1,Admin2,FIPS,Population,CaseCount,DeathCount,CasesPer100K,DeathsPerM,CFR,Waves,Start,End,Peak,NormalizedPeakValue,CaseCount,DeathCount,Weight,DeathWeight,CFR,Start,End,Peak,NormalizedPeakValue,CaseCount,DeathCount,Weight,DeathWeight,CFR,Start,End,Peak,NormalizedPeakValue,CaseCount,DeathCount,Weight,DeathWeight,CFR,Start,End,Peak,NormalizedPeakValue,CaseCount,DeathCount,Weight,DeathWeight,CFR,Start,End,Peak,NormalizedPeakValue,CaseCount,DeathCount,Weight,DeathWeight,CFR
"US","New York","Albany",36001,305506,55758,481,18251.03,1574.44,0.0086,5,53,154,97,15.42,2069,120,0.037,0.250,0.0581,154,213,183,5.39,629,10,0.011,0.020,0.0152,213,518,353,85.15,22034,228,0.395,0.474,0.0103,529,724,717,232.51,25776,101,0.462,0.209,0.0039,724,741,724,186.51,5815,26,0.104,0.053,0.0044
"US","New York","Allegany",36003,46090,8347,144,18110.22,3124.32,0.0173,5,59,98,72,3.21,34,2,0.004,0.012,0.0504,207,422,353,70.67,2893,81,0.347,0.563,0.0280,422,521,480,21.54,592,5,0.071,0.035,0.0085,534,695,683,92.38,3084,42,0.369,0.294,0.0137,695,741,719,109.05,1730,15,0.207,0.107,0.0089
"US","New York","Bronx",36005,1418207,346194,2562,24410.68,1806.51,0.0074,3,219,517,358,80.69,130654,1675,0.377,0.654,0.0128,517,648,582,22.92,25043,180,0.072,0.070,0.0072,648,741,713,518.50,190638,708,0.551,0.276,0.0037,,,,,,,,,,,,,,,,,,
"US","New York","Broome",36007,190487,42477,492,22299.16,2582.85,0.0116,5,58,147,122,6.42,656,52,0.015,0.106,0.0797,147,213,185,6.34,570,17,0.013,0.034,0.0294,213,522,353,90.53,17435,297,0.410,0.604,0.0170,522,724,716,221.96,20477,115,0.482,0.234,0.0056,724,741,724,166.03,3669,12,0.086,0.024,0.0032
"US","New York","Cattaraugus",36009,76117,14533,205,19092.98,2693.22,0.0141,5,64,113,80,2.77,62,0,0.004,0.000,0.0000,182,418,351,67.44,4430,73,0.305,0.355,0.0164,418,513,449,28.59,1157,12,0.080,0.061,0.0108,524,689,667,96.42,4963,78,0.341,0.380,0.0157,689,741,727,151.94,3899,37,0.268,0.178,0.0094
"US","New York","Cayuga",36011,76576,15058,132,19664.12,1723.78,0.0088,5,208,421,347,129.79,5343,88,0.355,0.668,0.0165,421,511,444,19.98,839,2,0.056,0.015,0.0024,521,639,598,48.58,2336,15,0.155,0.114,0.0064,639,724,717,215.90,4953,18,0.329,0.137,0.0036,724,741,724,168.92,1578,8,0.105,0.058,0.0048
"US","New York","Chautauqua",36013,126903,22496,255,17726.93,2009.41,0.0113,5,96,135,121,2.56,66,1,0.003,0.004,0.0153,135,415,353,96.33,7421,124,0.330,0.487,0.0167,415,516,449,23.54,1460,17,0.065,0.068,0.0119,525,635,607,54.12,3345,28,0.149,0.108,0.0082,635,741,718,154.10,10226,83,0.455,0.327,0.0082
"US","New York","Chemung",36015,83456,20203,219,24207.97,2624.14,0.0108,5,59,113,95,5.86,131,1,0.007,0.005,0.0077,171,408,351,75.08,6321,128,0.313,0.586,0.0203,408,527,430,24.97,1323,6,0.065,0.027,0.0045,527,650,626,83.01,3637,28,0.180,0.129,0.0078,650,741,720,287.60,8826,56,0.437,0.254,0.0063
"US","New York","Chenango",36017,47206,8655,113,18334.53,2393.76,0.0131,5,57,138,72,8.41,135,4,0.016,0.038,0.0315,159,219,165,5.78,87,2,0.010,0.016,0.0213,219,407,355,64.65,2241,63,0.259,0.556,0.0280,407,524,431,36.99,1056,7,0.122,0.065,0.0069,524,741,716,165.76,5143,36,0.594,0.322,0.0071
"US","New York","Clinton",36019,80485,14945,67,18568.68,832.45,0.0045,5,57,121,70,3.01,93,4,0.006,0.060,0.0431,202,223,214,1.90,22,1,0.001,0.015,0.0452,243,502,354,74.08,4679,28,0.313,0.419,0.0060,539,642,612,52.63,1977,7,0.132,0.109,0.0037,642,741,719,257.17,8138,27,0.545,0.404,0.0033
