Admin0,Admin1,Admin2,FIPS,Population,CaseCount,DeathCount,CasesPer100K,DeathsPerM,CFR,Waves,Start,End,Peak,NormalizedPeakValue,CaseCount,DeathCount,Weight,DeathWeight,CFR,Start,End,Peak,NormalizedPeakValue,CaseCount,DeathCount,Weight,DeathWeight,CFR,Start,End,Peak,NormalizedPeakValue,CaseCount,DeathCount,Weight,DeathWeight,CFR,Start,End,Peak,NormalizedPeakValue,CaseCount,DeathCount,Weight,DeathWeight,CFR,Start,End,Peak,NormalizedPeakValue,CaseCount,DeathCount,Weight,DeathWeight,CFR
"US","South Dakota","Aurora",46003,2751,744,16,27044.71,5816.07,0.0215,5,102,156,121,77.79,33,0,0.044,0.000,0.0000,232,379,297,263.18,409,15,0.549,0.967,0.0379,406,495,449,23.63,22,0,0.029,0.000,0.0000,558,662,614,74.88,95,2,0.128,0.126,0.0213,669,741,734,188.30,178,0,0.239,0.000,0.0000
"US","South Dakota","Beadle",46005,18453,4452,51,24126.16,2763.78,0.0115,5,53,75,61,9.38,21,1,0.005,0.029,0.0720,107,195,129,101.99,566,7,0.127,0.138,0.0124,195,369,294,208.37,2009,30,0.451,0.587,0.0149,369,504,407,44.22,372,1,0.083,0.025,0.0034,559,741,730,132.93,1483,11,0.333,0.210,0.0072
"US","South Dakota","Bennett",46007,3365,726,9,21575.04,2674.59,0.0124,5,138,160,153,8.62,4,0,0.006,0.000,0.0000,206,406,281,229.42,376,9,0.518,1.006,0.0241,414,474,420,9.51,9,0,0.012,0.000,0.0000,532,676,659,46.66,113,0,0.155,0.000,0.0000,676,741,729,242.50,223,1,0.307,0.083,0.0034
"US","South Dakota","Bon Homme",46009,6901,2255,36,32676.42,5216.64,0.0160,5,114,130,122,6.09,4,0,0.002,0.000,0.0000,197,362,278,956.38,1488,23,0.660,0.639,0.0155,372,388,374,8.26,5,1,0.002,0.019,0.1405,388,498,447,21.16,53,3,0.024,0.090,0.0610,555,741,722,274.16,701,7,0.311,0.206,0.0106
"US","South Dakota","Brookings",46011,35077,7880,43,22464.86,1225.87,0.0055,5,124,177,165,7.58,85,0,0.011,0.000,0.0000,177,399,295,111.58,3473,36,0.441,0.848,0.0105,399,510,445,48.66,667,1,0.085,0.018,0.0012,522,645,602,51.54,885,1,0.112,0.034,0.0016,645,741,721,252.05,2766,5,0.351,0.112,0.0017
"US","South Dakota","Brown",46013,38839,9789,113,25204.05,2909.45,0.0115,5,60,162,113,25.85,343,2,0.035,0.018,0.0058,162,412,304,138.31,4837,87,0.494,0.770,0.0180,412,505,443,20.78,460,6,0.047,0.054,0.0132,540,681,665,53.86,1670,10,0.171,0.086,0.0058,681,741,729,232.42,2492,9,0.255,0.079,0.0036
"US","South Dakota","Brule",46015,5296,1359,18,25660.88,3398.79,0.0132,5,126,186,161,23.79,38,0,0.028,0.000,0.0000,186,432,295,199.40,662,9,0.487,0.502,0.0136,442,482,461,15.86,17,1,0.013,0.054,0.0568,547,676,656,135.01,222,2,0.163,0.117,0.0095,676,741,720,233.38,419,6,0.308,0.332,0.0143
"US","South Dakota","Buffalo",46017,1962,602,17,30682.98,8664.63,0.0282,5,109,204,143,167.18,108,3,0.179,0.177,0.0279,212,379,282,277.27,310,10,0.516,0.592,0.0324,559,631,597,40.77,20,0,0.032,0.000,0.0000,696,724,715,363.91,97,1,0.161,0.039,0.0069,724,741,724,169.72,42,0,0.070,0.026,0.0106
"US","South Dakota","Butte",46019,10429,2596,43,24892.13,4123.12,0.0166,5,163,395,281,150.54,971,20,0.374,0.466,0.0206,395,430,422,17.64,37,0,0.014,0.000,0.0000,430,506,457,22.05,77,0,0.030,0.000,0.0000,521,691,589,182.57,1027,15,0.396,0.353,0.0148,691,741,731,198.29,484,9,0.186,0.207,0.0184
"US","South Dakota","Campbell",46021,1376,254,7,18459.30,5087.21,0.0276,5,229,346,248,168.60,110,4,0.434,0.577,0.0366,346,395,370,57.41,15,0,0.058,0.000,0.0000,573,622,586,74.13,21,0,0.085,0.000,0.0000,642,697,680,167.15,43,2,0.167,0.263,0.0433,697,741,730,135.90,48,1,0.188,0.179,0.0262
"US","South Dakota","Charles Mix",46023,9291,2806,33,30201.27,3551.82,0.0118,5,68,86,79,2.58,3,0,0.001,0.000,0.0000,106,195,158,40.04,95,0,0.034,0.000,0.0000,195,494,303,192.34,1282,22,0.457,0.668,0.0172,505,637,617,78.46,327,4,0.116,0.122,0.0123,637,741,729,321.60,1098,7,0.391,0.213,0.0064
"US","South Dakota","Clark",46025,3736,757,6,20262.31,1606.00,0.0079,5,132,182,142,17.93,12,0,0.016,0.000,0.0000,197,360,281,150.70,309,3,0.408,0.575,0.0112,360,391,379,52.19,36,1,0.048,0.170,0.0280,391,492,425,63.44,103,1,0.136,0.178,0.0104,560,741,731,170.77,291,1,0.385,0.168,0.0035
"US","South Dakota","Clay",46027,14069,3396,19,24138.18,1350.49,0.0056,5,175,253,221,170.94,480,6,0.141,0.335,0.0133,253,394,296,145.92,1208,9,0.356,0.468,0.0074,394,504,429,22.32,156,0,0.046,0.000,0.0000,540,618,595,35.82,170,1,0.050,0.053,0.0059,669,741,729,290.64,1113,2,0.328,0.101,0.0017
"US","South Dakota","Codington",46029,28008,8028,94,28663.24,3356.18,0.0117,5,60,82,71,3.03,12,0,0.001,0.000,0.0000,111,411,287,154.60,4022,77,0.501,0.820,0.0192,411,492,449,79.80,617,5,0.077,0.053,0.0081,544,645,638,62.70,915,1,0.114,0.011,0.0011,645,741,730,242.86,2468,10,0.307,0.108,0.0041
"US","South Dakota","Corson",46031,4085,1006,15,24626.68,3671.97,0.0149,5,132,165,142,19.58,15,0,0.015,0.000,0.0000,165,379,281,224.24,443,11,0.440,0.735,0.0249,379,439,396,14.20,15,1,0.015,0.067,0.0671,547,662,579,110.16,212,1,0.211,0.067,0.0048,662,741,741,281.76,309,3,0.307,0.193,0.0094
"US","South Dakota","Custer",46033,8972,1925,21,21455.64,2340.62,0.0109,5,182,240,215,62.86,155,2,0.080,0.095,0.0128,240,395,300,86.60,579,10,0.301,0.482,0.0175,395,508,442,27.08,135,1,0.070,0.040,0.0063,548,679,599,81.81,571,6,0.296,0.277,0.0102,679,741,730,172.98,472,2,0.245,0.112,0.0050
"US","South Dakota","Davison",46035,19775,5678,78,28713.02,3944.37,0.0137,5,86,117,111,1.16,6,0,0.001,0.000,0.0000,119,391,296,299.12,2919,60,0.514,0.768,0.0205,391,523,430,40.00,325,7,0.057,0.087,0.0209,537,630,599,49.86,408,2,0.072,0.023,0.0044,630,741,729,251.68,2022,9,0.356,0.114,0.0044
"US","South Dakota","Day",46037,5424,1222,32,22529.50,5899.71,0.0262,5,92,133,101,17.88,13,0,0.011,0.000,0.0000,150,426,297,158.74,669,29,0.547,0.909,0.0435,436,483,453,23.78,30,0,0.024,0.000,0.0000,547,637,595,35.95,87,0,0.071,0.014,0.0052,637,741,730,208.15,421,2,0.344,0.063,0.0048
"US","South Dakota","Deuel",46039,4351,1002,12,23029.19,2757.99,0.0120,5,149,400,316,123.42,471,8,0.470,0.672,0.0171,400,495,450,41.37,59,1,0.059,0.084,0.0171,533,609,567,45.28,84,1,0.084,0.093,0.0132,609,686,684,76.76,154,1,0.154,0.117,0.0091,686,741,729,202.02,235,1,0.234,0.056,0.0029
"US","South Dakota","Dewey",46041,5892,2393,38,40614.39,6449.42,0.0159,5,203,437,315,512.39,1388,26,0.580,0.687,0.0188,537,614,596,100.64,223,1,0.093,0.027,0.0045,614,675,638,167.52,320,2,0.134,0.058,0.0069,675,720,685,207.06,268,3,0.112,0.083,0.0117,720,741,730,116.43,116,3,0.049,0.074,0.0241
"US","South Dakota","Douglas",46043,2921,667,15,22834.65,5135.23,0.0225,5,116,144,123,7.53,3,0,0.004,0.000,0.0000,154,188,164,20.88,12,0,0.018,0.000,0.0000,188,463,289,187.95,438,9,0.657,0.603,0.0206,532,634,598,42.79,52,0,0.079,0.000,0.0000,634,741,720,119.14,159,6,0.239,0.402,0.0378
"US","South Dakota","Edmunds",46045,3829,898,16,23452.60,4178.64,0.0178,5,163,253,235,90.89,91,0,0.102,0.000,0.0000,253,421,346,126.93,391,13,0.435,0.816,0.0334,421,484,447,20.63,25,1,0.028,0.064,0.0407,560,675,642,85.66,144,0,0.160,0.000,0.0000,675,741,730,223.56,241,2,0.269,0.132,0.0088
"US","South Dakota","Fall River",46047,6712,1703,36,25372.47,5363.53,0.0211,5,186,392,296,110.10,503,15,0.296,0.419,0.0300,392,508,408,33.37,88,1,0.051,0.028,0.0115,542,633,620,92.22,332,6,0.195,0.166,0.0180,633,687,662,98.03,270,2,0.159,0.060,0.0080,687,741,732,273.69,503,12,0.295,0.336,0.0241
"US","South Dakota","Faulk",46049,2299,520,16,22618.53,6959.55,0.0308,5,129,181,140,86.12,23,1,0.045,0.063,0.0431,181,350,261,257.07,290,11,0.559,0.701,0.0386,350,439,383,53.50,51,1,0.098,0.057,0.0179,594,698,665,84.82,84,1,0.161,0.065,0.0124,698,741,734,91.34,60,1,0.116,0.062,0.0166
"US","South Dakota","Grant",46051,7052,1974,47,27992.06,6664.78,0.0238,5,99,135,113,10.21,13,0,0.007,0.000,0.0000,161,177,170,6.24,4,0,0.002,0.000,0.0000,180,497,318,187.75,1040,42,0.527,0.896,0.0405,560,677,620,109.33,397,4,0.201,0.086,0.0102,677,741,719,251.84,523,2,0.265,0.037,0.0034
"US","South Dakota","Gregory",46053,4185,1032,33,24659.50,7885.30,0.0320,5,202,359,292,195.70,486,26,0.471,0.789,0.0536,359,461,381,41.10,86,4,0.084,0.121,0.0463,482,503,490,14.58,7,0,0.007,0.000,0.0000,560,643,615,89.84,118,0,0.114,0.000,0.0000,643,741,719,189.25,328,3,0.318,0.091,0.0092
"US","South Dakota","Haakon",46055,1899,438,11,23064.77,5792.52,0.0251,5,184,289,278,163.24,107,2,0.244,0.190,0.0196,289,374,328,194.31,134,7,0.305,0.638,0.0525,558,632,580,70.04,52,1,0.118,0.092,0.0196,632,676,639,41.07,23,0,0.052,0.000,0.0000,676,741,723,224.86,99,0,0.226,0.000,0.0000
"US","South Dakota","Hamlin",46057,6164,1450,40,23523.69,6489.29,0.0276,5,177,386,302,208.14,664,38,0.458,0.951,0.0572,386,415,399,36.34,51,-0,0.035,-0.000,-0.0000,415,528,446,45.26,76,1,0.052,0.025,0.0133,548,650,607,107.56,232,1,0.160,0.025,0.0044,650,741,729,175.05,417,0,0.288,0.000,0.0000
"US","South Dakota","Hand",46059,3191,537,8,16828.58,2507.05,0.0149,5,194,365,288,204.32,314,4,0.585,0.514,0.0131,376,426,412,33.22,35,1,0.065,0.117,0.0271,435,466,450,18.18,8,0,0.015,0.000,0.0000,573,639,602,35.10,27,0,0.050,0.000,0.0000,639,741,729,110.62,145,2,0.270,0.253,0.0139
"US","South Dakota","Hanson",46061,3453,635,6,18389.81,1737.62,0.0094,5,126,208,166,17.38,22,0,0.034,0.000,0.0000,233,367,308,168.84,305,4,0.480,0.662,0.0130,367,482,385,30.99,59,0,0.094,0.017,0.0017,565,618,608,28.67,28,0,0.045,0.000,0.0000,618,741,717,164.21,213,2,0.335,0.338,0.0095
"US","South Dakota","Harding",46063,1298,198,3,15254.24,2311.25,0.0152,5,252,347,270,242.68,85,1,0.428,0.337,0.0119,434,477,442,16.95,5,0,0.025,0.000,0.0000,560,661,587,152.54,68,1,0.344,0.337,0.0148,683,703,696,20.03,4,1,0.020,0.337,0.2596,712,741,728,137.90,28,0,0.143,0.000,0.0000
"US","South Dakota","Hughes",46065,17525,4149,57,23674.75,3252.50,0.0137,5,133,187,157,15.06,63,2,0.015,0.035,0.0314,187,417,298,190.41,2252,34,0.543,0.597,0.0151,417,505,447,27.16,191,5,0.046,0.089,0.0264,540,689,650,71.44,922,8,0.222,0.149,0.0092,689,741,731,124.45,708,7,0.171,0.119,0.0096
"US","South Dakota","Hutchinson",46067,7291,1690,33,23179.26,4526.13,0.0195,5,60,72,65,3.02,2,0,0.001,0.000,0.0000,120,398,298,199.29,782,24,0.463,0.731,0.0309,398,492,431,51.16,136,4,0.080,0.122,0.0297,560,628,601,49.79,107,-1,0.064,-0.031,-0.0094,628,741,721,184.34,663,5,0.392,0.153,0.0076
"US","South Dakota","Hyde",46069,1301,286,5,21983.09,3843.20,0.0175,5,195,361,296,278.25,131,1,0.458,0.202,0.0077,370,423,402,17.68,5,0,0.018,0.000,0.0000,566,609,580,19.22,6,0,0.021,0.000,0.0000,614,681,638,251.35,69,4,0.243,0.802,0.0578,681,741,735,189.09,71,0,0.248,0.000,0.0000
"US","South Dakota","Jackson",46071,3344,599,20,17912.68,5980.86,0.0334,5,227,366,274,133.37,257,12,0.429,0.599,0.0467,375,457,384,21.53,21,1,0.035,0.049,0.0469,531,636,602,82.83,87,2,0.145,0.084,0.0193,636,680,645,56.22,45,2,0.076,0.103,0.0454,680,741,729,268.24,177,2,0.296,0.101,0.0113
"US","South Dakota","Jerauld",46073,2013,393,19,19523.10,9438.65,0.0483,5,110,142,123,127.67,34,0,0.086,0.000,0.0000,207,359,259,285.64,226,15,0.575,0.791,0.0665,460,502,475,16.89,8,0,0.020,0.000,0.0000,567,643,622,31.30,18,1,0.046,0.053,0.0561,643,741,727,137.11,93,2,0.238,0.105,0.0214
"US","South Dakota","Jones",46075,902,171,1,18957.87,1108.65,0.0058,5,205,323,302,128.60,61,0,0.357,0.020,0.0003,334,400,362,74.28,21,0,0.123,0.000,0.0000,400,443,424,52.11,8,0,0.049,0.000,0.0000,578,648,589,168.51,44,1,0.257,1.010,0.0229,688,741,731,140.80,23,1,0.137,0.880,0.0375
"US","South Dakota","Kingsbury",46077,4938,1271,20,25739.17,4050.22,0.0157,5,122,142,134,8.30,5,0,0.004,0.000,0.0000,165,390,298,198.46,616,14,0.485,0.698,0.0227,390,477,429,133.45,197,4,0.155,0.208,0.0211,544,645,615,43.94,100,0,0.079,0.000,0.0000,645,741,733,209.40,353,2,0.278,0.101,0.0057
"US","South Dakota","Lake",46079,12797,2272,26,17754.16,2031.73,0.0114,5,119,208,187,21.49,97,4,0.043,0.159,0.0426,208,389,295,153.40,1062,13,0.468,0.512,0.0125,389,519,425,33.60,229,3,0.101,0.117,0.0132,550,640,610,33.91,165,0,0.072,0.000,0.0000,640,741,728,149.25,719,6,0.317,0.230,0.0083
"US","South Dakota","Lawrence",46081,25844,6256,79,24206.78,3056.80,0.0126,5,169,412,293,164.18,2817,45,0.450,0.571,0.0160,412,504,422,17.45,172,2,0.028,0.031,0.0141,514,646,586,105.90,1341,12,0.214,0.146,0.0086,646,681,663,50.38,397,8,0.063,0.104,0.0207,681,741,729,209.41,1533,12,0.245,0.153,0.0079
"US","South Dakota","Lincoln",46083,61128,15193,89,24854.40,1455.96,0.0059,5,62,128,86,9.70,235,0,0.015,0.000,0.0000,128,392,295,166.40,7387,76,0.486,0.858,0.0103,392,503,426,29.92,1105,2,0.073,0.020,0.0016,540,639,614,41.81,1431,0,0.094,0.000,0.0000,639,741,720,238.53,5050,11,0.332,0.125,0.0022
"US","South Dakota","Lyman",46085,3781,1171,12,30970.64,3173.76,0.0102,5,91,202,150,51.84,88,2,0.075,0.207,0.0282,202,397,301,192.81,508,8,0.433,0.644,0.0152,397,510,427,39.94,62,1,0.053,0.084,0.0163,539,610,598,28.83,39,0,0.034,0.000,0.0000,610,741,715,332.98,474,1,0.405,0.084,0.0021
"US","South Dakota","Marshall",46091,4935,730,10,14792.30,2026.34,0.0137,5,176,369,305,98.68,278,5,0.381,0.505,0.0182,369,434,405,50.86,82,1,0.112,0.101,0.0124,459,493,464,10.94,8,0,0.011,0.000,0.0000,559,677,648,50.05,133,2,0.183,0.198,0.0149,677,741,741,137.99,224,3,0.306,0.284,0.0127
"US","South Dakota","McCook",46087,5586,1304,30,23344.07,5370.57,0.0230,5,123,381,295,266.92,718,23,0.551,0.764,0.0319,381,505,434,34.91,89,1,0.068,0.042,0.0141,514,533,525,6.09,4,0,0.003,0.000,0.0000,546,624,609,43.14,71,0,0.054,0.000,0.0000,624,741,728,148.76,421,5,0.322,0.167,0.0119
"US","South Dakota","McPherson",46089,2379,412,9,17318.20,3783.10,0.0218,5,187,338,300,194.20,171,1,0.415,0.112,0.0059,338,412,357,126.10,65,3,0.157,0.337,0.0469,566,644,609,93.74,72,3,0.175,0.333,0.0415,644,691,653,59.27,41,1,0.100,0.112,0.0245,707,741,727,112.23,50,0,0.122,0.038,0.0068
"US","South Dakota","Meade",46093,28332,6677,57,23566.99,2011.86,0.0085,4,102,163,143,5.22,48,1,0.007,0.018,0.0209,163,513,296,103.63,2746,30,0.411,0.528,0.0110,516,681,582,131.12,2149,22,0.322,0.379,0.0101,681,741,729,232.81,1744,5,0.261,0.081,0.0026,,,,,,,,,
"US","South Dakota","Mellette",46095,2061,500,5,24260.07,2426.01,0.0100,5,136,197,181,51.43,24,0,0.048,0.000,0.0000,217,414,300,176.13,232,2,0.465,0.404,0.0087,438,482,443,15.04,7,0,0.013,0.000,0.0000,573,652,617,72.78,58,1,0.115,0.204,0.0177,652,741,731,259.10,179,2,0.358,0.406,0.0113
