Admin0,Admin1,Admin2,FIPS,Population,CaseCount,DeathCount,CasesPer100K,DeathsPerM,CFR,Waves,Start,End,Peak,NormalizedPeakValue,CaseCount,DeathCount,Weight,DeathWeight,CFR,Start,End,Peak,NormalizedPeakValue,CaseCount,DeathCount,Weight,DeathWeight,CFR,Start,End,Peak,NormalizedPeakValue,CaseCount,DeathCount,Weight,DeathWeight,CFR,Start,End,Peak,NormalizedPeakValue,CaseCount,DeathCount,Weight,DeathWeight,CFR,Start,End,Peak,NormalizedPeakValue,CaseCount,DeathCount,Weight,DeathWeight,CFR
"US","Wisconsin","Adams",55001,20220,4390,47,21711.18,2324.43,0.0107,5,133,414,286,99.95,1757,14,0.400,0.300,0.0080,414,487,471,22.45,192,2,0.044,0.053,0.0129,495,515,503,5.00,14,1,0.003,0.020,0.0699,538,649,610,76.71,828,13,0.189,0.277,0.0157,649,741,727,199.95,1601,14,0.365,0.300,0.0088
"US","Wisconsin","Ashland",55003,15562,3036,30,19509.06,1927.77,0.0099,5,205,406,317,107.18,1214,15,0.400,0.501,0.0124,406,524,468,19.73,161,-1,0.053,-0.034,-0.0063,543,637,611,68.18,401,1,0.132,0.035,0.0026,637,690,682,99.60,494,7,0.163,0.235,0.0143,690,741,729,159.81,757,7,0.249,0.235,0.0093
"US","Wisconsin","Barron",55005,45244,12914,127,28543.01,2807.00,0.0098,5,226,433,299,248.87,5298,73,0.410,0.576,0.0138,433,525,472,19.12,390,10,0.030,0.077,0.0250,538,643,608,110.60,2319,7,0.180,0.056,0.0031,643,683,658,89.34,1424,8,0.110,0.065,0.0058,683,741,725,200.11,3163,27,0.245,0.210,0.0084
"US","Wisconsin","Bayfield",55007,15036,3001,37,19958.77,2460.76,0.0123,5,57,73,64,1.33,3,0,0.001,0.000,0.0000,163,405,295,122.44,1137,18,0.379,0.489,0.0159,405,515,440,29.66,155,1,0.052,0.027,0.0065,548,685,671,85.99,789,9,0.263,0.242,0.0114,685,741,731,189.15,937,7,0.312,0.191,0.0075
"US","Wisconsin","Brown",55009,264542,81196,424,30693.05,1602.77,0.0052,4,67,139,101,32.61,2396,38,0.030,0.090,0.0159,139,522,293,101.10,33297,263,0.410,0.620,0.0079,522,638,629,65.88,9536,17,0.117,0.039,0.0017,638,741,725,431.28,36114,107,0.445,0.253,0.0030,,,,,,,,,
"US","Wisconsin","Buffalo",55011,13030,3221,11,24719.88,844.21,0.0034,5,154,337,301,155.41,964,4,0.299,0.385,0.0044,337,426,356,97.16,392,1,0.122,0.077,0.0022,535,630,601,86.42,462,1,0.143,0.051,0.0012,630,676,664,74.21,391,1,0.121,0.051,0.0014,676,741,728,197.62,964,3,0.299,0.274,0.0031
"US","Wisconsin","Burnett",55013,15414,3756,38,24367.46,2465.29,0.0101,5,177,420,300,145.32,1356,22,0.361,0.580,0.0163,420,524,451,38.02,230,2,0.061,0.055,0.0091,524,642,629,105.36,652,7,0.173,0.176,0.0103,642,688,666,96.41,593,2,0.158,0.054,0.0035,688,741,727,185.03,947,5,0.252,0.123,0.0049
"US","Wisconsin","Calumet",55015,50089,14010,103,27970.21,2056.34,0.0074,5,70,74,72,0.62,1,0,0.000,0.000,0.0000,90,136,109,6.09,74,1,0.005,0.011,0.0158,136,419,272,115.59,6029,47,0.430,0.458,0.0078,419,516,442,17.25,428,8,0.031,0.078,0.0188,521,741,721,308.35,7480,48,0.534,0.463,0.0064
"US","Wisconsin","Chippewa",55017,64658,17839,162,27589.78,2505.49,0.0091,5,61,82,70,2.01,18,0,0.001,0.000,0.0000,97,434,291,172.74,7347,95,0.412,0.587,0.0130,434,521,467,10.15,346,2,0.019,0.011,0.0052,521,647,616,97.62,3312,20,0.186,0.122,0.0060,647,741,724,283.14,6847,46,0.384,0.282,0.0067
"US","Wisconsin","Clark",55019,34774,7317,112,21041.58,3220.80,0.0153,5,100,200,175,12.74,165,4,0.023,0.037,0.0248,200,419,295,155.89,3369,55,0.460,0.493,0.0164,516,627,605,57.11,913,9,0.125,0.083,0.0102,627,685,661,70.45,1042,15,0.142,0.134,0.0144,685,741,725,159.31,1700,24,0.232,0.212,0.0140
"US","Wisconsin","Columbia",55021,57532,14451,116,25118.20,2016.27,0.0080,5,56,85,70,2.49,26,1,0.002,0.009,0.0393,105,422,294,107.82,5476,66,0.379,0.568,0.0120,422,517,471,13.92,419,4,0.029,0.037,0.0104,529,645,608,77.78,2078,8,0.144,0.067,0.0038,645,741,725,303.60,6470,37,0.448,0.318,0.0057
"US","Wisconsin","Crawford",55023,16130,3999,28,24792.31,1735.90,0.0070,5,67,82,73,1.36,3,0,0.001,0.000,0.0000,96,127,105,8.87,23,0,0.006,0.000,0.0000,141,414,308,317.73,1694,17,0.424,0.610,0.0101,414,522,445,10.66,82,2,0.021,0.072,0.0245,541,741,732,239.86,2195,9,0.549,0.326,0.0042
"US","Wisconsin","Dane",55025,546695,115750,457,21172.68,835.93,0.0039,5,97,196,161,18.43,3916,16,0.034,0.035,0.0041,196,425,298,86.59,38878,273,0.336,0.596,0.0070,425,514,443,15.66,3593,27,0.031,0.060,0.0076,514,640,606,31.11,10697,33,0.092,0.073,0.0031,640,741,727,559.14,58442,89,0.505,0.195,0.0015
"US","Wisconsin","Dodge",55027,87839,25904,291,29490.32,3312.88,0.0112,5,90,162,132,26.53,448,4,0.017,0.014,0.0090,162,421,299,178.27,11856,177,0.458,0.608,0.0149,421,512,457,12.59,629,16,0.024,0.054,0.0251,518,633,619,60.13,2778,24,0.107,0.084,0.0088,633,741,726,315.10,10218,68,0.394,0.233,0.0066
"US","Wisconsin","Door",55029,27668,6747,53,24385.57,1915.57,0.0079,5,91,132,114,5.20,29,2,0.004,0.038,0.0694,149,399,289,126.17,2564,22,0.380,0.409,0.0084,399,489,427,21.65,241,5,0.036,0.103,0.0226,524,651,622,62.38,1006,9,0.149,0.178,0.0094,651,741,722,306.53,2901,13,0.430,0.251,0.0046
"US","Wisconsin","Douglas",55031,43150,10776,71,24973.35,1645.42,0.0066,5,153,207,200,16.57,197,0,0.018,0.000,0.0000,207,403,304,150.68,4022,40,0.373,0.568,0.0100,403,528,445,35.94,777,24,0.072,0.342,0.0312,528,686,658,97.24,2551,4,0.237,0.060,0.0017,686,741,729,263.20,3249,3,0.301,0.046,0.0010
"US","Wisconsin","Dunn",55033,45368,12622,66,27821.37,1454.77,0.0052,5,150,411,299,143.14,4601,29,0.365,0.443,0.0064,411,507,440,24.36,475,4,0.038,0.061,0.0085,507,628,617,69.21,1606,11,0.127,0.169,0.0069,628,682,665,104.88,1903,9,0.151,0.130,0.0045,682,741,724,294.57,4081,14,0.323,0.207,0.0034
