Admin0,Admin1,Admin2,FIPS,Population,CaseCount,DeathCount,CasesPer100K,DeathsPerM,CFR
"Afghanistan","","",0,38928341,157861,7327,405.52,188.22,0.0464
"Armenia","","",0,2963233,342583,7802,11561.12,2632.94,0.0228
"Azerbaijan","","",0,10139175,604525,8088,5962.27,797.70,0.0134
"Bahrain","","",0,1701583,278065,1394,16341.55,819.24,0.0050
"Bangladesh","","",0,164689383,1579318,28027,958.97,170.18,0.0177
"Bhutan","","",0,771612,2649,3,343.31,3.89,0.0011
"Burma","","",0,54409793,526657,19182,967.95,352.55,0.0364
"Cambodia","","",0,16718971,120357,2985,719.88,178.54,0.0248
"Georgia","","",0,3989175,889475,12735,22297.22,3192.39,0.0143
"Indonesia","","",0,273523621,4259159,143937,1557.14,526.23,0.0338
"Iran","","",0,83992953,6155269,130728,7328.32,1556.42,0.0212
"Iraq","","",0,40222503,2087939,23979,5190.97,596.16,0.0115
"Israel","","",0,8655541,1350287,8215,15600.26,949.10,0.0061
"Jordan","","",0,10203140,1010706,11980,9905.83,1174.15,0.0119
"Kazakhstan","","",0,18776707,1063472,18011,5663.78,959.22,0.0169
"Kuwait","","",0,4270563,413708,2466,9687.43,577.44,0.0060
"Kyrgyzstan","","",0,6524191,183966,2770,2819.75,424.57,0.0151
"Laos","","",0,7275555,89190,245,1225.89,33.67,0.0027
"Maldives","","",0,540542,93126,258,17228.26,477.30,0.0028
"Mongolia","","",0,3278292,385477,2035,11758.47,620.75,0.0053
"Nepal","","",0,29136808,824227,11554,2828.82,396.54,0.0140
"Oman","","",0,5106622,304711,4113,5966.98,805.42,0.0135
"Papua New Guinea","","",0,8947027,35933,584,401.62,65.27,0.0163
"Philippines","","",0,109581085,2836647,50276,2588.63,458.80,0.0177
"Qatar","","",0,2881059,245352,612,8516.04,212.42,0.0025
"Saudi Arabia","","",0,34813867,550235,8853,1580.51,254.30,0.0161
"Singapore","","",0,5850343,273480,794,4674.60,135.72,0.0029
"Sri Lanka","","",0,21413250,572907,14615,2675.48,682.52,0.0255
"Taiwan","","",0,23816775,16738,848,70.28,35.61,0.0507
"Tajikistan","","",0,9537642,17492,125,183.40,13.11,0.0071
"Thailand","","",0,69799978,2169970,21182,3108.84,303.47,0.0098
"Timor-Leste","","",0,1318442,19829,122,1503.97,92.53,0.0062
"United Arab Emirates","","",0,9890400,742795,2151,7510.26,217.48,0.0029
"Uzbekistan","","",0,33469199,195735,1436,584.82,42.91,0.0073
"Vietnam","","",0,97338583,1412736,27837,1451.36,285.98,0.0197
"West Bank and Gaza","","",0,5101415,463700,4831,9089.63,946.99,0.0104
"Yemen","","",0,29825968,10068,1969,33.76,66.02,0.1956
"Japan","","",0,133719173,1744672,19227,1304.73,143.79,0.0110
"India","","",0,1371753892,34703330,475947,2529.85,346.96,0.0137
"Pakistan","","",0,211877157,1292434,28886,609.99,136.33,0.0224
"China","","",0,1467916325,112768,4856,7.68,3.31,0.0431
"Malaysia","","",0,36400897,2692000,30886,7395.42,848.50,0.0115
