Admin0,Admin1,Admin2,FIPS,Population,CaseCount,DeathCount,CasesPer100K,DeathsPerM,CFR
"Albania","","",0,2877800,263494,3372,9156.09,1171.73,0.0128
"Andorra","","",0,77265,36664,147,47452.27,1902.54,0.0040
"Austria","","",0,9006400,2026623,14211,22502.03,1577.88,0.0070
"Belarus","","",0,9449321,766874,6131,8115.65,648.83,0.0080
"Bosnia and Herzegovina","","",0,3280815,354797,14683,10814.29,4475.41,0.0414
"Bulgaria","","",0,6948445,994140,33735,14307.37,4855.04,0.0339
"Croatia","","",0,4105268,978794,14082,23842.39,3430.23,0.0144
"Cyprus","","",0,1207361,271381,741,22477.20,613.74,0.0027
"Czech Republic","","",0,10708982,3210877,37402,29983.03,3492.58,0.0116
"Denmark","","",0,5946705,2001480,3885,33656.96,653.30,0.0019
"Estonia","","",0,1326539,373206,2055,28133.81,1549.14,0.0055
"Finland","","",0,5540718,515875,2061,9310.62,371.97,0.0040
"France","","",0,68450409,21120414,133389,30855.06,1948.70,0.0063
"Greece","","",0,10423055,2037709,24009,19550.02,2303.45,0.0118
"Vatican City","","",0,809,29,0,3584.67,0.00,0.0000
"Iceland","","",0,341250,73850,49,21641.03,143.59,0.0007
"Ireland","","",0,4937796,1206860,6231,24441.27,1261.90,0.0052
"Kosovo","","",0,1810366,216616,3037,11965.32,1677.56,0.0140
"Latvia","","",0,1886201,441806,4944,23423.06,2621.14,0.0112
"Liechtenstein","","",0,38137,9608,74,25193.38,1940.37,0.0077
"Lithuania","","",0,2722291,738846,7969,27140.60,2927.31,0.0108
"Luxembourg","","",0,625975,166446,958,26589.88,1530.41,0.0058
"Moldova","","",0,4033963,463842,10752,11498.42,2665.37,0.0232
"Monaco","","",0,39244,8700,48,22168.99,1223.12,0.0055
"Montenegro","","",0,628062,223046,2600,35513.37,4139.72,0.0117
"Norway","","",0,5421242,884484,1468,16315.15,270.79,0.0017
"Poland","","",0,37846605,5128814,106539,13551.58,2815.02,0.0208
"Portugal","","",0,10196707,2887012,20170,28313.18,1978.09,0.0070
"Romania","","",0,19237682,2384976,60545,12397.42,3147.21,0.0254
"San Marino","","",0,33938,13379,109,39421.89,3211.74,0.0081
"Serbia","","",0,8737369,1759082,13925,20132.86,1593.73,0.0079
"Slovakia","","",0,5459643,1683667,17938,30838.41,3285.56,0.0107
"Slovenia","","",0,2078932,787476,5954,37878.87,2863.97,0.0076
"Switzerland","","",0,8654618,2373724,12785,27427.25,1477.25,0.0054
"Turkey","","",0,84339066,12146370,88516,14401.83,1049.53,0.0073
"Italy","","",0,61672582,11551301,148355,18730.04,2405.53,0.0128
"Russia","","",0,147098077,12405814,327925,8433.70,2229.29,0.0264
"Sweden","","",0,10487191,2296557,16114,21898.69,1536.54,0.0070
"Germany","","",0,94088743,11063588,118732,11758.67,1261.92,0.0107
"Spain","","",0,55364460,10240486,93954,18496.50,1697.01,0.0092
"Belgium","","",0,24782030,3305647,29189,13338.89,1177.83,0.0088
"Netherlands","","",0,17854316,4895252,21872,27417.75,1225.03,0.0045
"Ukraine","","",0,47107394,4446258,107877,9438.56,2290.02,0.0243
"United Kingdom","","",0,66991012,17946530,158749,26789.46,2369.71,0.0088
