Admin0,Admin1,Admin2,FIPS,Population,CaseCount,DeathCount,CasesPer100K,DeathsPerM,CFR
"Antigua and Barbuda","","",0,97928,5343,120,5456.05,1225.39,0.0225
"Bahamas","","",0,393248,30904,719,7858.65,1828.36,0.0233
"Barbados","","",0,287370,35374,269,12309.57,936.08,0.0076
"Belize","","",0,397621,40872,608,10279.14,1529.09,0.0149
"Costa Rica","","",0,5094114,611113,7408,11996.45,1454.23,0.0121
"Cuba","","",0,11326616,998770,8338,8817.90,736.14,0.0083
"Dominica","","",0,71990,7952,48,11045.98,666.76,0.0060
"Dominican Republic","","",0,10847904,499208,4268,4601.88,393.44,0.0085
"El Salvador","","",0,6486201,123614,3833,1905.80,590.95,0.0310
"Grenada","","",0,112519,9718,202,8636.76,1795.25,0.0208
"Guatemala","","",0,17915566,653081,16174,3645.33,902.79,0.0248
"Haiti","","",0,11402532,27123,780,237.87,68.41,0.0288
"Honduras","","",0,9904608,382605,10450,3862.90,1055.06,0.0273
"Jamaica","","",0,2961161,112065,2529,3784.50,854.06,0.0226
"Nicaragua","","",0,6624554,17566,217,265.17,32.76,0.0124
"Panama","","",0,4314768,573083,7518,13281.90,1742.39,0.0131
"Saint Kitts and Nevis","","",0,53192,4942,28,9290.87,526.39,0.0057
"Saint Lucia","","",0,183629,17289,314,9415.18,1709.97,0.0182
"Saint Vincent and the Grenadines","","",0,110947,6609,85,5956.90,766.13,0.0129
"Trinidad and Tobago","","",0,1399491,100982,3197,7215.62,2284.40,0.0317
"Mexico","","",0,129226914,4362395,301149,3375.76,2330.39,0.0690
"Canada","","",0,42307626,2774268,31574,6557.37,746.30,0.0114
"US","","",1001,345126684,65832597,849973,19074.91,2462.79,0.0129
