Admin0,Admin1,Admin2,FIPS,Population,CaseCount,DeathCount,CasesPer100K,DeathsPerM,CFR
"Brazil","Acre","",0,881935,85624,1775,9708.65,2012.62,0.0207
"Brazil","Alagoas","",0,3337357,237548,6123,7117.85,1834.69,0.0258
"Brazil","Amapa","",0,845731,120987,1866,14305.61,2206.38,0.0154
"Brazil","Amazonas","",0,4144597,408283,12282,9850.97,2963.38,0.0301
"Brazil","Bahia","",0,14873064,1254094,27019,8431.98,1816.64,0.0215
"Brazil","Ceara","",0,9132078,923191,22879,10109.32,2505.34,0.0248
"Brazil","Distrito Federal","",0,3015268,513350,10978,17025.02,3640.80,0.0214
"Brazil","Espirito Santo","",0,4018650,616425,12908,15339.11,3212.02,0.0209
"Brazil","Goias","",0,7018354,940964,24528,13407.19,3494.84,0.0261
"Brazil","Maranhao","",0,7075181,352500,9715,4982.20,1373.11,0.0276
"Brazil","Mato Grosso","",0,3484466,549933,13728,15782.42,3939.77,0.0250
"Brazil","Mato Grosso do Sul","",0,2778986,378807,9687,13631.12,3485.80,0.0256
"Brazil","Minas Gerais","",0,21168791,2208618,56222,10433.37,2655.89,0.0255
"Brazil","Para","",0,8602865,596816,15396,6937.41,1789.64,0.0258
"Brazil","Paraiba","",0,4018127,456961,9331,11372.49,2322.23,0.0204
"Brazil","Parana","",0,11433957,1583872,40685,13852.35,3558.26,0.0257
"Brazil","Pernambuco","",0,9557071,621157,18521,6499.45,1937.94,0.0298
"Brazil","Piaui","",0,3273227,330857,7136,10107.98,2180.11,0.0216
"Brazil","Rio Grande do Norte","",0,3506853,380482,7347,10849.67,2095.04,0.0193
"Brazil","Rio Grande do Sul","",0,11377239,1493408,36109,13126.28,3173.79,0.0242
"Brazil","Rio de Janeiro","",0,17264943,1319920,66105,7645.09,3828.86,0.0501
"Brazil","Rondonia","",0,1777225,278226,6586,15655.08,3705.78,0.0237
"Brazil","Roraima","",0,605760,126714,2000,20918.19,3301.64,0.0158
"Brazil","Santa Catarina","",0,7164787,1231913,19984,17193.99,2789.20,0.0162
"Brazil","Sao Paulo","",0,45919049,4380781,149413,9540.23,3253.83,0.0341
"Brazil","Sergipe","",0,2298696,274216,5983,11929.20,2602.78,0.0218
"Brazil","Tocantins","",0,1572866,232467,3887,14779.84,2471.28,0.0167
