Admin0,Admin1,Admin2,FIPS,Population,CaseCount,DeathCount,CasesPer100K,DeathsPerM,CFR
"Canada","Alberta","",0,4413146,337396,3267,7645.25,740.29,0.0097
"Canada","British Columbia","",0,5110917,220806,2363,4320.28,462.34,0.0107
"Canada","Manitoba","",0,1377517,68902,1337,5001.90,970.59,0.0194
"Canada","New Brunswick","",0,779993,8940,136,1146.16,174.36,0.0152
"Canada","Newfoundland and Labrador","",0,521365,2070,18,397.03,34.52,0.0087
"Canada","Northwest Territories","",0,44904,2069,12,4607.61,267.24,0.0058
"Canada","Nova Scotia","",0,977457,8434,110,862.85,112.54,0.0130
"Canada","Nunavut","",0,38780,675,4,1740.59,103.15,0.0059
"Canada","Ontario","",0,14711827,633711,10087,4307.49,685.64,0.0159
"Canada","Prince Edward Island","",0,158158,391,0,247.22,0.00,0.0000
"Canada","Quebec","",0,8537674,457013,11593,5352.90,1357.86,0.0254
"Canada","Repatriated Travellers","",0,-1,13,0,0.00,0.00,0.0000
"Canada","Saskatchewan","",0,1181665,81468,933,6894.34,789.56,0.0115
"Canada","Yukon","",0,41078,1557,14,3790.35,340.82,0.0090
