Admin0,Admin1,Admin2,FIPS,Population,CaseCount,DeathCount,CasesPer100K,DeathsPerM,CFR
"Chile","Antofagasta","",0,607534,64178,1259,10563.69,2072.31,0.0196
"Chile","Araucania","",0,957223,100702,1496,10520.22,1562.85,0.0149
"Chile","Arica y Parinacota","",0,226068,28241,535,12492.26,2366.54,0.0189
"Chile","Atacama","",0,288944,29946,375,10363.95,1297.83,0.0125
"Chile","Aysen","",0,103158,10008,87,9701.62,843.37,0.0087
"Chile","Biobio","",0,1556805,162381,2760,10430.40,1772.86,0.0170
"Chile","Coquimbo","",0,757585,53490,1067,7060.59,1408.42,0.0199
"Chile","Los Lagos","",0,828708,96009,1439,11585.38,1736.44,0.0150
"Chile","Los Rios","",0,384837,52244,702,13575.62,1824.15,0.0134
"Chile","Magallanes","",0,166533,28807,484,17298.07,2906.33,0.0168
"Chile","Maule","",0,1044950,107901,1818,10325.95,1739.80,0.0168
"Chile","Metropolitana","",0,7112808,706486,19450,9932.59,2734.50,0.0275
"Chile","Nuble","",0,480609,37771,643,7858.99,1337.89,0.0170
"Chile","OHiggins","",0,914554,72169,1608,7891.17,1758.23,0.0223
"Chile","Tarapaca","",0,330558,43282,814,13093.62,2462.50,0.0188
"Chile","Unknown","",0,-1,45,0,0.00,0.00,0.0000
"Chile","Valparaiso","",0,1815902,133706,3547,7363.06,1953.30,0.0265
