Admin0,Admin1,Admin2,FIPS,Population,CaseCount,DeathCount,CasesPer100K,DeathsPerM,CFR
"Colombia","Amazonas","",0,76589,7154,260,9340.77,3394.74,0.0363
"Colombia","Antioquia","",0,6407102,869579,17118,13572.11,2671.72,0.0197
"Colombia","Arauca","",0,262174,14781,492,5637.86,1876.62,0.0333
"Colombia","Atlantico","",0,2535517,364941,9767,14393.16,3852.07,0.0268
"Colombia","Bolivar","",0,2070110,182837,3083,8832.24,1489.29,0.0169
"Colombia","Boyaca","",0,1217376,114345,2595,9392.74,2131.63,0.0227
"Colombia","Caldas","",0,998255,109884,2307,11007.61,2311.03,0.0210
"Colombia","Capital District","",0,7412566,1571527,27811,21200.85,3751.87,0.0177
"Colombia","Caqueta","",0,401489,23571,949,5870.90,2363.70,0.0403
"Colombia","Casanare","",0,420504,37278,944,8865.08,2244.93,0.0253
"Colombia","Cauca","",0,1464488,64334,1608,4392.93,1097.99,0.0250
"Colombia","Cesar","",0,1200574,96764,2576,8059.81,2145.64,0.0266
"Colombia","Choco","",0,534826,17861,407,3339.59,761.00,0.0228
"Colombia","Cordoba","",0,1784783,109099,3753,6112.73,2102.78,0.0344
"Colombia","Cundinamarca","",0,2919059,282387,6875,9673.91,2355.21,0.0243
"Colombia","Guainia","",0,48114,2617,35,5439.17,727.44,0.0134
"Colombia","Guaviare","",0,82767,5294,97,6396.27,1171.96,0.0183
"Colombia","Huila","",0,1100386,93314,3228,8480.12,2933.52,0.0346
"Colombia","La Guajira","",0,880559,48782,1455,5539.89,1652.36,0.0298
"Colombia","Magdalena","",0,1341745,105750,3500,7881.53,2608.54,0.0331
"Colombia","Meta","",0,1039722,94727,2321,9110.80,2232.33,0.0245
"Colombia","Narino","",0,1630592,97394,3057,5972.92,1874.78,0.0314
"Colombia","Norte de Santander","",0,1491688,105801,4753,7092.70,3186.32,0.0449
"Colombia","Putumayo","",0,348182,18634,724,5351.80,2079.37,0.0389
"Colombia","Quindio","",0,539904,64665,1876,11977.13,3474.69,0.0290
"Colombia","Risaralda","",0,943401,97687,2298,10354.77,2435.87,0.0235
"Colombia","San Andres y Providencia","",0,61280,9266,152,15120.76,2480.42,0.0164
"Colombia","Santander","",0,2184837,248133,7585,11357.05,3471.65,0.0306
"Colombia","Sucre","",0,904863,61447,1629,6790.75,1800.27,0.0265
"Colombia","Tolima","",0,1330187,113981,3707,8568.80,2786.83,0.0325
"Colombia","Unknown","",0,-1,-121,302,0.00,0.00,0.0000
"Colombia","Valle del Cauca","",0,4475886,502588,13624,11228.79,3043.87,0.0271
"Colombia","Vaupes","",0,40797,1807,17,4429.25,416.70,0.0094
"Colombia","Vichada","",0,107808,3079,58,2856.00,537.99,0.0188
