Admin0,Admin1,Admin2,FIPS,Population,CaseCount,DeathCount,CasesPer100K,DeathsPerM,CFR
"Germany","Baden-Wurttemberg","",0,11069533,1484210,12146,13408.06,1097.25,0.0082
"Germany","Bayern","",0,13076721,1957995,18395,14973.13,1406.70,0.0094
"Germany","Berlin","",0,3644826,590762,3960,16208.24,1086.47,0.0067
"Germany","Brandenburg","",0,2511917,379062,4863,15090.55,1935.97,0.0128
"Germany","Bremen","",0,682986,93528,617,13693.98,903.39,0.0066
"Germany","Hamburg","",0,1841179,278762,1945,15140.41,1056.39,0.0070
"Germany","Hessen","",0,6265808,799867,8463,12765.58,1350.66,0.0106
"Germany","Mecklenburg-Vorpommern","",0,1609675,165635,1637,10289.97,1016.98,0.0099
"Germany","Niedersachsen","",0,7982448,726818,6605,9105.20,827.44,0.0091
"Germany","Nordrhein-Westfalen","",0,17932650,2213504,19798,12343.43,1104.02,0.0089
"Germany","Rheinland-Pfalz","",0,4084844,419660,4619,10273.59,1130.77,0.0110
"Germany","Saarland","",0,990508,113831,1191,11492.18,1202.41,0.0105
"Germany","Sachsen","",0,4077937,758875,13945,18609.29,3419.62,0.0184
"Germany","Sachsen-Anhalt","",0,2208321,289640,4582,13115.85,2074.88,0.0158
"Germany","Schleswig-Holstein","",0,2896712,241563,1869,8339.21,645.21,0.0077
"Germany","Thuringen","",0,2143145,332476,6316,15513.46,2947.07,0.0190
"Germany","Unknown","",0,-1,43296,-83,0.00,0.00,-0.0019
