Admin0,Admin1,Admin2,FIPS,Population,CaseCount,DeathCount,CasesPer100K,DeathsPerM,CFR
"India","Andaman and Nicobar Islands","",0,417036,7666,129,1838.21,309.33,0.0168
"India","Andhra Pradesh","",0,53903393,2069905,14389,3840.03,266.94,0.0070
"India","Arunachal Pradesh","",0,1570457,55251,280,3518.15,178.29,0.0051
"India","Assam","",0,35607039,615742,6130,1729.27,172.16,0.0100
"India","Bihar","",0,124799925,720963,12197,577.70,97.73,0.0169
"India","Chandigarh","",0,1158473,65298,1039,5636.56,896.87,0.0159
"India","Chhattisgarh","",0,29436231,1006005,13587,3417.57,461.57,0.0135
"India","Dadra and Nagar Haveli and Daman and Diu","",0,615724,10691,3,1736.33,4.87,0.0003
"India","Delhi","",0,18710922,1411331,24246,7542.82,1295.82,0.0172
"India","Goa","",0,1586250,179115,3485,11291.73,2197.01,0.0195
"India","Gujarat","",0,63872399,807368,8802,1264.03,137.81,0.0109
"India","Haryana","",0,28204691,766997,10014,2719.40,355.05,0.0131
"India","Himachal Pradesh","",0,7451954,227513,3855,3053.07,517.31,0.0169
"India","Jammu and Kashmir","",0,13606320,334595,4447,2459.11,326.83,0.0133
"India","Jharkhand","",0,38593948,348056,5133,901.84,133.00,0.0147
"India","Karnataka","",0,67562686,2994635,38198,4432.38,565.37,0.0128
"India","Kerala","",0,35699443,5192874,42957,14546.09,1203.30,0.0083
"India","Ladakh","",0,274289,21737,214,7924.85,780.20,0.0098
"India","Lakshadweep","",0,64429,10406,51,16151.11,791.57,0.0049
"India","Madhya Pradesh","",0,85358964,783607,10112,918.01,118.46,0.0129
"India","Maharashtra","",0,123144223,6554809,138042,5322.87,1120.98,0.0211
"India","Manipur","",0,3091545,125228,1990,4050.66,643.69,0.0159
"India","Meghalaya","",0,3366710,84654,1475,2514.44,438.11,0.0174
"India","Mizoram","",0,1239244,138262,520,11156.96,419.61,0.0038
"India","Nagaland","",0,2249695,32032,699,1423.84,310.71,0.0218
"India","Odisha","",0,46356334,1048502,8425,2261.83,181.74,0.0080
"India","Puducherry","",0,1413542,129097,1877,9132.87,1327.87,0.0145
"India","Punjab","",0,30141372,601065,16565,1994.15,549.58,0.0276
"India","Rajasthan","",0,81032689,943973,8704,1164.93,107.41,0.0092
"India","Sikkim","",0,690251,32426,406,4697.71,588.19,0.0125
"India","Tamil Nadu","",0,77841267,2701465,36314,3470.48,466.51,0.0134
"India","Telangana","",0,39362732,674477,3863,1713.49,98.14,0.0057
"India","Tripura","",0,4169794,84068,825,2016.12,197.85,0.0098
"India","Unknown","",0,-1,-9434,0,0.00,0.00,0.0000
"India","Uttar Pradesh","",0,237882725,1699431,22623,714.40,95.10,0.0133
"India","Uttarakhand","",0,11250858,342952,7400,3048.23,657.73,0.0216
"India","West Bengal","",0,99609302,1614413,19192,1620.75,192.67,0.0119
