Admin0,Admin1,Admin2,FIPS,Population,CaseCount,DeathCount,CasesPer100K,DeathsPerM,CFR
"Malaysia","Johor","",0,3768200,235254,3794,6243.14,1006.85,0.0161
"Malaysia","Kedah","",0,2185900,162300,2107,7424.86,963.91,0.0130
"Malaysia","Kelantan","",0,1892200,160253,1190,8469.14,628.90,0.0074
"Malaysia","Melaka","",0,932700,72556,942,7779.14,1009.97,0.0130
"Malaysia","Negeri Sembilan","",0,1132099,109907,1286,9708.25,1135.94,0.0117
"Malaysia","Pahang","",0,1677100,88840,724,5297.24,431.70,0.0081
"Malaysia","Perak","",0,2514300,124582,1292,4954.94,513.86,0.0104
"Malaysia","Perlis","",0,254600,6611,127,2596.62,498.82,0.0192
"Malaysia","Pulau Pinang","",0,1777600,155253,1671,8733.85,940.03,0.0108
"Malaysia","Sabah","",0,3904700,235770,2719,6038.11,696.34,0.0115
"Malaysia","Sarawak","",0,2818100,251372,1597,8919.91,566.69,0.0064
"Malaysia","Selangor","",0,6541900,763210,9832,11666.49,1502.93,0.0129
"Malaysia","Terengganu","",0,1250100,77928,628,6233.74,502.36,0.0081
"Malaysia","W.P. Kuala Lumpur","",0,1778399,204996,2628,11527.00,1477.73,0.0128
"Malaysia","W.P. Labuan","",0,99400,10595,150,10658.95,1509.05,0.0142
"Malaysia","W.P. Putrajaya","",0,105399,8761,21,8312.22,199.24,0.0024
"Malaysia","Unknown","",0,-1,0,0,0.00,0.00,0.0000
