Admin0,Admin1,Admin2,FIPS,Population,CaseCount,DeathCount,CasesPer100K,DeathsPerM,CFR
"Mexico","Aguascalientes","",0,1434635,42844,3070,2986.40,2139.92,0.0717
"Mexico","Baja California","",0,3634868,101510,10712,2792.67,2947.01,0.1055
"Mexico","Baja California Sur","",0,804708,75020,2416,9322.64,3002.33,0.0322
"Mexico","Campeche","",0,1000616,25584,2061,2556.82,2059.73,0.0806
"Mexico","Chiapas","",0,5730367,23820,2249,415.68,392.47,0.0944
"Mexico","Chihuahua","",0,3801487,92198,8734,2425.31,2297.52,0.0947
"Mexico","Ciudad de Mexico","",0,9018645,1079312,38886,11967.56,4311.73,0.0360
"Mexico","Coahuila","",0,3218720,115434,7875,3586.33,2446.62,0.0682
"Mexico","Colima","",0,785152,37259,2031,4745.45,2586.76,0.0545
"Mexico","Durango","",0,1868996,57042,3179,3052.01,1700.91,0.0557
"Mexico","Guanajuato","",0,6228175,221893,13501,3562.73,2167.73,0.0608
"Mexico","Guerrero","",0,3657048,80796,6209,2209.32,1697.82,0.0768
"Mexico","Hidalgo","",0,3086414,67446,7755,2185.25,2512.62,0.1150
"Mexico","Jalisco","",0,8409693,180776,17793,2149.61,2115.77,0.0984
"Mexico","Mexico","",0,17427790,402257,44437,2308.14,2549.78,0.1105
"Mexico","Michoacan","",0,4825401,76458,8206,1584.49,1700.58,0.1073
"Mexico","Morelos","",0,2044058,52683,4759,2577.37,2328.21,0.0903
"Mexico","Nayarit","",0,1288570,39916,2891,3097.70,2243.57,0.0724
"Mexico","Nuevo Leon","",0,5610152,230504,13758,4108.69,2452.34,0.0597
"Mexico","Oaxaca","",0,4143592,88126,5597,2126.80,1350.76,0.0635
"Mexico","Puebla","",0,6604450,131226,15552,1986.93,2354.78,0.1185
"Mexico","Queretaro","",0,2279637,108001,5630,4737.64,2469.69,0.0521
"Mexico","Quintana Roo","",0,1723259,71180,3863,4130.55,2241.68,0.0543
"Mexico","San Luis Potosi","",0,2866142,126347,6846,4408.26,2388.58,0.0542
"Mexico","Sinaloa","",0,3156674,84370,8736,2672.75,2767.47,0.1035
"Mexico","Sonora","",0,3074745,132772,9244,4318.15,3006.43,0.0696
"Mexico","Tabasco","",0,2572287,154320,5440,5999.33,2114.85,0.0353
"Mexico","Tamaulipas","",0,3650601,114076,7100,3124.86,1944.89,0.0622
"Mexico","Tlaxcala","",0,1380011,30536,2896,2212.74,2098.53,0.0948
"Mexico","Unknown","",0,-1,0,0,0.00,0.00,0.0000
"Mexico","Veracruz","",0,8539862,128323,14925,1502.64,1747.69,0.1163
"Mexico","Yucatan","",0,2259098,84076,5657,3721.66,2504.10,0.0673
"Mexico","Zacatecas","",0,1666426,51934,3466,3116.49,2079.90,0.0667
