Admin0,Admin1,Admin2,FIPS,Population,CaseCount,DeathCount,CasesPer100K,DeathsPerM,CFR
"Russia","Adygea Republic","",0,453376,27427,775,6049.50,1709.40,0.0283
"Russia","Altai Krai","",0,2350080,122512,6967,5213.10,2964.58,0.0569
"Russia","Altai Republic","",0,218062,25548,535,11715.93,2453.43,0.0209
"Russia","Amur Oblast","",0,798424,56427,619,7067.30,775.28,0.0110
"Russia","Arkhangelsk Oblast","",0,1155028,124082,1550,10742.77,1341.96,0.0125
"Russia","Astrakhan Oblast","",0,1017514,81478,2530,8007.56,2486.45,0.0311
"Russia","Bashkortostan Republic","",0,4063293,122019,4557,3002.96,1121.50,0.0373
"Russia","Belgorod Oblast","",0,1549876,81053,1820,5229.64,1174.29,0.0225
"Russia","Bryansk Oblast","",0,1210982,95345,3040,7873.36,2510.36,0.0319
"Russia","Buryatia Republic","",0,984511,76803,2518,7801.13,2557.61,0.0328
"Russia","Chechen Republic","",0,1436981,30531,956,2124.66,665.28,0.0313
"Russia","Chelyabinsk Oblast","",0,3493036,147503,6362,4222.77,1821.34,0.0431
"Russia","Chukotka Autonomous Okrug","",0,49348,2909,38,5894.87,770.04,0.0131
"Russia","Chuvashia Republic","",0,1231117,44403,4133,3606.72,3357.11,0.0931
"Russia","Dagestan Republic","",0,3063885,62687,3028,2046.00,988.29,0.0483
"Russia","Ingushetia Republic","",0,488042,27628,442,5660.99,905.66,0.0160
"Russia","Irkutsk Oblast","",0,2404195,159612,7165,6638.90,2980.21,0.0449
"Russia","Ivanovo Oblast","",0,1014645,67915,2616,6693.47,2578.24,0.0385
"Russia","Jewish Autonomous Okrug","",0,162013,11598,428,7158.68,2641.76,0.0369
"Russia","Kabardino-Balkarian Republic","",0,865827,40469,1503,4674.03,1735.91,0.0371
"Russia","Kaliningrad Oblast","",0,994599,83156,1310,8360.76,1317.11,0.0158
"Russia","Kalmykia Republic","",0,275412,33166,740,12042.32,2686.88,0.0223
"Russia","Kaluga Oblast","",0,1012056,63146,1231,6239.38,1216.34,0.0195
"Russia","Kamchatka Krai","",0,315557,23339,510,7396.13,1616.19,0.0219
"Russia","Karachay-Cherkess Republic","",0,466305,32064,918,6876.19,1968.67,0.0286
"Russia","Karelia Republic","",0,622483,91731,1255,14736.31,2016.12,0.0137
"Russia","Kemerovo Oblast","",0,2694876,88498,1782,3283.94,661.25,0.0201
"Russia","Khabarovsk Krai","",0,1328302,127035,1283,9563.71,965.89,0.0101
"Russia","Khakassia Republic","",0,537513,53813,2061,10011.48,3834.33,0.0383
"Russia","Khanty-Mansi Autonomous Okrug","",0,1532243,95700,2075,6245.75,1354.22,0.0217
"Russia","Kirov Oblast","",0,1283238,80071,770,6239.76,600.04,0.0096
"Russia","Komi Republic","",0,840873,97587,2689,11605.44,3197.87,0.0276
"Russia","Kostroma Oblast","",0,643323,48446,1133,7530.59,1761.17,0.0234
"Russia","Krasnodar Krai","",0,5603420,121397,9914,2166.48,1769.28,0.0817
"Russia","Krasnoyarsk Krai","",0,2876497,173168,9061,6020.10,3150.01,0.0523
"Russia","Kurgan Oblast","",0,845537,51799,1032,6126.17,1220.53,0.0199
"Russia","Kursk Oblast","",0,1115237,80175,2104,7189.05,1886.59,0.0262
"Russia","Leningrad Oblast","",0,1813816,102753,3074,5665.02,1694.77,0.0299
"Russia","Lipetsk Oblast","",0,1150201,83875,2922,7292.20,2540.43,0.0348
"Russia","Magadan Oblast","",0,144091,13605,353,9441.95,2449.84,0.0259
"Russia","Mari El Republic","",0,682333,28168,943,4128.19,1382.02,0.0335
"Russia","Mordovia Republic","",0,805056,39417,1075,4896.18,1335.31,0.0273
"Russia","Moscow","",0,12506468,1905507,35356,15236.17,2827.02,0.0186
"Russia","Moscow Oblast","",0,7503385,623529,12299,8309.97,1639.13,0.0197
"Russia","Murmansk Oblast","",0,753556,90280,2839,11980.53,3767.47,0.0314
"Russia","Nenets Autonomous Okrug","",0,43997,3482,88,7914.18,2000.14,0.0253
"Russia","Nizhny Novgorod Oblast","",0,3234752,226556,10110,7003.81,3125.43,0.0446
"Russia","North Ossetia - Alania Republic","",0,701765,29087,979,4144.83,1395.05,0.0337
"Russia","Novgorod Oblast","",0,606475,65701,798,10833.26,1315.80,0.0121
"Russia","Novosibirsk Oblast","",0,2788849,96021,4403,3443.03,1578.79,0.0459
"Russia","Omsk Oblast","",0,1960081,132694,3326,6769.82,1696.87,0.0251
"Russia","Orel Oblast","",0,747247,70071,1554,9377.22,2079.63,0.0222
"Russia","Orenburg Oblast","",0,1977720,107521,3535,5436.61,1787.41,0.0329
"Russia","Penza Oblast","",0,1331655,102246,4756,7678.11,3571.50,0.0465
"Russia","Perm Krai","",0,2623122,163931,7633,6249.46,2909.89,0.0466
"Russia","Primorsky Krai","",0,1913037,104556,1610,5465.45,841.59,0.0154
"Russia","Pskov Oblast","",0,636546,71867,1341,11290.15,2106.68,0.0187
"Russia","Rostov Oblast","",0,4220452,194706,9847,4613.39,2333.16,0.0506
"Russia","Ryazan Oblast","",0,1121474,59360,2694,5293.03,2402.20,0.0454
"Russia","Saint Petersburg","",0,5351935,863502,28791,16134.39,5379.55,0.0333
"Russia","Sakha (Yakutiya) Republic","",0,964329,76001,1820,7881.23,1887.32,0.0239
"Russia","Sakhalin Oblast","",0,490181,43900,587,8955.88,1197.52,0.0134
