Admin0,Admin1,Admin2,FIPS,Population,CaseCount,DeathCount,CasesPer100K,DeathsPerM,CFR
"Sweden","Blekinge","",0,159606,14181,126,8885.00,789.44,0.0089
"Sweden","Dalarna","",0,287966,28723,212,9974.44,736.20,0.0074
"Sweden","Gavleborg","",0,287382,38178,455,13284.76,1583.26,0.0119
"Sweden","Gotland","",0,59686,4713,48,7896.32,804.21,0.0102
"Sweden","Halland","",0,333847,44702,276,13389.97,826.73,0.0062
"Sweden","Jamtland Harjedalen","",0,130810,12901,96,9862.40,733.89,0.0074
"Sweden","Jonkoping","",0,363599,45483,423,12509.11,1163.37,0.0093
"Sweden","Kalmar","",0,245446,27029,217,11012.20,884.10,0.0080
"Sweden","Kronoberg","",0,201468,23385,253,11607.30,1255.78,0.0108
"Sweden","Norrbotten","",0,250093,28542,247,11412.55,987.63,0.0087
"Sweden","Orebro","",0,304805,35125,217,11523.76,711.93,0.0062
"Sweden","Ostergotland","",0,465495,44056,467,9464.33,1003.23,0.0106
"Sweden","Skane","",0,1377827,173908,1625,12621.90,1179.39,0.0093
"Sweden","Sormland","",0,297540,27342,258,9189.35,867.11,0.0094
"Sweden","Stockholm","",0,2377081,280798,2404,11812.72,1011.32,0.0086
"Sweden","Uppsala","",0,383713,43326,367,11291.25,956.44,0.0085
"Sweden","Varmland","",0,282414,22490,191,7963.49,676.31,0.0085
"Sweden","Vasterbotten","",0,271736,26978,174,9928.02,640.33,0.0064
"Sweden","Vasternorrland","",0,245347,28225,400,11504.11,1630.34,0.0142
"Sweden","Vastmanland","",0,275844,32913,230,11931.74,833.80,0.0070
"Sweden","Vastra Gotaland","",0,1725880,204555,1871,11852.21,1084.08,0.0091
