Admin0,Admin1,Admin2,FIPS,Population,CaseCount,DeathCount,CasesPer100K,DeathsPerM,CFR
"US","Florida","Alachua",12001,269043,40635,285,15103.53,1059.31,0.0070
"US","Florida","Baker",12003,29209,6041,62,20681.98,2122.63,0.0103
"US","Florida","Bay",12005,174705,32885,394,18823.16,2255.23,0.0120
"US","Florida","Bradford",12007,28200,5369,58,19039.01,2056.74,0.0108
"US","Florida","Brevard",12009,601941,82880,914,13768.79,1518.42,0.0110
"US","Florida","Broward",12011,1952778,365990,3079,18742.02,1576.73,0.0084
"US","Florida","Calhoun",12013,14105,3017,45,21389.58,3190.36,0.0149
"US","Florida","Charlotte",12015,188909,23976,437,12691.83,2313.28,0.0182
"US","Florida","Citrus",12017,149657,20893,463,13960.59,3093.74,0.0222
"US","Florida","Clay",12019,219252,34256,352,15624.03,1605.46,0.0103
"US","Florida","Collier",12021,384902,59234,551,15389.37,1431.53,0.0093
"US","Florida","Columbia",12023,71686,15079,170,21034.79,2371.45,0.0113
"US","Florida","DeSoto",12027,38001,6991,97,18396.88,2552.56,0.0139
"US","Florida","Dixie",12029,16826,2980,24,17710.69,1426.36,0.0081
"US","Florida","Duval",12031,957755,167777,1483,17517.74,1548.41,0.0088
"US","Florida","Escambia",12033,318316,57945,706,18203.61,2217.92,0.0122
"US","Florida","Flagler",12035,115080,14803,114,12863.23,990.62,0.0077
"US","Florida","Franklin",12037,12125,2272,20,18738.14,1649.48,0.0088
"US","Florida","Gadsden",12039,45660,8763,99,19191.85,2168.20,0.0113
"US","Florida","Gilchrist",12041,18582,3196,44,17199.44,2367.88,0.0138
"US","Florida","Glades",12043,13811,1463,19,10593.01,1375.72,0.0130
"US","Florida","Gulf",12045,13638,3008,45,22056.02,3299.60,0.0150
"US","Florida","Hamilton",12047,14428,2782,25,19281.95,1732.74,0.0090
"US","Florida","Hardee",12049,26937,6123,45,22730.82,1670.56,0.0073
"US","Florida","Hendry",12051,42022,8059,87,19178.05,2070.34,0.0108
"US","Florida","Hernando",12053,193919,28989,482,14949.03,2485.57,0.0166
"US","Florida","Highlands",12055,106221,16256,366,15303.94,3445.65,0.0225
"US","Florida","Hillsborough",12057,1471968,248005,1832,16848.53,1244.59,0.0074
"US","Florida","Holmes",12059,19616,3904,49,19902.12,2497.96,0.0126
"US","Florida","Indian River",12061,159923,22509,306,14074.90,1913.42,0.0136
"US","Florida","Jackson",12063,46413,10274,158,22136.04,3404.22,0.0154
"US","Florida","Jefferson",12065,14246,2530,28,17759.37,1965.46,0.0111
"US","Florida","Lafayette",12067,8422,2227,26,26442.65,3087.15,0.0117
"US","Florida","Lake",12069,367118,56308,663,15337.85,1805.96,0.0118
"US","Florida","Lee",12071,770577,129342,1009,16785.08,1309.41,0.0078
"US","Florida","Leon",12073,293582,52264,332,17802.18,1130.86,0.0064
"US","Florida","Levy",12075,41503,7108,56,17126.47,1349.30,0.0079
"US","Florida","Liberty",12077,8353,1845,16,22087.87,1915.48,0.0087
"US","Florida","Madison",12079,18493,3691,45,19958.90,2433.35,0.0122
"US","Florida","Manatee",12081,403253,66702,689,16540.98,1708.60,0.0103
"US","Florida","Marion",12083,365579,57767,996,15801.51,2724.45,0.0172
"US","Florida","Martin",12085,161000,20745,335,12885.09,2080.75,0.0161
"US","Florida","Miami-Dade",12086,2716940,690745,6472,25423.64,2382.09,0.0094
"US","Florida","Monroe",12087,74228,11339,52,15275.91,700.54,0.0046
"US","Florida","Nassau",12089,88624,15729,127,17748.01,1433.02,0.0081
"US","Florida","Okaloosa",12091,210738,35193,367,16699.88,1741.50,0.0104
"US","Florida","Okeechobee",12093,42168,7490,89,17762.28,2110.61,0.0119
"US","Florida","Orange",12095,1393451,234292,1310,16813.80,940.11,0.0056
"US","Florida","Osceola",12097,375751,73909,529,19669.67,1407.85,0.0072
"US","Florida","Palm Beach",12099,1496770,231921,2883,15494.77,1926.15,0.0124
"US","Florida","Pasco",12101,553946,80823,802,14590.41,1447.79,0.0099
"US","Florida","Pinellas",12103,974996,138679,1671,14223.55,1713.85,0.0120
"US","Florida","Polk",12105,724777,131040,1387,18080.04,1913.69,0.0106
"US","Florida","Putnam",12107,74521,12904,160,17315.92,2147.05,0.0124
"US","Florida","Santa Rosa",12113,184312,33077,291,17946.20,1578.84,0.0088
"US","Florida","Sarasota",12115,433742,58044,844,13382.15,1945.86,0.0145
"US","Florida","Seminole",12117,471826,63928,516,13549.06,1093.62,0.0081
"US","Florida","St. Johns",12109,264672,41865,221,15817.69,835.00,0.0053
"US","Florida","St. Lucie",12111,328296,48517,657,14778.43,2001.24,0.0135
"US","Florida","Sumter",12119,132420,14974,284,11307.96,2144.69,0.0190
"US","Florida","Suwannee",12121,44417,9325,140,20994.21,3151.95,0.0150
"US","Florida","Taylor",12123,21569,4642,48,21521.63,2225.42,0.0103
"US","Florida","Unassigned",90012,-1,2961,25069,0.00,0.00,8.4664
"US","Florida","Union",12125,15236,3089,74,20274.35,4856.92,0.0240
"US","Florida","Volusia",12127,553284,78486,846,14185.48,1529.05,0.0108
"US","Florida","Wakulla",12129,33739,6495,56,19250.72,1659.80,0.0086
"US","Florida","Walton",12131,74071,13003,89,17554.78,1201.55,0.0068
"US","Florida","Washington",12133,25473,4610,52,18097.59,2041.38,0.0113
"US","Florida","Desoto",0,-1,0,0,0.00,0.00,0.0000
