Admin0,Admin1,Admin2,FIPS,Population,CaseCount,DeathCount,CasesPer100K,DeathsPerM,CFR
"US","Georgia","Appling",13001,18386,3860,109,20994.23,5928.42,0.0282
"US","Georgia","Atkinson",13003,8165,1709,39,20930.80,4776.48,0.0228
"US","Georgia","Bacon",13005,11164,2813,63,25197.06,5643.14,0.0224
"US","Georgia","Baker",13007,3038,427,14,14055.30,4608.29,0.0328
"US","Georgia","Baldwin",13009,44890,8133,204,18117.62,4544.44,0.0251
"US","Georgia","Banks",13011,19234,3308,72,17198.71,3743.37,0.0218
"US","Georgia","Barrow",13013,83240,18992,209,22815.95,2510.81,0.0110
"US","Georgia","Bartow",13015,107737,25162,385,23355.02,3573.52,0.0153
"US","Georgia","Ben Hill",13017,16700,3540,110,21197.60,6586.83,0.0311
"US","Georgia","Berrien",13019,19397,3914,62,20178.38,3196.37,0.0158
"US","Georgia","Bibb",13021,153159,31911,665,20835.21,4341.89,0.0208
"US","Georgia","Bleckley",13023,12873,2690,85,20896.45,6602.97,0.0316
"US","Georgia","Brantley",13025,19109,3156,91,16515.78,4762.15,0.0288
"US","Georgia","Brooks",13027,15457,2785,73,18017.73,4722.78,0.0262
"US","Georgia","Bryan",13029,39627,7297,76,18414.21,1917.88,0.0104
"US","Georgia","Bulloch",13031,79608,12807,215,16087.58,2700.73,0.0168
"US","Georgia","Burke",13033,22383,4244,86,18960.82,3842.20,0.0203
"US","Georgia","Butts",13035,24936,5708,124,22890.60,4972.73,0.0217
"US","Georgia","Calhoun",13037,6189,934,22,15091.29,3554.69,0.0236
"US","Georgia","Camden",13039,54666,9040,99,16536.79,1811.00,0.0110
"US","Georgia","Candler",13043,10803,1725,89,15967.79,8238.45,0.0516
"US","Georgia","Carroll",13045,119992,20102,374,16752.78,3116.87,0.0186
"US","Georgia","Catoosa",13047,67580,11506,128,17025.75,1894.05,0.0111
"US","Georgia","Charlton",13049,13392,2364,53,17652.33,3957.59,0.0224
"US","Georgia","Chatham",13051,289430,49979,744,17268.08,2570.57,0.0149
"US","Georgia","Chattahoochee",13053,10907,6425,20,58907.12,1833.68,0.0031
