Admin0,Admin1,Admin2,FIPS,Population,CaseCount,DeathCount,CasesPer100K,DeathsPerM,CFR
"US","Idaho","Ada",16001,481587,86221,843,17903.51,1750.46,0.0098
"US","Idaho","Adams",16003,4294,552,14,12855.15,3260.36,0.0254
"US","Idaho","Bannock",16005,87808,14360,207,16353.86,2357.42,0.0144
"US","Idaho","Bear Lake",16007,6125,740,14,12081.63,2285.71,0.0189
"US","Idaho","Benewah",16009,9298,1580,29,16992.90,3118.95,0.0184
"US","Idaho","Bingham",16011,46811,7243,129,15472.86,2755.76,0.0178
"US","Idaho","Blaine",16013,23021,3228,27,14021.98,1172.84,0.0084
"US","Idaho","Boise",16015,7831,822,11,10496.74,1404.67,0.0134
"US","Idaho","Bonner",16017,45739,6562,134,14346.62,2929.67,0.0204
"US","Idaho","Bonneville",16019,119062,21804,236,18313.15,1982.16,0.0108
"US","Idaho","Boundary",16021,12244,1715,48,14006.86,3920.29,0.0280
"US","Idaho","Butte",16023,2597,386,5,14863.30,1925.30,0.0130
"US","Idaho","Camas",16025,1106,108,1,9764.92,904.16,0.0093
"US","Idaho","Canyon",16027,229848,43823,584,19066.08,2540.81,0.0133
"US","Idaho","Caribou",16029,7155,1067,23,14912.65,3214.54,0.0216
"US","Idaho","Cassia",16031,24030,4011,43,16691.64,1789.43,0.0107
"US","Idaho","Clark",16033,845,89,0,10532.54,0.00,0.0000
"US","Idaho","Clearwater",16035,8756,1699,27,19403.84,3083.60,0.0159
"US","Idaho","Custer",16037,4315,403,6,9339.51,1390.50,0.0149
"US","Idaho","Elmore",16039,27510,4400,51,15994.18,1853.87,0.0116
"US","Idaho","Franklin",16041,13876,1776,26,12799.08,1873.74,0.0146
"US","Idaho","Fremont",16043,13099,1643,18,12542.94,1374.15,0.0110
"US","Idaho","Gem",16045,18112,2911,69,16072.22,3809.63,0.0237
"US","Idaho","Gooding",16047,15178,2374,43,15641.06,2833.05,0.0181
"US","Idaho","Idaho",16049,16667,2330,39,13979.72,2339.95,0.0167
"US","Idaho","Jefferson",16051,29871,4502,51,15071.47,1707.34,0.0113
"US","Idaho","Jerome",16053,24412,4409,55,18060.79,2252.99,0.0125
"US","Idaho","Kootenai",16055,165696,31225,455,18844.75,2745.99,0.0146
"US","Idaho","Latah",16057,40108,4775,40,11905.36,997.31,0.0084
"US","Idaho","Lemhi",16059,8027,978,21,12183.88,2616.17,0.0215
"US","Idaho","Lewis",16061,3838,843,23,21964.56,5992.70,0.0273
"US","Idaho","Lincoln",16063,5366,758,14,14125.98,2609.02,0.0185
"US","Idaho","Madison",16065,39906,9159,42,22951.44,1052.47,0.0046
"US","Idaho","Minidoka",16067,21039,3261,52,15499.79,2471.60,0.0159
"US","Idaho","Nez Perce",16069,40408,6443,105,15944.86,2598.50,0.0163
"US","Idaho","Oneida",16071,4530,593,10,13090.51,2207.51,0.0169
"US","Idaho","Owyhee",16073,11823,1709,41,14454.88,3467.82,0.0240
"US","Idaho","Payette",16075,23951,4272,71,17836.42,2964.39,0.0166
"US","Idaho","Power",16077,7681,1112,16,14477.28,2083.06,0.0144
"US","Idaho","Shoshone",16079,12882,2155,66,16728.77,5123.43,0.0306
"US","Idaho","Teton",16081,12141,1748,7,14397.50,576.56,0.0040
"US","Idaho","Twin Falls",16083,86878,16663,235,19179.77,2704.94,0.0141
"US","Idaho","Unassigned",90016,-1,1,0,0.00,0.00,0.0000
"US","Idaho","Valley",16085,11391,1589,13,13949.61,1141.25,0.0082
"US","Idaho","Washington",16087,10194,1928,47,18913.09,4610.56,0.0244
