Admin0,Admin1,Admin2,FIPS,Population,CaseCount,DeathCount,CasesPer100K,DeathsPerM,CFR
"US","Illinois","Adams",17001,65434,14666,161,22413.42,2460.49,0.0110
"US","Illinois","Alexander",17003,5761,815,13,14146.85,2256.55,0.0160
"US","Illinois","Bond",17005,16426,2796,28,17021.79,1704.61,0.0100
"US","Illinois","Boone",17007,53544,8982,87,16774.99,1624.83,0.0097
"US","Illinois","Brown",17009,6578,1136,12,17269.69,1824.26,0.0106
"US","Illinois","Bureau",17011,32628,5001,99,15327.33,3034.20,0.0198
"US","Illinois","Calhoun",17013,4739,834,2,17598.65,422.03,0.0024
"US","Illinois","Carroll",17015,14305,2711,41,18951.42,2866.13,0.0151
"US","Illinois","Cass",17017,12147,2804,31,23083.89,2552.07,0.0111
"US","Illinois","Champaign",17019,209689,30872,208,14722.76,991.95,0.0067
"US","Illinois","Christian",17021,32304,5990,83,18542.60,2569.34,0.0139
"US","Illinois","Clark",17023,15441,3033,44,19642.51,2849.56,0.0145
"US","Illinois","Clay",17025,13183,2962,54,22468.33,4096.18,0.0182
"US","Illinois","Clinton",17027,37562,7557,105,20118.74,2795.38,0.0139
"US","Illinois","Coles",17029,50620,8859,137,17500.99,2706.44,0.0155
"US","Illinois","Cook",17031,5150233,690255,11543,13402.40,2241.26,0.0167
"US","Illinois","Crawford",17033,18667,3582,31,19188.94,1660.68,0.0087
"US","Illinois","Cumberland",17035,10765,2117,27,19665.58,2508.13,0.0128
"US","Illinois","De Witt",17039,15638,2506,30,16025.07,1918.40,0.0120
"US","Illinois","DeKalb",17037,104896,13796,144,13152.07,1372.79,0.0104
"US","Illinois","Douglas",17041,19464,3619,38,18593.30,1952.32,0.0105
"US","Illinois","DuPage",17043,922921,120618,1412,13069.16,1529.93,0.0117
"US","Illinois","Edgar",17045,17161,2997,50,17464.02,2913.58,0.0167
"US","Illinois","Edwards",17047,6395,1166,19,18232.99,2971.07,0.0163
"US","Illinois","Effingham",17049,34008,7331,110,21556.69,3234.53,0.0150
"US","Illinois","Fayette",17051,21335,4731,71,22174.83,3327.87,0.0150
"US","Illinois","Ford",17053,12961,2720,59,20986.04,4552.12,0.0217
"US","Illinois","Franklin",17055,38469,7839,123,20377.45,3197.38,0.0157
"US","Illinois","Fulton",17057,34340,5775,88,16817.12,2562.61,0.0152
"US","Illinois","Gallatin",17059,4828,830,9,17191.38,1864.13,0.0108
"US","Illinois","Greene",17061,12968,2224,40,17149.91,3084.52,0.0180
"US","Illinois","Grundy",17063,51054,8453,90,16556.98,1762.84,0.0106
"US","Illinois","Hamilton",17065,8116,1441,23,17755.05,2833.91,0.0160
