Admin0,Admin1,Admin2,FIPS,Population,CaseCount,DeathCount,CasesPer100K,DeathsPerM,CFR
"US","Kansas","Allen",20001,12369,2296,26,18562.54,2102.03,0.0113
"US","Kansas","Anderson",20003,7858,1239,22,15767.37,2799.69,0.0178
"US","Kansas","Atchison",20005,16073,2672,26,16624.15,1617.62,0.0097
"US","Kansas","Barber",20007,4427,635,7,14343.80,1581.21,0.0110
"US","Kansas","Barton",20009,25778,4425,67,17165.80,2599.12,0.0151
"US","Kansas","Bourbon",20011,14534,2699,44,18570.25,3027.38,0.0163
"US","Kansas","Brown",20013,9563,1881,40,19669.56,4182.79,0.0213
"US","Kansas","Butler",20015,66911,11981,140,17905.87,2092.33,0.0117
"US","Kansas","Chase",20017,2648,426,4,16087.61,1510.57,0.0094
"US","Kansas","Chautauqua",20019,3249,567,12,17451.52,3693.44,0.0212
"US","Kansas","Cherokee",20021,19939,3859,78,19354.03,3911.93,0.0202
"US","Kansas","Cheyenne",20023,2656,487,14,18335.84,5271.08,0.0287
"US","Kansas","Clark",20025,1994,360,7,18054.16,3510.53,0.0194
"US","Kansas","Clay",20027,8002,1350,31,16870.78,3874.03,0.0230
"US","Kansas","Cloud",20029,8786,1716,30,19531.07,3414.52,0.0175
"US","Kansas","Coffey",20031,8179,1412,28,17263.72,3423.40,0.0198
"US","Kansas","Comanche",20033,1700,343,13,20176.47,7647.06,0.0379
"US","Kansas","Cowley",20035,34908,6434,128,18431.31,3666.78,0.0199
"US","Kansas","Crawford",20037,38817,7291,104,18783.01,2679.24,0.0143
"US","Kansas","Decatur",20039,2826,468,13,16560.51,4600.14,0.0278
"US","Kansas","Dickinson",20041,18466,3261,61,17659.48,3303.37,0.0187
"US","Kansas","Doniphan",20043,7600,1603,29,21092.11,3815.79,0.0181
"US","Kansas","Douglas",20045,122259,13490,106,11033.95,867.01,0.0079
"US","Kansas","Edwards",20047,2797,450,13,16088.67,4647.84,0.0289
"US","Kansas","Elk",20049,2530,374,6,14782.61,2371.54,0.0160
"US","Kansas","Ellis",20051,28553,4960,75,17371.20,2626.69,0.0151
"US","Kansas","Ellsworth",20053,6102,1522,31,24942.64,5080.30,0.0204
"US","Kansas","Finney",20055,36467,8320,94,22815.15,2577.67,0.0113
"US","Kansas","Ford",20057,33619,7530,97,22398.05,2885.27,0.0129
"US","Kansas","Franklin",20059,25544,4194,62,16418.73,2427.18,0.0148
"US","Kansas","Geary",20061,31670,5069,61,16005.68,1926.11,0.0120
"US","Kansas","Gove",20063,2636,580,22,22003.03,8345.98,0.0379
"US","Kansas","Graham",20065,2482,351,12,14141.82,4834.81,0.0342
"US","Kansas","Grant",20067,7150,1488,30,20811.19,4195.80,0.0202
"US","Kansas","Gray",20069,5988,948,23,15831.66,3841.02,0.0243
"US","Kansas","Greeley",20071,1232,217,3,17613.64,2435.06,0.0138
"US","Kansas","Greenwood",20073,5982,1072,18,17920.43,3009.03,0.0168
"US","Kansas","Hamilton",20075,2539,331,2,13036.63,787.71,0.0060
"US","Kansas","Harper",20077,5435,1101,24,20257.59,4415.82,0.0218
"US","Kansas","Harvey",20079,34429,5757,91,16721.37,2643.12,0.0158
"US","Kansas","Haskell",20081,3967,677,9,17065.79,2268.72,0.0133
"US","Kansas","Hodgeman",20083,1794,267,10,14882.94,5574.14,0.0375
"US","Kansas","Jackson",20085,13170,2431,20,18458.62,1518.60,0.0082
"US","Kansas","Jefferson",20087,19043,2902,51,15239.20,2678.15,0.0176
"US","Kansas","Jewell",20089,2879,597,11,20736.37,3820.77,0.0184
"US","Kansas","Johnson",20091,602401,84666,971,14054.76,1611.88,0.0115
"US","Kansas","Kearny",20093,3838,939,17,24465.87,4429.39,0.0181
"US","Kansas","Kingman",20095,7151,1348,24,18850.51,3356.17,0.0178
"US","Kansas","Kiowa",20097,2475,432,6,17454.55,2424.24,0.0139
"US","Kansas","Labette",20099,19617,4060,63,20696.33,3211.50,0.0155
"US","Kansas","Lane",20101,1535,214,8,13941.37,5211.73,0.0374
"US","Kansas","Leavenworth",20103,81758,11418,137,13965.61,1675.68,0.0120
"US","Kansas","Lincoln",20105,2962,414,7,13977.04,2363.27,0.0169
"US","Kansas","Linn",20107,9703,1754,21,18076.88,2164.28,0.0120
"US","Kansas","Logan",20109,2794,544,9,19470.29,3221.19,0.0165
"US","Kansas","Lyon",20111,33195,5988,97,18038.86,2922.13,0.0162
"US","Kansas","Marion",20115,11884,1979,35,16652.64,2945.14,0.0177
"US","Kansas","Marshall",20117,9707,1849,32,19048.11,3296.59,0.0173
"US","Kansas","McPherson",20113,28541,5015,98,17571.21,3433.66,0.0195
"US","Kansas","Meade",20119,4032,764,14,18948.41,3472.22,0.0183
"US","Kansas","Miami",20121,34237,4790,69,13990.71,2015.36,0.0144
"US","Kansas","Mitchell",20123,5979,890,17,14885.43,2843.28,0.0191
"US","Kansas","Montgomery",20125,31829,5705,121,17923.91,3801.56,0.0212
"US","Kansas","Morris",20127,5620,886,22,15765.12,3914.59,0.0248
"US","Kansas","Morton",20129,2587,456,10,17626.59,3865.48,0.0219
"US","Kansas","Nemaha",20131,10231,2266,56,22148.37,5473.56,0.0247
"US","Kansas","Neosho",20133,16007,3104,53,19391.52,3311.05,0.0171
"US","Kansas","Ness",20135,2750,547,17,19890.91,6181.82,0.0311
"US","Kansas","Norton",20137,5361,1601,32,29863.83,5969.04,0.0200
"US","Kansas","Osage",20139,15949,2299,39,14414.70,2445.29,0.0170
"US","Kansas","Osborne",20141,3421,523,15,15287.93,4384.68,0.0287
"US","Kansas","Ottawa",20143,5704,860,14,15077.14,2454.42,0.0163
"US","Kansas","Pawnee",20145,6414,1583,20,24680.39,3118.18,0.0126
"US","Kansas","Phillips",20147,5233,1009,28,19281.48,5350.66,0.0278
"US","Kansas","Pottawatomie",20149,24383,3236,44,13271.54,1804.54,0.0136
"US","Kansas","Pratt",20151,9163,1388,27,15147.88,2946.63,0.0195
"US","Kansas","Rawlins",20153,2530,561,7,22173.91,2766.80,0.0125
"US","Kansas","Reno",20155,61997,12953,174,20892.95,2806.59,0.0134
"US","Kansas","Republic",20157,4636,952,14,20534.94,3019.84,0.0147
"US","Kansas","Rice",20159,9537,1630,16,17091.33,1677.68,0.0098
"US","Kansas","Riley",20161,74231,8490,65,11437.27,875.64,0.0077
"US","Kansas","Rooks",20163,4920,897,13,18231.71,2642.28,0.0145
"US","Kansas","Rush",20165,3036,566,16,18642.95,5270.09,0.0283
"US","Kansas","Russell",20167,6856,1359,34,19822.05,4959.16,0.0250
"US","Kansas","Saline",20169,54224,9380,185,17298.61,3411.77,0.0197
"US","Kansas","Scott",20171,4823,902,31,18702.05,6427.53,0.0344
"US","Kansas","Sedgwick",20173,516042,88772,1074,17202.48,2081.23,0.0121
"US","Kansas","Seward",20175,21427,5150,53,24035.10,2473.51,0.0103
"US","Kansas","Shawnee",20177,176875,28108,478,15891.45,2702.47,0.0170
"US","Kansas","Sheridan",20179,2521,578,16,22927.41,6346.69,0.0277
"US","Kansas","Sherman",20181,5916,1117,13,18881.00,2197.43,0.0116
"US","Kansas","Smith",20183,3583,479,3,13368.69,837.29,0.0063
"US","Kansas","Stafford",20185,4156,775,19,18647.74,4571.70,0.0245
