Admin0,Admin1,Admin2,FIPS,Population,CaseCount,DeathCount,CasesPer100K,DeathsPerM,CFR
"US","Louisiana","Acadia",22001,62045,14634,280,23586.11,4512.85,0.0191
"US","Louisiana","Allen",22003,25627,7222,123,28181.22,4799.63,0.0170
"US","Louisiana","Ascension",22005,126604,32324,271,25531.58,2140.53,0.0084
"US","Louisiana","Assumption",22007,21890,5131,63,23439.93,2878.03,0.0123
"US","Louisiana","Avoyelles",22009,40144,10513,189,26188.22,4708.05,0.0180
"US","Louisiana","Beauregard",22011,37497,8518,133,22716.48,3546.95,0.0156
"US","Louisiana","Bienville",22013,13241,3605,103,27226.04,7778.87,0.0286
"US","Louisiana","Bossier",22015,127039,34526,438,27177.48,3447.76,0.0127
"US","Louisiana","Caddo",22017,240204,62004,1050,25813.06,4371.28,0.0169
"US","Louisiana","Calcasieu",22019,203436,50251,663,24701.13,3259.01,0.0132
"US","Louisiana","Caldwell",22021,9918,2774,45,27969.35,4537.21,0.0162
"US","Louisiana","Cameron",22023,6973,1119,8,16047.61,1147.28,0.0071
"US","Louisiana","Catahoula",22025,9494,2472,51,26037.50,5371.81,0.0206
"US","Louisiana","Claiborne",22027,15669,2981,68,19024.83,4339.78,0.0228
"US","Louisiana","Concordia",22029,19259,4645,87,24118.59,4517.37,0.0187
"US","Louisiana","De Soto",22031,27462,6827,126,24859.81,4588.16,0.0185
"US","Louisiana","East Baton Rouge",22033,440059,102572,1255,23308.69,2851.89,0.0122
"US","Louisiana","East Carroll",22035,6861,2210,35,32211.05,5101.30,0.0158
"US","Louisiana","East Feliciana",22037,19135,6549,159,34225.24,8309.38,0.0243
"US","Louisiana","Evangeline",22039,33395,7716,149,23105.26,4461.75,0.0193
"US","Louisiana","Franklin",22041,20015,6284,155,31396.45,7744.19,0.0247
"US","Louisiana","Grant",22043,22389,5323,84,23775.07,3751.84,0.0158
"US","Louisiana","Iberia",22045,69829,17424,245,24952.38,3508.57,0.0141
"US","Louisiana","Iberville",22047,32511,8281,141,25471.38,4336.99,0.0170
"US","Louisiana","Jackson",22049,15743,3935,68,24995.24,4319.38,0.0173
"US","Louisiana","Jefferson",22051,432492,105657,1257,24429.82,2906.41,0.0119
"US","Louisiana","Jefferson Davis",22053,31368,6443,141,20540.04,4495.03,0.0219
"US","Louisiana","LaSalle",22059,14892,3819,49,25644.64,3290.36,0.0128
"US","Louisiana","Lafayette",22055,244390,57078,449,23355.29,1837.23,0.0079
"US","Louisiana","Lafourche",22057,97614,25438,335,26059.79,3431.88,0.0132
"US","Louisiana","Lincoln",22061,46742,11053,127,23646.83,2717.04,0.0115
"US","Louisiana","Livingston",22063,140789,33995,431,24146.06,3061.32,0.0127
"US","Louisiana","Madison",22065,10951,2981,57,27221.26,5205.00,0.0191
"US","Louisiana","Morehouse",22067,24874,6324,127,25424.14,5105.73,0.0201
"US","Louisiana","Natchitoches",22069,38158,9267,152,24285.86,3983.44,0.0164
"US","Louisiana","Orleans",22071,390144,80796,1067,20709.28,2734.89,0.0132
"US","Louisiana","Ouachita",22073,153279,46067,664,30054.35,4331.97,0.0144
"US","Louisiana","Out of LA",80022,-1,0,0,0.00,0.00,0.0000
"US","Louisiana","Plaquemines",22075,23197,6012,42,25917.14,1810.58,0.0070
"US","Louisiana","Pointe Coupee",22077,21730,5371,86,24716.98,3957.66,0.0160
"US","Louisiana","Rapides",22079,129648,30112,520,23225.97,4010.86,0.0173
"US","Louisiana","Red River",22081,8442,1957,50,23181.71,5922.77,0.0255
"US","Louisiana","Richland",22083,20121,5811,85,28880.27,4224.44,0.0146
"US","Louisiana","Sabine",22085,23884,5854,106,24510.13,4438.12,0.0181
"US","Louisiana","St. Bernard",22087,47243,10465,106,22151.43,2243.72,0.0101
"US","Louisiana","St. Charles",22089,53100,12891,135,24276.84,2542.37,0.0105
"US","Louisiana","St. Helena",22091,10131,1783,21,17599.45,2072.85,0.0118
"US","Louisiana","St. James",22093,21096,5203,74,24663.44,3507.77,0.0142
"US","Louisiana","St. John the Baptist",22095,42837,9811,179,22903.10,4178.63,0.0182
"US","Louisiana","St. Landry",22097,82124,20327,368,24751.60,4481.03,0.0181
"US","Louisiana","St. Martin",22099,53431,11741,173,21974.13,3237.82,0.0147
"US","Louisiana","St. Mary",22101,49347,11610,251,23527.27,5086.43,0.0216
"US","Louisiana","St. Tammany",22103,260418,66563,785,25560.06,3014.38,0.0118
"US","Louisiana","Tangipahoa",22105,134758,32048,560,23781.89,4155.60,0.0175
"US","Louisiana","Tensas",22107,4334,906,10,20904.48,2307.34,0.0110
"US","Louisiana","Terrebonne",22109,110460,28434,383,25741.44,3467.32,0.0135
"US","Louisiana","Unassigned",90022,-1,913,0,0.00,0.00,0.0000
"US","Louisiana","Union",22111,22108,6190,121,27998.91,5473.13,0.0195
"US","Louisiana","Vermilion",22113,59511,13941,205,23425.92,3444.74,0.0147
"US","Louisiana","Vernon",22115,47429,9172,174,19338.38,3668.64,0.0190
"US","Louisiana","Washington",22117,46194,11853,231,25659.18,5000.65,0.0195
"US","Louisiana","Webster",22119,38340,10160,158,26499.74,4121.02,0.0156
"US","Louisiana","West Baton Rouge",22121,26465,6671,82,25206.88,3098.43,0.0123
"US","Louisiana","West Carroll",22123,10830,3199,53,29538.32,4893.81,0.0166
"US","Louisiana","West Feliciana",22125,15568,2638,42,16945.02,2697.84,0.0159
"US","Louisiana","Winn",22127,13903,3964,58,28511.83,4171.76,0.0146
