Admin0,Admin1,Admin2,FIPS,Population,CaseCount,DeathCount,CasesPer100K,DeathsPerM,CFR
"US","Maryland","Allegany",24001,70416,10738,272,15249.38,3862.76,0.0253
"US","Maryland","Anne Arundel",24003,579234,56146,795,9693.15,1372.50,0.0142
"US","Maryland","Baltimore",24005,827370,81184,1906,9812.30,2303.69,0.0235
"US","Maryland","Baltimore City",24510,593490,65010,1383,10953.85,2330.28,0.0213
"US","Maryland","Calvert",24009,92525,6091,102,6583.09,1102.40,0.0167
"US","Maryland","Caroline",24011,33406,3620,54,10836.38,1616.48,0.0149
"US","Maryland","Carroll",24013,168446,13018,297,7728.29,1763.18,0.0228
"US","Maryland","Cecil",24015,102855,9662,194,9393.81,1886.15,0.0201
"US","Maryland","Charles",24017,163257,15074,268,9233.29,1641.58,0.0178
"US","Maryland","Dorchester",24019,31929,4512,87,14131.35,2724.80,0.0193
"US","Maryland","Frederick",24021,259547,26275,397,10123.41,1529.59,0.0151
"US","Maryland","Garrett",24023,29014,3916,86,13496.93,2964.09,0.0220
"US","Maryland","Harford",24025,255441,22704,372,8888.16,1456.30,0.0164
"US","Maryland","Howard",24027,325690,23818,287,7313.09,881.21,0.0120
"US","Maryland","Kent",24029,19422,1925,57,9911.44,2934.82,0.0296
"US","Maryland","Montgomery",24031,1050688,86061,1737,8190.92,1653.20,0.0202
"US","Maryland","Prince George's",24033,909327,102691,1759,11293.08,1934.40,0.0171
"US","Maryland","Queen Anne's",24035,50381,4279,77,8493.28,1528.35,0.0180
"US","Maryland","Somerset",24039,25616,3472,55,13554.03,2147.10,0.0158
"US","Maryland","St. Mary's",24037,113510,10519,176,9267.02,1550.52,0.0167
"US","Maryland","Talbot",24041,37181,3197,58,8598.48,1559.94,0.0181
"US","Maryland","Unassigned",90024,-1,0,45,0.00,0.00,0.0000
"US","Maryland","Washington",24043,151049,22063,429,14606.52,2840.14,0.0194
"US","Maryland","Wicomico",24045,103608,11830,236,11418.04,2277.82,0.0199
"US","Maryland","Worcester",24047,52275,5313,125,10163.56,2391.20,0.0235
