Admin0,Admin1,Admin2,FIPS,Population,CaseCount,DeathCount,CasesPer100K,DeathsPerM,CFR
"US","Michigan","Alcona",26001,10404,1359,51,13062.28,4901.96,0.0375
"US","Michigan","Alger",26003,9108,1013,9,11122.09,988.14,0.0089
"US","Michigan","Allegan",26005,118081,18810,226,15929.74,1913.94,0.0120
"US","Michigan","Alpena",26007,28405,4188,89,14743.88,3133.25,0.0213
"US","Michigan","Antrim",26009,23324,2943,43,12617.90,1843.59,0.0146
"US","Michigan","Arenac",26011,14883,2172,45,14593.83,3023.58,0.0207
"US","Michigan","Baraga",26013,8209,1414,46,17225.00,5603.61,0.0325
"US","Michigan","Barry",26015,61549,10009,110,16261.84,1787.19,0.0110
"US","Michigan","Bay",26017,103125,17860,436,17318.79,4227.88,0.0244
"US","Michigan","Benzie",26019,17766,2193,44,12343.80,2476.64,0.0201
"US","Michigan","Berrien",26021,153401,22738,352,14822.59,2294.64,0.0155
"US","Michigan","Branch",26023,43517,7955,127,18280.21,2918.40,0.0160
"US","Michigan","Calhoun",26025,134159,22855,414,17035.76,3085.89,0.0181
"US","Michigan","Cass",26027,51787,8282,105,15992.43,2027.54,0.0127
"US","Michigan","Charlevoix",26029,26143,3135,45,11991.74,1721.30,0.0144
"US","Michigan","Cheboygan",26031,25275,3368,78,13325.42,3086.05,0.0232
"US","Michigan","Chippewa",26033,37349,4687,59,12549.20,1579.69,0.0126
"US","Michigan","Clare",26035,30950,4734,121,15295.64,3909.53,0.0256
"US","Michigan","Clinton",26037,79595,12931,135,16246.00,1696.09,0.0104
"US","Michigan","Crawford",26039,14029,1822,20,12987.38,1425.62,0.0110
"US","Michigan","Delta",26041,35784,6755,128,18877.15,3577.02,0.0189
"US","Michigan","Dickinson",26043,25239,4780,88,18938.94,3486.67,0.0184
"US","Michigan","Eaton",26045,110268,16748,288,15188.45,2611.82,0.0172
"US","Michigan","Emmet",26047,33415,4130,55,12359.72,1645.97,0.0133
"US","Michigan","Federal Correctional Institution (FCI)",0,-1,321,5,0.00,0.00,0.0156
"US","Michigan","Genesee",26049,405813,64326,1203,15851.14,2964.42,0.0187
"US","Michigan","Gladwin",26051,25449,3836,85,15073.28,3340.01,0.0222
"US","Michigan","Gogebic",26053,13975,2187,56,15649.37,4007.16,0.0256
"US","Michigan","Grand Traverse",26055,93087,11336,151,12177.86,1622.14,0.0133
"US","Michigan","Gratiot",26057,40711,7247,144,17801.09,3537.13,0.0199
"US","Michigan","Hillsdale",26059,45605,7700,151,16884.11,3311.04,0.0196
"US","Michigan","Houghton",26061,35684,5395,61,15118.82,1709.45,0.0113
"US","Michigan","Huron",26063,30980,5889,107,19009.04,3453.84,0.0182
