Admin0,Admin1,Admin2,FIPS,Population,CaseCount,DeathCount,CasesPer100K,DeathsPerM,CFR
"US","Minnesota","Aitkin",27001,15885,2519,56,15857.73,3525.34,0.0222
"US","Minnesota","Anoka",27003,356920,80062,711,22431.36,1992.04,0.0089
"US","Minnesota","Becker",27005,34423,6965,82,20233.56,2382.13,0.0118
"US","Minnesota","Beltrami",27007,47187,9388,112,19895.31,2373.54,0.0119
"US","Minnesota","Benton",27009,40889,10916,146,26696.67,3570.64,0.0134
"US","Minnesota","Big Stone",27011,4990,1101,7,22064.13,1402.81,0.0064
"US","Minnesota","Blue Earth",27013,67653,13795,84,20390.82,1241.63,0.0061
"US","Minnesota","Brown",27015,25008,5323,69,21285.19,2759.12,0.0130
"US","Minnesota","Carlton",27017,35871,6442,82,17958.80,2285.97,0.0127
"US","Minnesota","Carver",27019,105089,20940,93,19925.97,884.96,0.0044
"US","Minnesota","Cass",27021,29779,5626,66,18892.51,2216.33,0.0117
"US","Minnesota","Chippewa",27023,11799,2453,43,20789.90,3644.38,0.0175
"US","Minnesota","Chisago",27025,56579,11778,106,20816.91,1873.49,0.0090
"US","Minnesota","Clay",27027,64222,14524,114,22615.30,1775.09,0.0078
"US","Minnesota","Clearwater",27029,8818,1752,27,19868.45,3061.92,0.0154
"US","Minnesota","Cook",27031,5463,423,1,7743.00,183.05,0.0024
"US","Minnesota","Cottonwood",27033,11196,2636,37,23544.12,3304.75,0.0140
"US","Minnesota","Crow Wing",27035,65055,12876,148,19792.48,2275.00,0.0115
"US","Minnesota","Dakota",27037,429020,86810,688,20234.49,1603.65,0.0079
"US","Minnesota","Dodge",27039,20934,4356,14,20808.25,668.77,0.0032
"US","Minnesota","Douglas",27041,38141,8992,109,23575.68,2857.82,0.0121
"US","Minnesota","Faribault",27043,13653,3024,44,22148.98,3222.73,0.0146
"US","Minnesota","Fillmore",27045,21067,3735,18,17729.15,854.42,0.0048
"US","Minnesota","Freeborn",27047,30281,6989,57,23080.48,1882.37,0.0082
"US","Minnesota","Goodhue",27049,46340,10153,112,21909.80,2416.92,0.0110
"US","Minnesota","Grant",27051,5972,1182,12,19792.36,2009.38,0.0102
"US","Minnesota","Hennepin",27053,1265843,237689,2265,18777.13,1789.32,0.0095
"US","Minnesota","Houston",27055,18600,3474,18,18677.42,967.74,0.0052
"US","Minnesota","Hubbard",27057,21491,3994,52,18584.52,2419.62,0.0130
"US","Minnesota","Isanti",27059,40596,8395,101,20679.38,2487.93,0.0120
"US","Minnesota","Itasca",27061,45130,9017,123,19980.06,2725.46,0.0136
"US","Minnesota","Jackson",27063,9846,1830,16,18586.23,1625.03,0.0087
"US","Minnesota","Kanabec",27065,16337,2969,48,18173.47,2938.12,0.0162
