Admin0,Admin1,Admin2,FIPS,Population,CaseCount,DeathCount,CasesPer100K,DeathsPerM,CFR
"US","Mississippi","Adams",28001,30693,4804,125,15651.78,4072.59,0.0260
"US","Mississippi","Alcorn",28003,36952,6031,108,16321.17,2922.71,0.0179
"US","Mississippi","Amite",28005,12296,2114,57,17192.58,4635.65,0.0270
"US","Mississippi","Attala",28007,18174,3436,90,18906.13,4952.13,0.0262
"US","Mississippi","Benton",28009,8259,1541,39,18658.43,4722.12,0.0253
"US","Mississippi","Bolivar",28011,30628,6514,151,21268.12,4930.13,0.0232
"US","Mississippi","Calhoun",28013,14360,2907,51,20243.73,3551.53,0.0175
"US","Mississippi","Carroll",28015,9947,1772,41,17814.42,4121.85,0.0231
"US","Mississippi","Chickasaw",28017,17103,3249,68,18996.67,3975.91,0.0209
"US","Mississippi","Choctaw",28019,8210,1385,27,16869.67,3288.67,0.0195
"US","Mississippi","Claiborne",28021,8988,1351,39,15031.15,4339.12,0.0289
"US","Mississippi","Clarke",28023,15541,3025,95,19464.64,6112.86,0.0314
"US","Mississippi","Clay",28025,19316,3158,78,16349.14,4038.10,0.0247
"US","Mississippi","Coahoma",28027,22124,4307,112,19467.55,5062.38,0.0260
"US","Mississippi","Copiah",28029,28065,4621,95,16465.35,3385.00,0.0206
"US","Mississippi","Covington",28031,18636,4366,95,23427.77,5097.66,0.0218
"US","Mississippi","DeSoto",28033,184944,33703,434,18223.35,2346.66,0.0129
"US","Mississippi","Forrest",28035,74897,13910,261,18572.17,3484.79,0.0188
"US","Mississippi","Franklin",28037,7712,1275,30,16532.68,3890.04,0.0235
"US","Mississippi","George",28039,24500,5122,80,20906.12,3265.31,0.0156
"US","Mississippi","Greene",28041,13585,2259,50,16628.63,3680.53,0.0221
"US","Mississippi","Grenada",28043,20758,3827,109,18436.27,5250.99,0.0285
"US","Mississippi","Hancock",28045,47632,7865,132,16512.01,2771.25,0.0168
"US","Mississippi","Harrison",28047,208080,35160,560,16897.35,2691.27,0.0159
"US","Mississippi","Hinds",28049,231840,32954,646,14214.11,2786.40,0.0196
"US","Mississippi","Holmes",28051,17010,2743,89,16125.81,5232.22,0.0324
"US","Mississippi","Humphreys",28053,8063,1329,39,16482.70,4836.91,0.0293
"US","Mississippi","Issaquena",28055,1327,195,7,14694.80,5275.06,0.0359
"US","Mississippi","Itawamba",28057,23390,4956,107,21188.54,4574.60,0.0216
"US","Mississippi","Jackson",28059,143617,24991,392,17401.14,2729.48,0.0157
"US","Mississippi","Jasper",28061,16383,3421,66,20881.40,4028.57,0.0193
"US","Mississippi","Jefferson",28063,6990,975,34,13948.50,4864.09,0.0349
"US","Mississippi","Jefferson Davis",28065,11128,1752,43,15744.07,3864.13,0.0245
"US","Mississippi","Jones",28067,68098,14237,248,20906.63,3641.81,0.0174
"US","Mississippi","Kemper",28069,9742,1460,41,14986.66,4208.58,0.0281
"US","Mississippi","Lafayette",28071,54019,8935,143,16540.48,2647.22,0.0160
"US","Mississippi","Lamar",28073,63342,10742,140,16958.73,2210.22,0.0130
"US","Mississippi","Lauderdale",28075,74124,12401,323,16730.07,4357.56,0.0260
"US","Mississippi","Lawrence",28077,12585,2220,43,17640.05,3416.77,0.0194
"US","Mississippi","Leake",28079,22786,4151,92,18217.33,4037.57,0.0222
"US","Mississippi","Lee",28081,85436,16711,245,19559.67,2867.64,0.0147
"US","Mississippi","Leflore",28083,28183,4780,144,16960.58,5109.46,0.0301
"US","Mississippi","Lincoln",28085,34153,5564,136,16291.39,3982.08,0.0244
"US","Mississippi","Lowndes",28087,58595,11435,195,19515.32,3327.93,0.0171
