Admin0,Admin1,Admin2,FIPS,Population,CaseCount,DeathCount,CasesPer100K,DeathsPerM,CFR
"US","Missouri","Adair",29001,25343,5274,58,20810.48,2288.60,0.0110
"US","Missouri","Andrew",29003,17712,4583,46,25875.11,2597.11,0.0100
"US","Missouri","Atchison",29005,5143,1280,19,24888.20,3694.34,0.0148
"US","Missouri","Audrain",29007,25388,5460,96,21506.22,3781.31,0.0176
"US","Missouri","Barry",29009,35789,6406,105,17899.35,2933.86,0.0164
"US","Missouri","Barton",29011,11754,2655,46,22588.06,3913.56,0.0173
"US","Missouri","Bates",29013,16172,3638,73,22495.67,4513.97,0.0201
"US","Missouri","Benton",29015,19443,3944,85,20284.94,4371.75,0.0216
"US","Missouri","Bollinger",29017,12133,2380,35,19615.92,2884.69,0.0147
"US","Missouri","Boone",29019,180463,41927,220,23233.02,1219.09,0.0052
"US","Missouri","Buchanan",29021,87363,21720,277,24861.78,3170.68,0.0128
"US","Missouri","Butler",29023,42478,9543,143,22465.75,3366.45,0.0150
"US","Missouri","Caldwell",29025,9020,1591,30,17638.58,3325.94,0.0189
"US","Missouri","Callaway",29027,44743,11466,105,25626.35,2346.74,0.0092
"US","Missouri","Camden",29029,46305,9002,165,19440.67,3563.33,0.0183
"US","Missouri","Cape Girardeau",29031,78871,17874,215,22662.32,2725.97,0.0120
"US","Missouri","Carroll",29033,8679,2159,42,24876.14,4839.27,0.0195
"US","Missouri","Carter",29035,5981,1454,19,24310.32,3176.73,0.0131
"US","Missouri","Cass",29037,105780,23800,263,22499.53,2486.29,0.0111
"US","Missouri","Cedar",29039,14349,2801,44,19520.52,3066.42,0.0157
"US","Missouri","Chariton",29041,7425,1613,33,21723.91,4444.44,0.0205
"US","Missouri","Christian",29043,88595,20057,227,22638.98,2562.22,0.0113
"US","Missouri","Clark",29045,6797,1532,28,22539.36,4119.46,0.0183
"US","Missouri","Clay",29047,249948,25427,325,10172.92,1300.27,0.0128
"US","Missouri","Clinton",29049,20387,4508,109,22112.13,5346.54,0.0242
"US","Missouri","Cole",29051,76745,19436,255,25325.43,3322.69,0.0131
"US","Missouri","Cooper",29053,17709,4025,72,22728.56,4065.73,0.0179
"US","Missouri","Crawford",29055,23919,5237,91,21894.73,3804.51,0.0174
"US","Missouri","Dade",29057,7561,1360,38,17987.04,5025.79,0.0279
"US","Missouri","Dallas",29059,16878,3670,65,21744.28,3851.17,0.0177
"US","Missouri","Daviess",29061,8277,1566,25,18919.90,3020.42,0.0160
"US","Missouri","DeKalb",29063,12547,2065,42,16458.12,3347.41,0.0203
"US","Missouri","Dent",29065,15573,3131,66,20105.31,4238.10,0.0211
"US","Missouri","Douglas",29067,13185,2437,69,18483.12,5233.22,0.0283
"US","Missouri","Dunklin",29069,29131,6710,93,23033.88,3192.48,0.0139
"US","Missouri","Franklin",29071,103967,21996,303,21156.71,2914.39,0.0138
"US","Missouri","Gasconade",29073,14705,3208,93,21815.71,6324.38,0.0290
"US","Missouri","Gentry",29075,6570,2060,28,31354.64,4261.80,0.0136
"US","Missouri","Greene",29077,293086,67418,896,23002.80,3057.12,0.0133
"US","Missouri","Grundy",29079,9850,2247,62,22812.18,6294.42,0.0276
"US","Missouri","Harrison",29081,8352,1736,27,20785.44,3232.76,0.0156
"US","Missouri","Henry",29083,21824,5505,74,25224.52,3390.76,0.0134
"US","Missouri","Hickory",29085,9544,1753,50,18367.56,5238.89,0.0285
"US","Missouri","Holt",29087,4403,1006,25,22848.06,5677.95,0.0249
"US","Missouri","Howard",29089,10001,2094,22,20937.91,2199.78,0.0105
"US","Missouri","Howell",29091,40117,8541,186,21290.23,4636.44,0.0218
"US","Missouri","Iron",29093,10125,2069,35,20434.57,3456.79,0.0169
"US","Missouri","Jackson",29095,703011,91916,1030,13074.62,1465.13,0.0112
"US","Missouri","Jasper",29097,121328,32426,476,26725.90,3923.25,0.0147
"US","Missouri","Jefferson",29099,225080,52340,535,23253.95,2376.93,0.0102
"US","Missouri","Johnson",29101,54061,11691,128,21625.57,2367.70,0.0109
"US","Missouri","Kansas City",0,488942,108839,1092,22260.10,2233.39,0.0100
"US","Missouri","Knox",29103,3959,908,10,22935.08,2525.89,0.0110
"US","Missouri","Laclede",29105,35723,7873,161,22039.02,4506.90,0.0204
"US","Missouri","Lafayette",29107,32708,7526,113,23009.66,3454.81,0.0150
