Admin0,Admin1,Admin2,FIPS,Population,CaseCount,DeathCount,CasesPer100K,DeathsPerM,CFR
"US","Montana","Beaverhead",30001,9453,2020,24,21368.88,2538.88,0.0119
"US","Montana","Big Horn",30003,13319,4198,89,31518.88,6682.18,0.0212
"US","Montana","Blaine",30005,6681,1760,28,26343.36,4190.99,0.0159
"US","Montana","Broadwater",30007,6237,1165,18,18678.85,2886.00,0.0155
"US","Montana","Carbon",30009,10725,1932,27,18013.99,2517.48,0.0140
"US","Montana","Carter",30011,1252,232,5,18530.35,3993.61,0.0216
"US","Montana","Cascade",30013,81366,21713,294,26685.59,3613.30,0.0135
"US","Montana","Chouteau",30015,5635,913,13,16202.31,2307.01,0.0142
"US","Montana","Custer",30017,11402,2864,44,25118.40,3858.97,0.0154
"US","Montana","Daniels",30019,1690,361,9,21360.95,5325.44,0.0249
"US","Montana","Dawson",30021,8613,2203,53,25577.62,6153.49,0.0241
"US","Montana","Deer Lodge",30023,9140,2238,29,24485.78,3172.87,0.0130
"US","Montana","Fallon",30025,2846,645,10,22663.39,3513.70,0.0155
"US","Montana","Fergus",30027,11050,2247,52,20334.84,4705.88,0.0231
"US","Montana","Flathead",30029,103806,25333,235,24404.18,2263.84,0.0093
"US","Montana","Gallatin",30031,114433,32494,109,28395.66,952.52,0.0034
"US","Montana","Garfield",30033,1258,215,3,17090.62,2384.74,0.0140
"US","Montana","Glacier",30035,13753,3365,65,24467.39,4726.24,0.0193
"US","Montana","Golden Valley",30037,821,143,5,17417.78,6090.13,0.0350
"US","Montana","Granite",30039,3379,502,6,14856.47,1775.67,0.0120
"US","Montana","Hill",30041,16484,4208,71,25527.78,4307.21,0.0169
"US","Montana","Jefferson",30043,12221,2423,23,19826.53,1882.01,0.0095
"US","Montana","Judith Basin",30045,2007,207,1,10313.90,498.26,0.0048
"US","Montana","Lake",30047,30457,5993,91,19676.92,2987.82,0.0152
"US","Montana","Lewis and Clark",30049,69432,16556,163,23844.91,2347.62,0.0098
"US","Montana","Liberty",30051,2337,366,2,15661.10,855.80,0.0055
"US","Montana","Lincoln",30053,19980,4432,77,22182.18,3853.85,0.0174
"US","Montana","Madison",30057,8600,1744,20,20279.07,2325.58,0.0115
"US","Montana","McCone",30055,1663,371,9,22309.08,5411.91,0.0243
"US","Montana","Meagher",30059,1861,382,10,20526.60,5373.46,0.0262
"US","Montana","Mineral",30061,4397,1016,15,23106.66,3411.42,0.0148
"US","Montana","Missoula",30063,119600,25460,199,21287.63,1663.88,0.0078
"US","Montana","Musselshell",30065,4633,872,26,18821.50,5611.91,0.0298
"US","Montana","Park",30067,16606,3778,33,22750.81,1987.23,0.0087
"US","Montana","Petroleum",30069,487,34,1,6981.52,2053.39,0.0294
"US","Montana","Phillips",30071,3954,1003,28,25366.72,7081.44,0.0279
"US","Montana","Pondera",30073,5910,1077,6,18223.35,1015.23,0.0056
"US","Montana","Powder River",30075,1682,314,10,18668.25,5945.30,0.0318
"US","Montana","Powell",30077,6889,1773,27,25736.68,3919.29,0.0152
"US","Montana","Prairie",30079,1077,248,3,23026.93,2785.52,0.0121
"US","Montana","Ravalli",30081,43806,6620,133,15112.09,3036.11,0.0201
"US","Montana","Richland",30083,10803,2446,30,22641.86,2777.01,0.0123
"US","Montana","Roosevelt",30085,11004,2858,69,25972.37,6270.45,0.0241
"US","Montana","Rosebud",30087,8937,2025,58,22658.61,6489.87,0.0286
"US","Montana","Sanders",30089,12113,2040,44,16841.41,3632.46,0.0216
"US","Montana","Sheridan",30091,3308,641,10,19377.27,3022.97,0.0156
"US","Montana","Silver Bow",30093,34915,7939,118,22738.08,3379.64,0.0149
"US","Montana","Stillwater",30095,9642,1420,29,14727.24,3007.67,0.0204
"US","Montana","Sweet Grass",30097,3736,743,8,19887.58,2141.33,0.0108
"US","Montana","Teton",30099,6147,1222,18,19879.62,2928.26,0.0147
"US","Montana","Toole",30101,4735,1181,22,24941.92,4646.25,0.0186
"US","Montana","Treasure",30103,696,131,1,18821.84,1436.78,0.0076
"US","Montana","Unassigned",90030,-1,0,0,0.00,0.00,0.0000
"US","Montana","Valley",30105,7396,1587,34,21457.54,4597.08,0.0214
"US","Montana","Wheatland",30107,2126,347,13,16321.73,6114.77,0.0375
"US","Montana","Wibaux",30109,969,202,8,20846.23,8255.93,0.0396
"US","Montana","Yellowstone",30111,161299,39894,501,24732.95,3106.03,0.0126
