Admin0,Admin1,Admin2,FIPS,Population,CaseCount,DeathCount,CasesPer100K,DeathsPerM,CFR
"US","New Mexico","Bernalillo",35001,679121,138411,1532,20380.90,2255.86,0.0111
"US","New Mexico","Catron",35003,3527,386,13,10944.15,3685.85,0.0337
"US","New Mexico","Chaves",35005,64615,20877,275,32309.84,4255.98,0.0132
"US","New Mexico","Cibola",35006,26675,6466,170,24239.93,6373.01,0.0263
"US","New Mexico","Colfax",35007,11941,2285,59,19135.75,4940.96,0.0258
"US","New Mexico","Curry",35009,48954,12062,161,24639.46,3288.80,0.0133
"US","New Mexico","De Baca",35011,1748,534,5,30549.20,2860.41,0.0094
"US","New Mexico","Dona Ana",35013,218194,59558,674,27295.89,3088.99,0.0113
"US","New Mexico","Eddy",35015,58460,16501,244,28226.14,4173.79,0.0148
"US","New Mexico","Grant",35017,26998,6136,71,22727.61,2629.82,0.0116
"US","New Mexico","Guadalupe",35019,4299,1019,16,23703.19,3721.80,0.0157
"US","New Mexico","Harding",35021,625,72,4,11520.00,6400.00,0.0556
"US","New Mexico","Hidalgo",35023,4198,1019,12,24273.46,2858.50,0.0118
"US","New Mexico","Lea",35025,71070,18776,305,26419.02,4291.54,0.0162
"US","New Mexico","Lincoln",35027,19571,4985,58,25471.36,2963.57,0.0116
"US","New Mexico","Los Alamos",35028,19369,2466,12,12731.68,619.55,0.0049
"US","New Mexico","Luna",35029,23709,6365,112,26846.35,4723.94,0.0176
"US","New Mexico","McKinley",35031,71367,24493,558,34319.78,7818.74,0.0228
"US","New Mexico","Mora",35033,4521,707,16,15638.13,3539.04,0.0226
"US","New Mexico","Otero",35035,67490,12565,160,18617.57,2370.72,0.0127
"US","New Mexico","Quay",35037,8253,1925,39,23324.85,4725.55,0.0203
"US","New Mexico","Rio Arriba",35039,38921,9384,112,24110.38,2877.62,0.0119
"US","New Mexico","Roosevelt",35041,18500,4743,88,25637.84,4756.76,0.0186
"US","New Mexico","San Juan",35045,123958,38425,697,30998.40,5622.87,0.0181
"US","New Mexico","San Miguel",35047,27277,5350,46,19613.59,1686.40,0.0086
"US","New Mexico","Sandoval",35043,146748,31214,347,21270.48,2364.60,0.0111
"US","New Mexico","Santa Fe",35049,150358,26460,235,17598.00,1562.94,0.0089
"US","New Mexico","Sierra",35051,10791,1917,69,17764.80,6394.22,0.0360
"US","New Mexico","Socorro",35053,16636,3624,79,21784.08,4748.74,0.0218
"US","New Mexico","Taos",35055,32723,5044,81,15414.23,2475.32,0.0161
"US","New Mexico","Torrance",35057,15460,2517,48,16280.72,3104.79,0.0191
"US","New Mexico","Unassigned",90035,-1,6234,0,0.00,0.00,0.0000
"US","New Mexico","Union",35059,4058,735,12,18112.37,2957.12,0.0163
"US","New Mexico","Valencia",35061,76687,17527,227,22855.24,2960.08,0.0130
"US","New Mexico","Doña Ana",35013,-1,0,0,0.00,0.00,0.0000
