Admin0,Admin1,Admin2,FIPS,Population,CaseCount,DeathCount,CasesPer100K,DeathsPerM,CFR
"US","New York","Albany",36001,305506,35437,421,11599.44,1378.04,0.0119
"US","New York","Allegany",36003,46091,6268,124,13599.18,2690.33,0.0198
"US","New York","Bronx",36005,1418206,161954,1905,11419.64,1343.25,0.0118
"US","New York","Broome",36007,190488,29070,439,15260.80,2304.61,0.0151
"US","New York","Cattaraugus",36009,76116,10416,165,13684.38,2167.74,0.0158
"US","New York","Cayuga",36011,76576,10051,114,13125.52,1488.72,0.0113
"US","New York","Chautauqua",36013,126903,15711,197,12380.32,1552.37,0.0125
"US","New York","Chemung",36015,83456,13321,178,15961.70,2132.86,0.0134
"US","New York","Chenango",36017,47207,5787,98,12258.78,2075.96,0.0169
"US","New York","Clinton",36019,80485,8442,48,10488.91,596.38,0.0057
"US","New York","Columbia",36021,59461,5940,115,9989.74,1934.04,0.0194
"US","New York","Cortland",36023,47581,6254,89,13143.90,1870.49,0.0142
"US","New York","Delaware",36025,44135,4681,53,10606.09,1200.86,0.0113
"US","New York","Dutchess",36027,294218,38778,513,13180.02,1743.61,0.0132
"US","New York","Erie",36029,918702,129720,2091,14119.92,2276.04,0.0161
"US","New York","Essex",36031,36885,3103,39,8412.63,1057.34,0.0126
"US","New York","Franklin",36033,50022,5722,27,11438.97,539.76,0.0047
"US","New York","Fulton",36035,53383,8121,115,15212.71,2154.24,0.0142
"US","New York","Genesee",36037,57280,9040,147,15782.12,2566.34,0.0163
"US","New York","Greene",36039,47187,5126,91,10863.16,1928.50,0.0178
"US","New York","Hamilton",36041,4416,527,3,11933.88,679.35,0.0057
"US","New York","Herkimer",36043,61318,8691,146,14173.65,2381.03,0.0168
"US","New York","Jefferson",36045,109834,11862,108,10799.93,983.30,0.0091
"US","New York","Kings",36047,2559902,287895,3702,11246.33,1446.15,0.0129
"US","New York","Lewis",36049,26296,4357,40,16569.06,1521.14,0.0092
"US","New York","Livingston",36051,62914,7534,78,11975.08,1239.79,0.0104
"US","New York","Madison",36053,70941,7686,109,10834.36,1536.49,0.0142
"US","New York","Monroe",36055,741769,101017,1264,13618.39,1704.03,0.0125
"US","New York","Montgomery",36057,49220,7491,165,15219.42,3352.30,0.0220
"US","New York","Nassau",36059,1356924,230523,3341,16988.64,2462.19,0.0145
"US","New York","New York",36061,1628706,148379,1498,9110.24,919.75,0.0101
"US","New York","Niagara",36063,209281,29946,427,14308.99,2040.32,0.0143
"US","New York","Oneida",36065,228671,34284,657,14992.72,2873.12,0.0192
"US","New York","Onondaga",36067,460528,61429,826,13338.82,1793.59,0.0134
"US","New York","Ontario",36069,109776,12222,121,11133.58,1102.24,0.0099
"US","New York","Orange",36071,384939,63611,944,16524.96,2452.34,0.0148
"US","New York","Orleans",36073,40352,5796,96,14363.60,2379.06,0.0166
"US","New York","Oswego",36075,117124,14785,138,12623.37,1178.24,0.0093
"US","New York","Otsego",36077,59493,5665,68,9522.13,1142.99,0.0120
"US","New York","Out of NY",80036,-1,0,342,0.00,0.00,0.0000
"US","New York","Putnam",36079,98320,13401,101,13629.98,1027.26,0.0075
"US","New York","Queens",36081,2253858,259150,3211,11498.06,1424.67,0.0124
"US","New York","Rensselaer",36083,158714,18136,198,11426.84,1247.53,0.0109
"US","New York","Richmond",36085,476143,78684,893,16525.29,1875.49,0.0113
"US","New York","Rockland",36087,325789,56163,783,17239.07,2403.40,0.0139
"US","New York","Saratoga",36091,229863,25889,230,11262.80,1000.60,0.0089
"US","New York","Schenectady",36093,155299,19967,249,12857.13,1603.36,0.0125
"US","New York","Schoharie",36095,30999,2876,24,9277.72,774.22,0.0083
"US","New York","Schuyler",36097,17807,2035,20,11428.09,1123.15,0.0098
"US","New York","Seneca",36099,34016,3433,70,10092.31,2057.86,0.0204
"US","New York","St. Lawrence",36089,107739,13458,146,12491.30,1355.13,0.0108
"US","New York","Steuben",36101,95378,13114,195,13749.50,2044.50,0.0149
"US","New York","Suffolk",36103,1476601,260963,3701,17673.22,2506.43,0.0142
"US","New York","Sullivan",36105,75432,9992,90,13246.37,1193.13,0.0090
"US","New York","Tioga",36107,48203,6622,74,13737.73,1535.17,0.0112
"US","New York","Tompkins",36109,102180,7704,61,7539.64,596.99,0.0079
"US","New York","Ulster",36111,177573,19624,294,11051.23,1655.66,0.0150
"US","New York","Unassigned",90036,-1,147,1,0.00,0.00,0.0068
"US","New York","Warren",36113,63944,7710,98,12057.43,1532.59,0.0127
"US","New York","Washington",36115,61203,7088,83,11581.13,1356.14,0.0117
"US","New York","Wayne",36117,89917,10799,105,12009.96,1167.74,0.0097
"US","New York","Westchester",36119,967506,150042,2358,15508.12,2437.19,0.0157
"US","New York","Wyoming",36121,39859,5571,70,13976.77,1756.19,0.0126
"US","New York","Yates",36123,24913,2077,34,8337.01,1364.75,0.0164
"US","New York","New York City",36061,-1,233960,23688,0.00,0.00,0.1012
