Admin0,Admin1,Admin2,FIPS,Population,CaseCount,DeathCount,CasesPer100K,DeathsPerM,CFR
"US","North Carolina","Alamance",37001,169509,27801,358,16400.90,2111.98,0.0129
"US","North Carolina","Alexander",37003,37497,6864,118,18305.46,3146.92,0.0172
"US","North Carolina","Alleghany",37005,11137,1851,6,16620.27,538.74,0.0032
"US","North Carolina","Anson",37007,24446,4065,83,16628.49,3395.24,0.0204
"US","North Carolina","Ashe",37009,27203,3708,54,13630.85,1985.08,0.0146
"US","North Carolina","Avery",37011,17557,2896,39,16494.85,2221.34,0.0135
"US","North Carolina","Beaufort",37013,46994,7569,136,16106.31,2893.99,0.0180
"US","North Carolina","Bertie",37015,18947,2576,53,13595.82,2797.28,0.0206
"US","North Carolina","Bladen",37017,32722,5678,95,17352.24,2903.25,0.0167
"US","North Carolina","Brunswick",37019,142819,17187,246,12034.11,1722.46,0.0143
"US","North Carolina","Buncombe",37021,261191,30439,441,11653.92,1688.42,0.0145
"US","North Carolina","Burke",37023,90484,16322,247,18038.55,2729.76,0.0151
"US","North Carolina","Cabarrus",37025,216453,34844,353,16097.72,1630.84,0.0101
"US","North Carolina","Caldwell",37027,82178,14050,230,17097.03,2798.80,0.0164
"US","North Carolina","Camden",37029,10867,1243,8,11438.30,736.17,0.0064
"US","North Carolina","Carteret",37031,69473,8813,83,12685.50,1194.71,0.0094
"US","North Carolina","Caswell",37033,22604,3352,39,14829.23,1725.36,0.0116
"US","North Carolina","Catawba",37035,159551,29781,446,18665.51,2795.34,0.0150
"US","North Carolina","Chatham",37037,74470,7130,99,9574.33,1329.39,0.0139
"US","North Carolina","Cherokee",37039,28612,4799,78,16772.68,2726.13,0.0163
"US","North Carolina","Chowan",37041,13943,2401,43,17220.11,3083.98,0.0179
"US","North Carolina","Clay",37043,11231,1722,38,15332.56,3383.49,0.0221
"US","North Carolina","Cleveland",37045,97947,19126,317,19526.89,3236.44,0.0166
"US","North Carolina","Columbus",37047,55508,10374,230,18689.20,4143.55,0.0222
"US","North Carolina","Craven",37049,102139,14743,160,14434.25,1566.49,0.0109
"US","North Carolina","Cumberland",37051,335509,48340,500,14407.96,1490.27,0.0103
"US","North Carolina","Currituck",37053,27763,3082,27,11101.11,972.52,0.0088
"US","North Carolina","Dare",37055,37009,4225,15,11416.14,405.31,0.0036
"US","North Carolina","Davidson",37057,167609,27304,320,16290.29,1909.21,0.0117
"US","North Carolina","Davie",37059,42846,6891,81,16083.18,1890.49,0.0118
"US","North Carolina","Duplin",37061,58741,10308,198,17548.22,3370.73,0.0192
"US","North Carolina","Durham",37063,321488,36305,266,11292.80,827.40,0.0073
"US","North Carolina","Edgecombe",37065,51472,8223,127,15975.68,2467.36,0.0154
"US","North Carolina","Forsyth",37067,382295,54940,587,14371.10,1535.46,0.0107
"US","North Carolina","Franklin",37069,69685,10448,64,14993.18,918.42,0.0061
"US","North Carolina","Gaston",37071,224528,42381,633,18875.60,2819.25,0.0149
"US","North Carolina","Gates",37073,11562,1149,18,9937.73,1556.82,0.0157
"US","North Carolina","Graham",37075,8441,1384,28,16396.16,3317.14,0.0202
"US","North Carolina","Granville",37077,60443,8409,106,13912.28,1753.72,0.0126
"US","North Carolina","Greene",37079,21069,3419,56,16227.63,2657.93,0.0164
"US","North Carolina","Guilford",37081,537173,71574,925,13324.20,1721.98,0.0129
"US","North Carolina","Halifax",37083,50010,8092,144,16180.76,2879.42,0.0178
"US","North Carolina","Harnett",37085,135976,19260,271,14164.26,1993.00,0.0141
"US","North Carolina","Haywood",37087,62317,8021,153,12871.29,2455.19,0.0191
"US","North Carolina","Henderson",37089,117417,16315,219,13894.92,1865.15,0.0134
"US","North Carolina","Hertford",37091,23677,2915,72,12311.53,3040.93,0.0247
"US","North Carolina","Hoke",37093,55234,7559,86,13685.41,1557.01,0.0114
"US","North Carolina","Hyde",37095,4936,864,12,17504.05,2431.12,0.0139
"US","North Carolina","Iredell",37097,181806,30805,335,16943.89,1842.62,0.0109
"US","North Carolina","Jackson",37099,43938,6020,72,13701.12,1638.67,0.0120
"US","North Carolina","Johnston",37101,209339,34064,340,16272.17,1624.16,0.0100
"US","North Carolina","Jones",37103,9419,1389,35,14746.79,3715.89,0.0252
"US","North Carolina","Lee",37105,61779,9715,111,15725.41,1796.73,0.0114
"US","North Carolina","Lenoir",37107,55948,9785,179,17489.45,3199.40,0.0183
"US","North Carolina","Lincoln",37109,86111,16066,118,18657.31,1370.32,0.0073
"US","North Carolina","Macon",37113,35858,5160,80,14390.09,2231.02,0.0155
"US","North Carolina","Madison",37115,21755,2976,66,13679.61,3033.79,0.0222
"US","North Carolina","Martin",37117,22439,3792,75,16899.15,3342.39,0.0198
"US","North Carolina","McDowell",37111,45756,8908,137,19468.49,2994.14,0.0154
"US","North Carolina","Mecklenburg",37119,1110356,164449,1290,14810.48,1161.79,0.0078
"US","North Carolina","Mitchell",37121,14964,2223,23,14855.65,1537.02,0.0103
"US","North Carolina","Montgomery",37123,27173,4719,110,17366.50,4048.14,0.0233
"US","North Carolina","Moore",37125,100880,14160,253,14036.48,2507.93,0.0179
"US","North Carolina","Nash",37127,94297,15746,238,16698.30,2523.94,0.0151
"US","North Carolina","New Hanover",37129,234473,29574,297,12612.97,1266.67,0.0100
"US","North Carolina","Northampton",37131,19483,2643,66,13565.67,3387.57,0.0250
"US","North Carolina","Onslow",37133,197938,30734,274,15527.08,1384.27,0.0089
"US","North Carolina","Orange",37135,148476,12435,110,8375.09,740.86,0.0088
"US","North Carolina","Pamlico",37137,12726,1767,26,13884.96,2043.06,0.0147
"US","North Carolina","Pasquotank",37139,39824,5598,108,14056.85,2711.93,0.0193
"US","North Carolina","Pender",37141,63060,9292,102,14735.17,1617.51,0.0110
"US","North Carolina","Perquimans",37143,13463,1708,16,12686.62,1188.44,0.0094
"US","North Carolina","Person",37145,39490,5483,89,13884.53,2253.74,0.0162
"US","North Carolina","Pitt",37147,180742,30741,146,17008.22,807.78,0.0047
"US","North Carolina","Polk",37149,20724,2457,49,11855.82,2364.41,0.0199
"US","North Carolina","Randolph",37151,143666,23017,331,16021.19,2303.96,0.0144
"US","North Carolina","Richmond",37153,44829,7438,148,16591.94,3301.43,0.0199
"US","North Carolina","Robeson",37155,130624,25686,442,19664.07,3383.76,0.0172
"US","North Carolina","Rockingham",37157,91010,13291,217,14603.89,2384.35,0.0163
"US","North Carolina","Rowan",37159,142088,27405,480,19287.34,3378.19,0.0175
"US","North Carolina","Rutherford",37161,67029,11846,341,17672.95,5087.35,0.0288
"US","North Carolina","Sampson",37163,63530,11660,140,18353.53,2203.68,0.0120
"US","North Carolina","Scotland",37165,34823,5901,109,16945.70,3130.12,0.0185
"US","North Carolina","Stanly",37167,62805,12337,200,19643.34,3184.46,0.0162
"US","North Carolina","Stokes",37169,45591,6874,117,15077.54,2566.30,0.0170
"US","North Carolina","Surry",37171,71783,13380,245,18639.51,3413.06,0.0183
"US","North Carolina","Swain",37173,14271,2154,28,15093.55,1962.02,0.0130
"US","North Carolina","Transylvania",37175,34385,4068,52,11830.74,1512.29,0.0128
"US","North Carolina","Tyrrell",37177,4016,589,7,14666.33,1743.03,0.0119
"US","North Carolina","Unassigned",90037,-1,11,0,0.00,0.00,0.0000
"US","North Carolina","Union",37179,239859,38711,372,16139.07,1550.91,0.0096
"US","North Carolina","Vance",37181,44535,7176,104,16113.17,2335.24,0.0145
"US","North Carolina","Wake",37183,1111761,136420,911,12270.62,819.42,0.0067
"US","North Carolina","Warren",37185,19731,2503,33,12685.62,1672.50,0.0132
"US","North Carolina","Washington",37187,11580,1658,37,14317.79,3195.16,0.0223
"US","North Carolina","Watauga",37189,56177,7019,40,12494.44,712.04,0.0057
"US","North Carolina","Wayne",37191,123131,17884,314,14524.37,2550.13,0.0176
"US","North Carolina","Wilkes",37193,68412,11297,194,16513.18,2835.76,0.0172
"US","North Carolina","Wilson",37195,81801,13664,243,16703.95,2970.62,0.0178
"US","North Carolina","Yadkin",37197,37667,6543,76,17370.64,2017.68,0.0116
"US","North Carolina","Yancey",37199,18069,3096,35,17134.32,1937.02,0.0113
