Admin0,Admin1,Admin2,FIPS,Population,CaseCount,DeathCount,CasesPer100K,DeathsPerM,CFR
"US","North Dakota","Adams",38001,2216,559,9,25225.63,4061.37,0.0161
"US","North Dakota","Barnes",38003,10415,2852,45,27383.58,4320.69,0.0158
"US","North Dakota","Benson",38005,6832,1834,22,26844.26,3220.14,0.0120
"US","North Dakota","Billings",38007,928,138,1,14870.69,1077.59,0.0072
"US","North Dakota","Bottineau",38009,6282,1518,24,24164.28,3820.44,0.0158
"US","North Dakota","Bowman",38011,3024,805,9,26620.37,2976.19,0.0112
"US","North Dakota","Burke",38013,2115,424,3,20047.28,1418.44,0.0071
"US","North Dakota","Burleigh",38015,95626,33541,291,35075.19,3043.11,0.0087
"US","North Dakota","Cass",38017,181922,56825,316,31235.91,1737.01,0.0056
"US","North Dakota","Cavalier",38019,3761,763,7,20287.16,1861.21,0.0092
"US","North Dakota","Dickey",38021,4872,1446,38,29679.80,7799.67,0.0263
"US","North Dakota","Divide",38023,2264,451,4,19920.49,1766.78,0.0089
"US","North Dakota","Dunn",38025,4424,987,8,22310.13,1808.32,0.0081
"US","North Dakota","Eddy",38027,2286,723,6,31627.30,2624.67,0.0083
"US","North Dakota","Emmons",38029,3241,707,17,21814.25,5245.29,0.0240
"US","North Dakota","Foster",38031,3210,940,20,29283.49,6230.53,0.0213
"US","North Dakota","Golden Valley",38033,1761,463,4,26291.88,2271.44,0.0086
"US","North Dakota","Grand Forks",38035,69451,21104,114,30386.89,1641.45,0.0054
"US","North Dakota","Grant",38037,2274,443,11,19481.09,4837.29,0.0248
"US","North Dakota","Griggs",38039,2231,559,2,25056.03,896.46,0.0036
"US","North Dakota","Hettinger",38041,2499,801,7,32052.82,2801.12,0.0087
"US","North Dakota","Kidder",38043,2480,480,13,19354.84,5241.94,0.0271
"US","North Dakota","LaMoure",38045,4046,947,19,23405.83,4696.00,0.0201
"US","North Dakota","Logan",38047,1850,423,11,22864.86,5945.95,0.0260
"US","North Dakota","McHenry",38049,5745,1246,30,21688.42,5221.93,0.0241
"US","North Dakota","McIntosh",38051,2497,624,9,24989.99,3604.33,0.0144
"US","North Dakota","McKenzie",38053,15024,3149,25,20959.80,1664.00,0.0079
"US","North Dakota","McLean",38055,9450,2659,49,28137.57,5185.19,0.0184
"US","North Dakota","Mercer",38057,8186,2472,23,30197.90,2809.68,0.0093
"US","North Dakota","Morton",38059,31364,10799,139,34431.20,4431.83,0.0129
"US","North Dakota","Mountrail",38061,10545,3077,33,29179.71,3129.45,0.0107
"US","North Dakota","Nelson",38063,2879,732,17,25425.49,5904.83,0.0232
"US","North Dakota","Oliver",38065,1959,316,4,16130.68,2041.86,0.0127
"US","North Dakota","Pembina",38067,6801,1901,16,27951.77,2352.60,0.0084
"US","North Dakota","Pierce",38069,3975,1029,31,25886.79,7798.74,0.0301
"US","North Dakota","Ramsey",38071,11519,3387,48,29403.59,4167.03,0.0142
"US","North Dakota","Ransom",38073,5217,1422,26,27257.04,4983.71,0.0183
"US","North Dakota","Renville",38075,2327,538,15,23119.90,6446.07,0.0279
"US","North Dakota","Richland",38077,16177,3917,21,24213.39,1298.14,0.0054
"US","North Dakota","Rolette",38079,14176,5478,39,38642.78,2751.13,0.0071
"US","North Dakota","Sargent",38081,3898,986,9,25295.02,2308.88,0.0091
"US","North Dakota","Sheridan",38083,1315,277,6,21064.64,4562.74,0.0217
"US","North Dakota","Sioux",38085,4230,1293,19,30567.38,4491.73,0.0147
"US","North Dakota","Slope",38087,750,62,0,8266.67,0.00,0.0000
"US","North Dakota","Stark",38089,31489,11227,81,35653.72,2572.33,0.0072
"US","North Dakota","Steele",38091,1890,378,2,20000.00,1058.20,0.0053
"US","North Dakota","Stutsman",38093,20703,6671,94,32222.38,4540.40,0.0141
"US","North Dakota","Towner",38095,2189,611,12,27912.29,5481.96,0.0196
"US","North Dakota","Traill",38097,8035,2069,22,25749.84,2738.02,0.0106
"US","North Dakota","Unassigned",90038,-1,0,47,0.00,0.00,0.0000
"US","North Dakota","Walsh",38099,10640,3222,34,30281.95,3195.49,0.0106
"US","North Dakota","Ward",38101,67641,19898,243,29417.07,3592.50,0.0122
"US","North Dakota","Wells",38103,3833,985,11,25697.89,2869.81,0.0112
"US","North Dakota","Williams",38105,37589,10131,67,26952.03,1782.44,0.0066
