Admin0,Admin1,Admin2,FIPS,Population,CaseCount,DeathCount,CasesPer100K,DeathsPerM,CFR
"US","Ohio","Adams",39001,27698,4728,111,17069.82,4007.51,0.0235
"US","Ohio","Allen",39003,102350,19716,329,19263.31,3214.46,0.0167
"US","Ohio","Ashland",39005,53484,8342,157,15597.19,2935.46,0.0188
"US","Ohio","Ashtabula",39007,97240,13585,251,13970.59,2581.24,0.0185
"US","Ohio","Athens",39009,65327,8551,98,13089.53,1500.15,0.0115
"US","Ohio","Auglaize",39011,45656,8243,121,18054.58,2650.25,0.0147
"US","Ohio","Belmont",39013,67006,10745,235,16035.88,3507.15,0.0219
"US","Ohio","Brown",39015,43432,7436,121,17121.02,2785.96,0.0163
"US","Ohio","Butler",39017,383133,58606,829,15296.52,2163.74,0.0141
"US","Ohio","Carroll",39019,26913,3877,80,14405.68,2972.54,0.0206
"US","Ohio","Champaign",39021,38885,6034,91,15517.55,2340.23,0.0151
"US","Ohio","Clark",39023,134083,23066,399,17202.78,2975.77,0.0173
"US","Ohio","Clermont",39025,206428,32328,374,15660.67,1811.77,0.0116
"US","Ohio","Clinton",39027,41968,6725,108,16024.11,2573.39,0.0161
"US","Ohio","Columbiana",39029,101882,17525,346,17201.27,3396.09,0.0197
"US","Ohio","Coshocton",39031,36600,5835,114,15942.62,3114.75,0.0195
"US","Ohio","Crawford",39033,41494,7654,154,18446.04,3711.38,0.0201
"US","Ohio","Cuyahoga",39035,1235072,176882,2691,14321.59,2178.82,0.0152
"US","Ohio","Darke",39037,51112,8691,181,17003.83,3541.24,0.0208
"US","Ohio","Defiance",39039,38087,7611,117,19983.20,3071.91,0.0154
"US","Ohio","Delaware",39041,209177,28106,189,13436.47,903.54,0.0067
"US","Ohio","Erie",39043,74266,13192,209,17763.18,2814.21,0.0158
"US","Ohio","Fairfield",39045,157574,25503,292,16184.78,1853.10,0.0114
"US","Ohio","Fayette",39047,28525,5133,72,17994.74,2524.10,0.0140
"US","Ohio","Franklin",39049,1316755,184361,1858,14001.16,1411.04,0.0101
"US","Ohio","Fulton",39051,42126,7493,122,17787.11,2896.07,0.0163
"US","Ohio","Gallia",39053,29897,4864,79,16269.19,2642.41,0.0162
"US","Ohio","Geauga",39055,93648,11447,181,12223.43,1932.77,0.0158
"US","Ohio","Greene",39057,168937,25026,381,14813.81,2255.28,0.0152
"US","Ohio","Guernsey",39059,38875,7266,89,18690.68,2289.39,0.0122
"US","Ohio","Hamilton",39061,817473,116822,1558,14290.62,1905.87,0.0133
"US","Ohio","Hancock",39063,75783,11987,178,15817.53,2348.81,0.0148
"US","Ohio","Hardin",39065,31365,5123,107,16333.49,3411.45,0.0209
"US","Ohio","Harrison",39067,15040,2232,54,14840.43,3590.43,0.0242
"US","Ohio","Henry",39069,27006,4532,81,16781.46,2999.33,0.0179
"US","Ohio","Highland",39071,43161,6988,122,16190.54,2826.63,0.0175
"US","Ohio","Hocking",39073,28264,4260,93,15072.18,3290.40,0.0218
"US","Ohio","Holmes",39075,43960,4114,143,9358.51,3252.96,0.0348
"US","Ohio","Huron",39077,58266,10187,164,17483.61,2814.68,0.0161
"US","Ohio","Jackson",39079,32412,6000,101,18511.66,3116.13,0.0168
"US","Ohio","Jefferson",39081,65325,9975,235,15269.80,3597.40,0.0236
"US","Ohio","Knox",39083,62322,9110,179,14617.63,2872.18,0.0196
"US","Ohio","Lake",39085,230149,33944,515,14748.71,2237.68,0.0152
"US","Ohio","Lawrence",39087,59463,10944,173,18404.72,2909.37,0.0158
"US","Ohio","Licking",39089,176862,27601,351,15605.95,1984.60,0.0127
"US","Ohio","Logan",39091,45672,7308,116,16001.05,2539.85,0.0159
"US","Ohio","Lorain",39093,309833,44470,668,14352.89,2156.00,0.0150
"US","Ohio","Lucas",39095,428348,65195,1043,15220.10,2434.94,0.0160
"US","Ohio","Madison",39097,44730,6678,94,14929.58,2101.50,0.0141
"US","Ohio","Mahoning",39099,228683,37118,799,16231.20,3493.92,0.0215
"US","Ohio","Marion",39101,65092,13850,199,21277.58,3057.21,0.0144
"US","Ohio","Medina",39103,179746,27297,362,15186.43,2013.95,0.0133
"US","Ohio","Meigs",39105,22907,3132,62,13672.68,2706.60,0.0198
"US","Ohio","Mercer",39107,41172,7117,100,17286.02,2428.84,0.0141
"US","Ohio","Miami",39109,106987,17896,355,16727.27,3318.16,0.0198
"US","Ohio","Monroe",39111,13654,2428,62,17782.33,4540.79,0.0255
"US","Ohio","Montgomery",39113,531687,82880,1432,15588.12,2693.31,0.0173
"US","Ohio","Morgan",39115,14508,2256,39,15550.04,2688.17,0.0173
"US","Ohio","Morrow",39117,35328,5372,66,15206.07,1868.21,0.0123
"US","Ohio","Muskingum",39119,86215,17233,214,19988.40,2482.17,0.0124
"US","Ohio","Noble",39121,14423,2260,49,15669.42,3397.35,0.0217
