Admin0,Admin1,Admin2,FIPS,Population,CaseCount,DeathCount,CasesPer100K,DeathsPerM,CFR
"US","Puerto Rico","Adjuntas",72001,17363,1677,0,9658.47,0.00,0.0000
"US","Puerto Rico","Aguada",72003,36693,5169,0,14087.16,0.00,0.0000
"US","Puerto Rico","Aguadilla",72005,50265,5941,0,11819.36,0.00,0.0000
"US","Puerto Rico","Aguas Buenas",72007,24813,3306,0,13323.66,0.00,0.0000
"US","Puerto Rico","Aibonito",72009,22108,2871,0,12986.25,0.00,0.0000
"US","Puerto Rico","Anasco",72011,26161,2820,0,10779.40,0.00,0.0000
"US","Puerto Rico","Arecibo",72013,81966,10287,0,12550.33,0.00,0.0000
"US","Puerto Rico","Arroyo",72015,17237,1400,0,8122.06,0.00,0.0000
"US","Puerto Rico","Barceloneta",72017,23727,2606,0,10983.27,0.00,0.0000
"US","Puerto Rico","Barranquitas",72019,27725,3900,0,14066.73,0.00,0.0000
"US","Puerto Rico","Bayamon",72021,169269,29079,0,17179.16,0.00,0.0000
"US","Puerto Rico","Cabo Rojo",72023,47515,4210,0,8860.36,0.00,0.0000
"US","Puerto Rico","Caguas",72025,124606,18410,0,14774.57,0.00,0.0000
"US","Puerto Rico","Camuy",72027,30504,3797,0,12447.55,0.00,0.0000
"US","Puerto Rico","Canovanas",72029,44674,5481,0,12268.88,0.00,0.0000
"US","Puerto Rico","Carolina",72031,146983,23937,0,16285.56,0.00,0.0000
"US","Puerto Rico","Catano",72033,23121,3572,0,15449.16,0.00,0.0000
"US","Puerto Rico","Cayey",72035,42409,4817,0,11358.44,0.00,0.0000
"US","Puerto Rico","Ceiba",72037,10904,1124,0,10308.14,0.00,0.0000
"US","Puerto Rico","Ciales",72039,15808,2035,0,12873.23,0.00,0.0000
"US","Puerto Rico","Cidra",72041,38307,4645,0,12125.72,0.00,0.0000
"US","Puerto Rico","Coamo",72043,38336,3649,0,9518.47,0.00,0.0000
"US","Puerto Rico","Comerio",72045,18648,2299,0,12328.40,0.00,0.0000
"US","Puerto Rico","Corozal",72047,32293,5238,0,16220.23,0.00,0.0000
"US","Puerto Rico","Culebra",72049,1714,140,0,8168.03,0.00,0.0000
"US","Puerto Rico","Dorado",72051,36140,5674,0,15700.06,0.00,0.0000
"US","Puerto Rico","Fajardo",72053,29454,3764,0,12779.25,0.00,0.0000
"US","Puerto Rico","Florida",72054,11317,1950,0,17230.71,0.00,0.0000
"US","Puerto Rico","Guanica",72055,15383,1137,0,7391.28,0.00,0.0000
"US","Puerto Rico","Guayama",72057,39465,3708,0,9395.67,0.00,0.0000
"US","Puerto Rico","Guayanilla",72059,17622,1478,0,8387.24,0.00,0.0000
"US","Puerto Rico","Guaynabo",72061,83727,12714,0,15185.07,0.00,0.0000
"US","Puerto Rico","Gurabo",72063,47093,6023,0,12789.59,0.00,0.0000
"US","Puerto Rico","Hatillo",72065,39218,4120,0,10505.38,0.00,0.0000
"US","Puerto Rico","Hormigueros",72067,15518,1478,0,9524.42,0.00,0.0000
"US","Puerto Rico","Humacao",72069,50653,6485,0,12802.80,0.00,0.0000
"US","Puerto Rico","Isabela",72071,40423,5274,0,13047.03,0.00,0.0000
"US","Puerto Rico","Jayuya",72073,13891,1548,0,11143.91,0.00,0.0000
"US","Puerto Rico","Juana Diaz",72075,44679,4557,0,10199.42,0.00,0.0000
"US","Puerto Rico","Juncos",72077,38155,5367,0,14066.31,0.00,0.0000
"US","Puerto Rico","Lajas",72079,22010,1906,0,8659.70,0.00,0.0000
"US","Puerto Rico","Lares",72081,24276,2911,0,11991.27,0.00,0.0000
"US","Puerto Rico","Las Marias",72083,7927,850,0,10722.85,0.00,0.0000
"US","Puerto Rico","Las Piedras",72085,37007,4351,0,11757.24,0.00,0.0000
"US","Puerto Rico","Loiza",72087,24553,2695,0,10976.26,0.00,0.0000
"US","Puerto Rico","Luquillo",72089,17665,2067,0,11701.10,0.00,0.0000
"US","Puerto Rico","Manati",72091,37287,4909,0,13165.45,0.00,0.0000
"US","Puerto Rico","Maricao",72093,5430,336,0,6187.85,0.00,0.0000
"US","Puerto Rico","Maunabo",72095,10321,1094,0,10599.75,0.00,0.0000
"US","Puerto Rico","Mayaguez",72097,71530,7928,0,11083.46,0.00,0.0000
"US","Puerto Rico","Moca",72099,34891,4825,0,13828.78,0.00,0.0000
"US","Puerto Rico","Morovis",72101,30334,3698,0,12190.94,0.00,0.0000
"US","Puerto Rico","Naguabo",72103,25760,2652,0,10295.03,0.00,0.0000
"US","Puerto Rico","Naranjito",72105,27348,4347,0,15895.13,0.00,0.0000
"US","Puerto Rico","Orocovis",72107,20220,2241,0,11083.09,0.00,0.0000
"US","Puerto Rico","Out of PR",72888,-1,644,0,0.00,0.00,0.0000
"US","Puerto Rico","Patillas",72109,16210,1592,0,9821.10,0.00,0.0000
"US","Puerto Rico","Penuelas",72111,19249,1729,0,8982.28,0.00,0.0000
"US","Puerto Rico","Ponce",72113,131881,13773,0,10443.51,0.00,0.0000
"US","Puerto Rico","Quebradillas",72115,22918,2802,0,12226.20,0.00,0.0000
"US","Puerto Rico","Rincon",72117,13656,1784,0,13063.85,0.00,0.0000
"US","Puerto Rico","Rio Grande",72119,48024,6408,0,13343.33,0.00,0.0000
"US","Puerto Rico","Sabana Grande",72121,21712,1757,0,8092.30,0.00,0.0000
"US","Puerto Rico","Salinas",72123,27128,2720,0,10026.54,0.00,0.0000
"US","Puerto Rico","San German",72125,30227,2824,0,9342.64,0.00,0.0000
"US","Puerto Rico","San Juan",72127,318441,52784,0,16575.76,0.00,0.0000
"US","Puerto Rico","San Lorenzo",72129,35988,4478,0,12443.04,0.00,0.0000
"US","Puerto Rico","San Sebastian",72131,35528,5186,0,14596.94,0.00,0.0000
"US","Puerto Rico","Santa Isabel",72133,21209,2039,0,9613.84,0.00,0.0000
"US","Puerto Rico","Toa Alta",72135,72025,10300,0,14300.59,0.00,0.0000
"US","Puerto Rico","Toa Baja",72137,74271,10920,0,14702.91,0.00,0.0000
"US","Puerto Rico","Trujillo Alto",72139,63674,8338,0,13094.83,0.00,0.0000
"US","Puerto Rico","Unassigned",72999,-1,15464,3328,0.00,0.00,0.2152
"US","Puerto Rico","Utuado",72141,27395,2708,0,9885.02,0.00,0.0000
"US","Puerto Rico","Vega Alta",72143,36060,5115,0,14184.69,0.00,0.0000
"US","Puerto Rico","Vega Baja",72145,50023,8622,0,17236.07,0.00,0.0000
"US","Puerto Rico","Vieques",72147,8386,555,0,6618.17,0.00,0.0000
"US","Puerto Rico","Villalba",72149,21372,2452,0,11472.96,0.00,0.0000
"US","Puerto Rico","Yabucoa",72151,32282,3537,0,10956.57,0.00,0.0000
"US","Puerto Rico","Yauco",72153,33575,3353,0,9986.60,0.00,0.0000
