Admin0,Admin1,Admin2,FIPS,Population,CaseCount,DeathCount,CasesPer100K,DeathsPerM,CFR
"US","South Carolina","Abbeville",45001,24527,5031,57,20512.09,2323.97,0.0113
"US","South Carolina","Aiken",45003,170871,32865,373,19233.81,2182.93,0.0113
"US","South Carolina","Allendale",45005,8688,1677,22,19302.49,2532.23,0.0131
"US","South Carolina","Anderson",45007,202557,46756,841,23082.89,4151.92,0.0180
"US","South Carolina","Bamberg",45009,14065,2710,65,19267.69,4621.40,0.0240
"US","South Carolina","Barnwell",45011,20866,4672,88,22390.49,4217.39,0.0188
"US","South Carolina","Beaufort",45013,192121,34124,328,17761.72,1707.26,0.0096
"US","South Carolina","Berkeley",45015,227907,40301,372,17683.09,1632.24,0.0092
"US","South Carolina","Calhoun",45017,14552,2263,54,15551.13,3710.83,0.0239
"US","South Carolina","Charleston",45019,411406,88906,772,21610.28,1876.49,0.0087
"US","South Carolina","Cherokee",45021,57299,12052,272,21033.53,4747.03,0.0226
"US","South Carolina","Chester",45023,32244,8036,126,24922.47,3907.70,0.0157
"US","South Carolina","Chesterfield",45025,45649,9268,164,20302.74,3592.63,0.0177
"US","South Carolina","Clarendon",45027,33745,6379,138,18903.54,4089.49,0.0216
"US","South Carolina","Colleton",45029,37677,7033,196,18666.56,5202.11,0.0279
"US","South Carolina","Darlington",45031,66617,14980,250,22486.75,3752.80,0.0167
"US","South Carolina","Dillon",45033,30478,7812,125,25631.60,4101.32,0.0160
"US","South Carolina","Dorchester",45035,162809,44350,398,27240.51,2444.58,0.0090
"US","South Carolina","Edgefield",45037,27259,5395,60,19791.63,2201.11,0.0111
"US","South Carolina","Fairfield",45039,22347,4606,96,20611.27,4295.88,0.0208
"US","South Carolina","Florence",45041,138293,33126,559,23953.49,4042.14,0.0169
"US","South Carolina","Georgetown",45043,62679,12355,191,19711.55,3047.27,0.0155
"US","South Carolina","Greenville",45045,523542,136107,1601,25997.34,3058.02,0.0118
"US","South Carolina","Greenwood",45047,70811,16546,248,23366.43,3502.28,0.0150
"US","South Carolina","Hampton",45049,19222,3930,75,20445.32,3901.78,0.0191
"US","South Carolina","Horry",45051,354081,76715,948,21665.95,2677.35,0.0124
"US","South Carolina","Jasper",45053,30072,4766,82,15848.63,2726.79,0.0172
"US","South Carolina","Kershaw",45055,66551,16140,219,24252.08,3290.71,0.0136
"US","South Carolina","Lancaster",45057,98012,19891,251,20294.45,2560.91,0.0126
"US","South Carolina","Laurens",45059,67493,14788,249,21910.42,3689.27,0.0168
"US","South Carolina","Lee",45061,16828,3376,83,20061.80,4932.26,0.0246
"US","South Carolina","Lexington",45063,298750,72576,747,24293.22,2500.42,0.0103
"US","South Carolina","Marion",45067,30657,6830,147,22278.76,4794.99,0.0215
"US","South Carolina","Marlboro",45069,26118,6210,86,23776.71,3292.75,0.0138
"US","South Carolina","McCormick",45065,9463,1767,33,18672.73,3487.27,0.0187
"US","South Carolina","Newberry",45071,38440,10148,154,26399.58,4006.24,0.0152
"US","South Carolina","Oconee",45073,79546,19163,273,24090.46,3431.98,0.0142
"US","South Carolina","Orangeburg",45075,86175,18813,341,21831.16,3957.06,0.0181
"US","South Carolina","Pickens",45077,126884,35079,523,27646.51,4121.88,0.0149
"US","South Carolina","Richland",45079,415758,96065,812,23105.99,1953.06,0.0085
"US","South Carolina","Saluda",45081,20473,3165,62,15459.39,3028.38,0.0196
"US","South Carolina","Spartanburg",45083,319785,76527,1312,23930.77,4102.76,0.0171
"US","South Carolina","Sumter",45085,106721,21732,323,20363.38,3026.58,0.0149
"US","South Carolina","Unassigned",90045,-1,0,0,0.00,0.00,0.0000
"US","South Carolina","Union",45087,27315,5973,118,21867.11,4319.97,0.0198
"US","South Carolina","Williamsburg",45089,30368,6825,132,22474.32,4346.68,0.0193
"US","South Carolina","York",45091,280978,60687,548,21598.49,1950.33,0.0090
