Admin0,Admin1,Admin2,FIPS,Population,CaseCount,DeathCount,CasesPer100K,DeathsPerM,CFR
"US","South Dakota","Aurora",46003,2750,581,16,21127.27,5818.18,0.0275
"US","South Dakota","Beadle",46005,18453,3554,47,19259.74,2547.01,0.0132
"US","South Dakota","Bennett",46007,3365,519,9,15423.48,2674.59,0.0173
"US","South Dakota","Bon Homme",46009,6900,1769,30,25637.68,4347.83,0.0170
"US","South Dakota","Brookings",46011,35077,5492,42,15656.98,1197.37,0.0076
"US","South Dakota","Brown",46013,38839,7392,107,19032.42,2754.96,0.0145
"US","South Dakota","Brule",46015,5297,971,13,18331.13,2454.22,0.0134
"US","South Dakota","Buffalo",46017,1962,471,15,24006.12,7645.26,0.0318
"US","South Dakota","Butte",46019,10429,2098,34,20116.98,3260.14,0.0162
"US","South Dakota","Campbell",46021,1376,199,5,14462.21,3633.72,0.0251
"US","South Dakota","Charles Mix",46023,9291,2013,27,21666.13,2906.04,0.0134
"US","South Dakota","Clark",46025,3736,563,5,15069.59,1338.33,0.0089
"US","South Dakota","Clay",46027,14070,2359,17,16766.17,1208.24,0.0072
"US","South Dakota","Codington",46029,28008,6164,89,22008.00,3177.66,0.0144
"US","South Dakota","Corson",46031,4086,726,14,17767.99,3426.33,0.0193
"US","South Dakota","Custer",46033,8971,1468,19,16363.84,2117.94,0.0129
"US","South Dakota","Davison",46035,19774,4145,70,20961.87,3540.00,0.0169
"US","South Dakota","Day",46037,5424,877,30,16168.88,5530.97,0.0342
"US","South Dakota","Deuel",46039,4351,766,11,17605.15,2528.15,0.0144
"US","South Dakota","Dewey",46041,5892,2073,34,35183.30,5770.54,0.0164
"US","South Dakota","Douglas",46043,2921,565,10,19342.69,3423.49,0.0177
"US","South Dakota","Edmunds",46045,3829,672,14,17550.27,3656.31,0.0208
"US","South Dakota","Fall River",46047,6713,1194,24,17786.38,3575.15,0.0201
"US","South Dakota","Faulk",46049,2299,445,15,19356.24,6524.58,0.0337
"US","South Dakota","Grant",46051,7051,1473,46,20890.65,6523.90,0.0312
"US","South Dakota","Gregory",46053,4185,801,31,19139.78,7407.41,0.0387
"US","South Dakota","Haakon",46055,1898,343,11,18071.65,5795.57,0.0321
"US","South Dakota","Hamlin",46057,6164,1112,40,18040.23,6489.29,0.0360
"US","South Dakota","Hand",46059,3191,424,7,13287.37,2193.67,0.0165
"US","South Dakota","Hanson",46061,3453,475,5,13756.15,1448.02,0.0105
"US","South Dakota","Harding",46063,1298,167,2,12865.95,1540.83,0.0120
"US","South Dakota","Hughes",46065,17526,3421,49,19519.57,2795.85,0.0143
"US","South Dakota","Hutchinson",46067,7291,1242,28,17034.70,3840.35,0.0225
"US","South Dakota","Hyde",46069,1301,218,5,16756.34,3843.20,0.0229
"US","South Dakota","Jackson",46071,3343,425,18,12713.13,5384.39,0.0424
"US","South Dakota","Jerauld",46073,2013,313,18,15548.93,8941.88,0.0575
"US","South Dakota","Jones",46075,903,148,1,16389.81,1107.42,0.0068
"US","South Dakota","Kingsbury",46077,4938,972,18,19684.08,3645.20,0.0185
"US","South Dakota","Lake",46079,12796,1710,20,13363.55,1562.99,0.0117
"US","South Dakota","Lawrence",46081,25844,4781,68,18499.46,2631.17,0.0142
"US","South Dakota","Lincoln",46083,61128,11231,79,18372.92,1292.37,0.0070
"US","South Dakota","Lyman",46085,3781,838,11,22163.45,2909.28,0.0131
"US","South Dakota","Marshall",46091,4935,524,8,10618.03,1621.07,0.0153
"US","South Dakota","McCook",46087,5586,1030,27,18438.95,4833.51,0.0262
"US","South Dakota","McPherson",46089,2379,358,8,15048.34,3362.76,0.0223
"US","South Dakota","Meade",46093,28332,4985,53,17594.95,1870.68,0.0106
"US","South Dakota","Mellette",46095,2061,347,4,16836.49,1940.81,0.0115
"US","South Dakota","Miner",46097,2216,369,11,16651.62,4963.90,0.0298
"US","South Dakota","Minnehaha",46099,193133,40964,414,21210.25,2143.60,0.0101
"US","South Dakota","Moody",46101,6576,906,23,13777.37,3497.57,0.0254
"US","South Dakota","Oglala Lakota",46102,14177,2600,54,18339.56,3808.99,0.0208
"US","South Dakota","Pennington",46103,113774,22926,271,20150.47,2381.92,0.0118
"US","South Dakota","Perkins",46105,2865,482,16,16823.73,5584.64,0.0332
"US","South Dakota","Potter",46107,2153,482,5,22387.37,2322.34,0.0104
"US","South Dakota","Roberts",46109,10394,1688,45,16240.14,4329.42,0.0267
"US","South Dakota","Sanborn",46111,2344,418,3,17832.76,1279.86,0.0072
"US","South Dakota","Spink",46115,6376,1087,29,17048.31,4548.31,0.0267
"US","South Dakota","Stanley",46117,3098,495,3,15978.05,968.37,0.0061
"US","South Dakota","Sully",46119,1391,193,3,13874.91,2156.72,0.0155
"US","South Dakota","Todd",46121,10177,1852,38,18197.90,3733.91,0.0205
"US","South Dakota","Tripp",46123,5440,938,21,17242.65,3860.29,0.0224
"US","South Dakota","Turner",46125,8384,1462,61,17437.98,7275.76,0.0417
"US","South Dakota","Unassigned",90046,-1,0,0,0.00,0.00,0.0000
"US","South Dakota","Union",46127,15932,2928,46,18378.11,2887.27,0.0157
"US","South Dakota","Walworth",46129,5435,965,19,17755.29,3495.86,0.0197
"US","South Dakota","Yankton",46135,22813,4075,42,17862.62,1841.06,0.0103
"US","South Dakota","Ziebach",46137,2756,464,10,16835.99,3628.45,0.0216
