Admin0,Admin1,Admin2,FIPS,Population,CaseCount,DeathCount,CasesPer100K,DeathsPerM,CFR
"US","Tennessee","Anderson",47001,76978,19490,292,25318.92,3793.29,0.0150
"US","Tennessee","Bedford",47003,49713,13700,211,27558.18,4244.36,0.0154
"US","Tennessee","Benton",47005,16160,3959,84,24498.76,5198.02,0.0212
"US","Tennessee","Bledsoe",47007,15064,4324,43,28704.20,2854.49,0.0099
"US","Tennessee","Blount",47009,133087,35668,358,26800.51,2689.97,0.0100
"US","Tennessee","Bradley",47011,108110,31278,359,28931.64,3320.69,0.0115
"US","Tennessee","Campbell",47013,39842,10623,138,26662.82,3463.68,0.0130
"US","Tennessee","Cannon",47015,14678,3735,52,25446.25,3542.72,0.0139
"US","Tennessee","Carroll",47017,27766,8240,137,29676.58,4934.09,0.0166
"US","Tennessee","Carter",47019,56391,14503,294,25718.64,5213.60,0.0203
"US","Tennessee","Cheatham",47021,40667,10176,106,25022.75,2606.54,0.0104
"US","Tennessee","Chester",47023,17297,5221,86,30184.43,4971.96,0.0165
"US","Tennessee","Claiborne",47025,31959,7780,149,24343.69,4662.22,0.0192
"US","Tennessee","Clay",47027,7614,2020,45,26530.08,5910.17,0.0223
"US","Tennessee","Cocke",47029,36004,10291,190,28582.94,5277.19,0.0185
"US","Tennessee","Coffee",47031,56520,15410,226,27264.69,3998.58,0.0147
"US","Tennessee","Crockett",47033,14230,4699,75,33021.78,5270.56,0.0160
"US","Tennessee","Cumberland",47035,60520,14610,293,24140.78,4841.37,0.0201
"US","Tennessee","Davidson",47037,694143,179893,1493,25915.84,2150.85,0.0083
"US","Tennessee","DeKalb",47041,20489,5690,91,27771.00,4441.41,0.0160
"US","Tennessee","Decatur",47039,11663,3344,54,28671.87,4630.03,0.0161
"US","Tennessee","Dickson",47043,53948,14402,222,26696.08,4115.07,0.0154
"US","Tennessee","Dyer",47045,37159,11814,177,31793.11,4763.31,0.0150
"US","Tennessee","Fayette",47047,41133,10724,150,26071.52,3646.71,0.0140
"US","Tennessee","Fentress",47049,18522,5038,109,27200.09,5884.89,0.0216
"US","Tennessee","Franklin",47051,42207,11692,153,27701.57,3624.99,0.0131
"US","Tennessee","Gibson",47053,49133,16021,227,32607.41,4620.11,0.0142
"US","Tennessee","Giles",47055,29463,8739,161,29660.93,5464.48,0.0184
"US","Tennessee","Grainger",47057,23319,6143,98,26343.33,4202.58,0.0160
"US","Tennessee","Greene",47059,69069,20058,321,29040.52,4647.53,0.0160
"US","Tennessee","Grundy",47061,13427,3663,67,27280.85,4989.95,0.0183
"US","Tennessee","Hamblen",47063,64934,18178,316,27994.58,4866.48,0.0174
"US","Tennessee","Hamilton",47065,367804,91795,995,24957.59,2705.25,0.0108
"US","Tennessee","Hancock",47067,6620,1787,29,26993.96,4380.66,0.0162
"US","Tennessee","Hardeman",47069,25049,6869,106,27422.25,4231.71,0.0154
"US","Tennessee","Hardin",47071,25652,7770,119,30290.04,4639.01,0.0153
"US","Tennessee","Hawkins",47073,56786,14732,260,25943.01,4578.59,0.0176
"US","Tennessee","Haywood",47075,17304,5697,86,32923.02,4969.95,0.0151
"US","Tennessee","Henderson",47077,28117,8221,127,29238.54,4516.84,0.0154
"US","Tennessee","Henry",47079,32344,7372,133,22792.48,4112.05,0.0180
"US","Tennessee","Hickman",47081,25178,6284,97,24958.30,3852.57,0.0154
"US","Tennessee","Houston",47083,8201,2416,56,29459.82,6828.44,0.0232
"US","Tennessee","Humphreys",47085,18581,4268,61,22969.70,3282.92,0.0143
"US","Tennessee","Jackson",47087,11786,2861,52,24274.56,4412.01,0.0182
"US","Tennessee","Jefferson",47089,54495,14219,236,26092.30,4330.67,0.0166
"US","Tennessee","Johnson",47091,17788,4738,74,26635.93,4160.11,0.0156
"US","Tennessee","Knox",47093,470313,116122,1172,24690.37,2491.96,0.0101
"US","Tennessee","Lake",47095,7016,2581,35,36787.34,4988.60,0.0136
"US","Tennessee","Lauderdale",47097,25633,7302,86,28486.72,3355.05,0.0118
"US","Tennessee","Lawrence",47099,44142,13321,168,30177.61,3805.90,0.0126
"US","Tennessee","Lewis",47101,12268,3253,50,26516.14,4075.64,0.0154
"US","Tennessee","Lincoln",47103,34366,9306,136,27079.09,3957.40,0.0146
"US","Tennessee","Loudon",47105,54067,13275,163,24552.87,3014.78,0.0123
"US","Tennessee","Macon",47111,24602,7624,129,30989.35,5243.48,0.0169
"US","Tennessee","Madison",47113,97983,27271,382,27832.38,3898.64,0.0140
"US","Tennessee","Marion",47115,28907,7941,118,27470.85,4082.06,0.0149
"US","Tennessee","Marshall",47117,34375,9459,108,27517.09,3141.82,0.0114
"US","Tennessee","Maury",47119,96386,27136,292,28153.47,3029.49,0.0108
"US","Tennessee","McMinn",47107,53794,15188,214,28233.63,3978.14,0.0141
"US","Tennessee","McNairy",47109,25694,6551,95,25496.22,3697.36,0.0145
"US","Tennessee","Meigs",47121,12422,3114,50,25068.43,4025.12,0.0161
"US","Tennessee","Monroe",47123,46544,13172,206,28300.10,4425.92,0.0156
"US","Tennessee","Montgomery",47125,208993,46322,507,22164.38,2425.92,0.0109
"US","Tennessee","Moore",47127,6488,2049,35,31581.38,5394.57,0.0171
"US","Tennessee","Morgan",47129,21403,5386,69,25164.70,3223.85,0.0128
"US","Tennessee","Obion",47131,30069,10086,158,33542.85,5254.58,0.0157
"US","Tennessee","Out of TN",80047,-1,46499,233,0.00,0.00,0.0050
"US","Tennessee","Overton",47133,22241,6400,118,28775.68,5305.52,0.0184
"US","Tennessee","Perry",47135,8076,2132,43,26399.21,5324.42,0.0202
