Admin0,Admin1,Admin2,FIPS,Population,CaseCount,DeathCount,CasesPer100K,DeathsPerM,CFR
"US","Virginia","Accomack",51001,32316,5663,85,17523.83,2630.28,0.0150
"US","Virginia","Albemarle",51003,109330,11715,120,10715.27,1097.59,0.0102
"US","Virginia","Alexandria",51510,159427,25229,164,15824.80,1028.68,0.0065
"US","Virginia","Alleghany",51005,14860,2781,90,18714.67,6056.53,0.0324
"US","Virginia","Amelia",51007,13145,2056,44,15640.93,3347.28,0.0214
"US","Virginia","Amherst",51009,31605,5551,64,17563.68,2025.00,0.0115
"US","Virginia","Appomattox",51011,15911,2983,38,18748.04,2388.28,0.0127
"US","Virginia","Arlington",51013,236842,33693,284,14225.94,1199.11,0.0084
"US","Virginia","Augusta",51015,75558,14581,152,19297.76,2011.70,0.0104
"US","Virginia","Bath",51017,4147,673,15,16228.60,3617.07,0.0223
"US","Virginia","Bedford",51019,78997,12911,179,16343.66,2265.91,0.0139
"US","Virginia","Bland",51021,6279,1302,18,20735.79,2866.70,0.0138
"US","Virginia","Botetourt",51023,33419,5615,67,16801.82,2004.85,0.0119
"US","Virginia","Bristol",51520,16762,3072,59,18327.17,3519.87,0.0192
"US","Virginia","Brunswick",51025,16231,2267,37,13967.10,2279.59,0.0163
"US","Virginia","Buchanan",51027,21003,3464,90,16492.88,4285.10,0.0260
"US","Virginia","Buckingham",51029,17148,3106,41,18112.90,2390.95,0.0132
"US","Virginia","Buena Vista",51530,6478,1653,34,25517.13,5248.53,0.0206
"US","Virginia","Campbell",51031,54885,9225,163,16807.87,2969.85,0.0177
"US","Virginia","Caroline",51033,30725,5703,59,18561.43,1920.26,0.0103
"US","Virginia","Carroll",51035,29790,5191,113,17425.31,3793.22,0.0218
"US","Virginia","Charles City",51036,6963,961,22,13801.52,3159.56,0.0229
"US","Virginia","Charlotte",51037,11880,1836,32,15454.55,2693.60,0.0174
"US","Virginia","Charlottesville",51540,47266,7605,65,16089.79,1375.20,0.0085
"US","Virginia","Chesapeake",51550,244835,41430,383,16921.60,1564.32,0.0092
"US","Virginia","Chesterfield",51041,352802,58542,611,16593.44,1731.85,0.0104
"US","Virginia","Clarke",51043,14618,2170,33,14844.71,2257.49,0.0152
"US","Virginia","Colonial Heights",51570,17370,3791,72,21824.99,4145.08,0.0190
"US","Virginia","Covington",51580,5538,855,20,15438.79,3611.41,0.0234
"US","Virginia","Craig",51045,5131,864,11,16838.82,2143.83,0.0127
"US","Virginia","Culpeper",51047,52605,9646,97,18336.66,1843.93,0.0101
"US","Virginia","Cumberland",51049,9932,985,19,9917.44,1913.01,0.0193
"US","Virginia","Danville",51590,40044,8527,213,21294.08,5319.15,0.0250
"US","Virginia","Dickenson",51051,14318,2459,40,17174.19,2793.69,0.0163
"US","Virginia","Dinwiddie",51053,28544,4297,63,15053.95,2207.12,0.0147
"US","Virginia","Emporia",51595,5346,963,46,18013.47,8604.56,0.0478
"US","Virginia","Essex",51057,10953,1871,22,17082.08,2008.58,0.0118
"US","Virginia","Fairfax",51059,1147532,148651,1217,12953.97,1060.54,0.0082
"US","Virginia","Fairfax City",51600,24019,1759,36,7323.37,1498.81,0.0205
"US","Virginia","Falls Church",51610,14617,1511,14,10337.28,957.79,0.0093
