Admin0,Admin1,Admin2,FIPS,Population,CaseCount,DeathCount,CasesPer100K,DeathsPerM,CFR
"US","Washington","Adams",53001,19982,3384,34,16935.24,1701.53,0.0100
"US","Washington","Asotin",53003,22582,3085,51,13661.32,2258.44,0.0165
"US","Washington","Benton",53005,204389,32658,393,15978.35,1922.80,0.0120
"US","Washington","Chelan",53007,77200,12360,123,16010.36,1593.26,0.0100
"US","Washington","Clallam",53009,77331,5438,77,7032.11,995.72,0.0142
"US","Washington","Clark",53011,488241,46280,570,9478.93,1167.46,0.0123
"US","Washington","Columbia",53013,3984,398,9,9989.96,2259.04,0.0226
"US","Washington","Cowlitz",53015,110593,14610,268,13210.60,2423.30,0.0183
"US","Washington","Douglas",53017,43429,6722,51,15478.14,1174.33,0.0076
"US","Washington","Ferry",53019,7627,884,18,11590.40,2360.04,0.0204
"US","Washington","Franklin",53021,95222,20855,184,21901.45,1932.33,0.0088
"US","Washington","Garfield",53023,2224,269,7,12095.32,3147.48,0.0260
"US","Washington","Grant",53025,97733,17218,175,17617.39,1790.59,0.0102
"US","Washington","Grays Harbor",53027,75061,9763,149,13006.75,1985.05,0.0153
"US","Washington","Island",53029,85141,4600,52,5402.80,610.75,0.0113
"US","Washington","Jefferson",53031,32220,1296,20,4022.35,620.73,0.0154
"US","Washington","King",53033,2252782,176395,2112,7830.10,937.51,0.0120
"US","Washington","Kitsap",53035,271472,18657,255,6872.53,939.32,0.0137
"US","Washington","Kittitas",53037,47935,5399,55,11263.17,1147.39,0.0102
"US","Washington","Klickitat",53039,22425,2307,30,10287.63,1337.79,0.0130
"US","Washington","Lewis",53041,80707,11290,180,13988.87,2230.29,0.0159
"US","Washington","Lincoln",53043,10939,1513,25,13831.25,2285.40,0.0165
"US","Washington","Mason",53045,66768,6626,85,9923.92,1273.06,0.0128
"US","Washington","Okanogan",53047,42243,5681,102,13448.38,2414.60,0.0180
"US","Washington","Pacific",53049,22471,1939,38,8628.90,1691.07,0.0196
"US","Washington","Pend Oreille",53051,13724,1697,24,12365.20,1748.76,0.0141
"US","Washington","Pierce",53053,904980,101276,987,11190.97,1090.63,0.0097
"US","Washington","San Juan",53055,17582,448,0,2548.06,0.00,0.0000
"US","Washington","Skagit",53057,129205,13171,144,10193.88,1114.51,0.0109
"US","Washington","Skamania",53059,12083,874,7,7233.30,579.33,0.0080
"US","Washington","Snohomish",53061,822082,74227,813,9029.15,988.95,0.0110
"US","Washington","Spokane",53063,522797,78579,1122,15030.50,2146.15,0.0143
"US","Washington","Stevens",53065,45723,5471,107,11965.53,2340.18,0.0196
"US","Washington","Thurston",53067,290536,23583,262,8117.07,901.78,0.0111
"US","Washington","Unassigned",90053,-1,1542,4,0.00,0.00,0.0026
"US","Washington","Wahkiakum",53069,4488,309,5,6885.03,1114.08,0.0162
"US","Washington","Walla Walla",53071,60759,9354,113,15395.25,1859.81,0.0121
"US","Washington","Whatcom",53073,229247,18987,182,8282.33,793.90,0.0096
"US","Washington","Whitman",53075,50104,6082,82,12138.75,1636.60,0.0135
"US","Washington","Yakima",53077,250872,45776,642,18246.76,2559.07,0.0140
