Admin0,Admin1,Admin2,FIPS,Population,CaseCount,DeathCount,CasesPer100K,DeathsPerM,CFR
"US","West Virginia","Barbour",54001,16440,3072,53,18686.13,3223.84,0.0173
"US","West Virginia","Berkeley",54003,119170,21481,202,18025.51,1695.06,0.0094
"US","West Virginia","Boone",54005,21457,4096,62,19089.34,2889.50,0.0151
"US","West Virginia","Braxton",54007,13956,2496,27,17884.78,1934.65,0.0108
"US","West Virginia","Brooke",54009,21938,3503,81,15967.73,3692.22,0.0231
"US","West Virginia","Cabell",54011,91944,16620,288,18076.22,3132.34,0.0173
"US","West Virginia","Calhoun",54013,7109,1129,9,15881.28,1266.00,0.0080
"US","West Virginia","Clay",54015,8508,1472,24,17301.36,2820.87,0.0163
"US","West Virginia","Doddridge",54017,8448,1480,12,17518.94,1420.45,0.0081
"US","West Virginia","Fayette",54019,42406,7103,141,16749.99,3325.00,0.0199
"US","West Virginia","Gilmer",54021,7823,1501,14,19187.01,1789.59,0.0093
"US","West Virginia","Grant",54023,11568,2581,42,22311.55,3630.71,0.0163
"US","West Virginia","Greenbrier",54025,34662,5427,112,15656.92,3231.20,0.0206
"US","West Virginia","Hampshire",54027,23175,3878,54,16733.55,2330.10,0.0139
"US","West Virginia","Hancock",54029,28810,4767,121,16546.34,4199.93,0.0254
"US","West Virginia","Hardy",54031,13776,2797,37,20303.43,2685.83,0.0132
"US","West Virginia","Harrison",54033,67256,12713,190,18902.40,2825.03,0.0149
"US","West Virginia","Jackson",54035,28576,4385,98,15345.04,3429.45,0.0223
"US","West Virginia","Jefferson",54037,57146,7980,94,13964.23,1644.91,0.0118
"US","West Virginia","Kanawha",54039,178124,27524,559,15452.16,3138.26,0.0203
"US","West Virginia","Lewis",54041,15907,3482,60,21889.73,3771.92,0.0172
"US","West Virginia","Lincoln",54043,20409,3335,54,16340.83,2645.89,0.0162
"US","West Virginia","Logan",54045,32019,5936,149,18538.99,4653.49,0.0251
"US","West Virginia","Marion",54049,56072,9359,136,16691.04,2425.45,0.0145
"US","West Virginia","Marshall",54051,30531,5867,126,19216.53,4126.95,0.0215
"US","West Virginia","Mason",54053,26516,4092,63,15432.19,2375.92,0.0154
"US","West Virginia","McDowell",54047,17624,3311,56,18786.88,3177.49,0.0169
"US","West Virginia","Mercer",54055,58757,10243,191,17432.82,3250.68,0.0186
"US","West Virginia","Mineral",54057,26867,5135,129,19112.67,4801.43,0.0251
"US","West Virginia","Mingo",54059,23424,5133,93,21913.42,3970.29,0.0181
"US","West Virginia","Monongalia",54061,105612,14785,150,13999.36,1420.29,0.0101
"US","West Virginia","Monroe",54063,13275,2356,27,17747.65,2033.90,0.0115
"US","West Virginia","Morgan",54065,17884,2512,51,14046.07,2851.71,0.0203
"US","West Virginia","Nicholas",54067,24495,4551,70,18579.30,2857.73,0.0154
"US","West Virginia","Ohio",54069,41411,6973,123,16838.52,2970.23,0.0176
"US","West Virginia","Pendleton",54071,6968,1285,16,18441.45,2296.21,0.0125
"US","West Virginia","Pleasants",54073,7460,1535,31,20576.41,4155.50,0.0202
"US","West Virginia","Pocahontas",54075,8247,1291,21,15654.18,2546.38,0.0163
"US","West Virginia","Preston",54077,33431,6100,108,18246.54,3230.53,0.0177
"US","West Virginia","Putnam",54079,56450,10070,144,17838.80,2550.93,0.0143
"US","West Virginia","Raleigh",54081,73361,12991,204,17708.32,2780.77,0.0157
"US","West Virginia","Randolph",54083,28694,5633,58,19631.28,2021.33,0.0103
"US","West Virginia","Ritchie",54085,9553,1619,23,16947.56,2407.62,0.0142
"US","West Virginia","Roane",54087,13688,1910,27,13953.83,1972.53,0.0141
"US","West Virginia","Summers",54089,12573,1593,35,12670.01,2783.74,0.0220
"US","West Virginia","Taylor",54091,16695,2736,47,16388.14,2815.21,0.0172
"US","West Virginia","Tucker",54093,6839,1264,31,18482.23,4532.83,0.0245
"US","West Virginia","Tyler",54095,8591,1482,25,17250.61,2910.02,0.0169
"US","West Virginia","Unassigned",90054,-1,0,0,0.00,0.00,0.0000
"US","West Virginia","Upshur",54097,24176,4584,71,18960.95,2936.80,0.0155
"US","West Virginia","Wayne",54099,39402,6220,92,15786.00,2334.91,0.0148
"US","West Virginia","Webster",54101,8114,1464,26,18042.89,3204.34,0.0178
"US","West Virginia","Wetzel",54103,15065,2883,65,19137.07,4314.64,0.0225
"US","West Virginia","Wirt",54105,5821,967,17,16612.27,2920.46,0.0176
"US","West Virginia","Wood",54107,83518,14697,271,17597.40,3244.81,0.0184
"US","West Virginia","Wyoming",54109,20394,4019,75,19706.78,3677.55,0.0187
