Admin0,Admin1,Admin2,FIPS,Population,CaseCount,DeathCount,CasesPer100K,DeathsPerM,CFR,Waves,Start,End,Peak,NormalizedPeakValue,CaseCount,DeathCount,Weight,DeathWeight,CFR,Start,End,Peak,NormalizedPeakValue,CaseCount,DeathCount,Weight,DeathWeight,CFR,Start,End,Peak,NormalizedPeakValue,CaseCount,DeathCount,Weight,DeathWeight,CFR,Start,End,Peak,NormalizedPeakValue,CaseCount,DeathCount,Weight,DeathWeight,CFR,Start,End,Peak,NormalizedPeakValue,CaseCount,DeathCount,Weight,DeathWeight,CFR
"Algeria","","",0,43851043,226036,6412,515.46,146.22,0.0284,5,155,239,185,1.39,36765,781,0.163,0.122,0.0213,271,387,307,2.39,55768,1076,0.247,0.168,0.0193,462,470,466,0.52,2032,79,0.009,0.012,0.0387,485,603,553,3.31,74733,2245,0.331,0.350,0.0300,691,725,725,1.27,13144,268,0.058,0.042,0.0204
"Angola","","",0,32866268,93897,1863,285.69,56.68,0.0198,4,265,291,278,0.75,5894,83,0.063,0.045,0.0142,455,502,488,0.83,11077,234,0.118,0.126,0.0211,572,635,618,1.55,18333,573,0.195,0.308,0.0313,695,725,707,4.52,28064,126,0.299,0.068,0.0045,,,,,,,,,
"Benin","","",0,12123198,26071,162,215.05,13.36,0.0062,4,384,395,389,0.72,923,11,0.035,0.069,0.0121,404,412,407,0.74,717,8,0.027,0.047,0.0107,565,624,589,3.99,15451,48,0.593,0.298,0.0031,712,724,714,0.60,883,1,0.034,0.006,0.0011,,,,,,,,,
"Botswana","","",0,2351625,238163,2516,10127.59,1069.90,0.0106,5,196,309,268,10.57,9353,30,0.039,0.012,0.0032,309,324,317,7.29,2336,5,0.010,0.002,0.0023,324,463,405,18.23,34482,671,0.145,0.267,0.0195,463,666,562,92.29,147712,1711,0.620,0.680,0.0116,666,725,714,61.70,43980,102,0.185,0.040,0.0023
"Burkina Faso","","",0,20903278,20225,339,96.76,16.22,0.0168,2,323,367,334,0.82,6334,42,0.313,0.123,0.0066,708,724,715,0.97,2634,20,0.130,0.060,0.0078,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Burundi","","",0,11890781,36420,38,306.29,3.20,0.0010,2,546,633,611,2.45,13598,30,0.373,0.789,0.0022,688,725,714,7.17,15784,0,0.433,0.000,0.0000,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Cabo Verde","","",0,555988,54254,372,9758.12,669.08,0.0069,5,80,331,264,18.24,11500,110,0.212,0.295,0.0095,331,396,360,15.34,3552,33,0.065,0.089,0.0093,396,548,462,51.82,18496,154,0.341,0.415,0.0083,548,664,593,17.86,4862,53,0.090,0.143,0.0110,664,725,715,174.12,15954,22,0.294,0.060,0.0014
"Cameroon","","",0,26545864,109674,1853,413.15,69.80,0.0169,5,115,155,149,1.25,9209,174,0.084,0.094,0.0189,377,404,398,0.98,5530,81,0.050,0.044,0.0147,407,420,413,1.97,4732,49,0.043,0.026,0.0103,422,492,434,5.22,37672,662,0.343,0.357,0.0176,610,661,617,3.14,20256,392,0.185,0.212,0.0194
"Central African Republic","","",0,4829763,13315,108,275.69,22.36,0.0081,5,113,180,153,1.97,4303,56,0.323,0.515,0.0129,437,482,454,1.26,1720,25,0.129,0.236,0.0148,558,574,566,9.45,4048,1,0.304,0.008,0.0002,706,707,706,0.50,49,0,0.004,0.000,0.0000,709,725,725,2.72,1168,7,0.088,0.068,0.0063
"Chad","","",0,16425859,6584,185,40.08,11.26,0.0281,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Comoros","","",0,869595,7773,159,893.86,182.84,0.0205,5,117,161,149,1.02,274,6,0.035,0.038,0.0219,329,407,363,10.40,2950,138,0.379,0.867,0.0467,410,423,417,0.64,70,1,0.009,0.005,0.0111,435,449,442,0.96,101,0,0.013,0.000,0.0000,640,725,708,19.22,3569,12,0.459,0.076,0.0034
"Congo (Brazzaville)","","",0,5518091,23003,371,416.87,67.23,0.0161,5,157,200,177,1.62,2551,23,0.111,0.061,0.0088,320,345,337,1.31,1191,12,0.052,0.033,0.0103,455,476,460,1.27,1149,9,0.050,0.023,0.0075,605,671,639,2.35,5015,160,0.218,0.430,0.0318,695,725,714,3.79,3844,8,0.167,0.023,0.0022
"Congo (Kinshasa)","","",0,89561404,82432,1225,92.04,13.68,0.0149,1,691,717,697,0.94,19525,105,0.237,0.086,0.0054,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
