Admin0,Admin1,Admin2,FIPS,Population,CaseCount,DeathCount,CasesPer100K,DeathsPerM,CFR,Waves,Start,End,Peak,NormalizedPeakValue,CaseCount,DeathCount,Weight,DeathWeight,CFR,Start,End,Peak,NormalizedPeakValue,CaseCount,DeathCount,Weight,DeathWeight,CFR,Start,End,Peak,NormalizedPeakValue,CaseCount,DeathCount,Weight,DeathWeight,CFR,Start,End,Peak,NormalizedPeakValue,CaseCount,DeathCount,Weight,DeathWeight,CFR,Start,End,Peak,NormalizedPeakValue,CaseCount,DeathCount,Weight,DeathWeight,CFR
"Afghanistan","","",0,38928341,165742,7425,425.76,190.74,0.0448,4,103,171,134,1.84,31743,918,0.192,0.124,0.0289,301,334,317,0.58,7213,447,0.044,0.060,0.0619,465,569,516,4.65,91793,4369,0.554,0.588,0.0476,732,745,744,1.45,6033,34,0.036,0.005,0.0056,,,,,,,,,
"Armenia","","",0,2963234,386825,8080,13054.15,2726.75,0.0209,5,54,217,157,20.54,43083,861,0.111,0.107,0.0200,217,379,283,69.44,124599,2244,0.322,0.278,0.0180,379,511,430,31.00,56470,1394,0.146,0.172,0.0247,511,700,642,64.57,120138,3432,0.311,0.425,0.0286,700,745,745,123.31,42979,167,0.111,0.021,0.0039
"Azerbaijan","","",0,10139175,689834,8843,6803.65,872.16,0.0128,5,229,384,322,40.85,194095,2617,0.281,0.296,0.0135,384,509,443,21.51,103930,1794,0.151,0.203,0.0173,518,623,584,36.96,152793,1646,0.221,0.186,0.0108,623,704,652,21.63,126867,1698,0.184,0.192,0.0134,704,745,745,60.36,75966,563,0.110,0.064,0.0074
"Bahrain","","",0,1701583,413011,1411,24272.16,829.23,0.0034,4,44,197,155,31.85,42878,156,0.104,0.111,0.0036,197,312,235,41.18,44218,187,0.107,0.132,0.0042,312,664,490,164.05,190613,1053,0.462,0.746,0.0055,664,745,745,437.15,135766,18,0.329,0.013,0.0001,,,,,,,,,
"Bangladesh","","",0,164689383,1854931,28557,1126.32,173.40,0.0154,5,108,263,157,2.24,365263,5310,0.197,0.186,0.0145,263,355,308,1.32,145927,2294,0.079,0.080,0.0157,411,483,440,4.07,233315,3782,0.126,0.132,0.0162,483,618,556,8.35,773279,15310,0.417,0.536,0.0198,713,745,736,8.21,267127,474,0.144,0.017,0.0018
"Bhutan","","",0,771611,5928,4,768.26,5.18,0.0007,5,206,206,206,0.50,4,0,0.001,0.000,0.0000,213,224,219,0.90,67,0,0.011,0.000,0.0000,330,359,339,2.57,390,1,0.066,0.250,0.0026,443,560,492,3.34,1629,1,0.275,0.255,0.0006,711,745,745,25.21,3260,1,0.550,0.260,0.0003
"Burma","","",0,54409793,537554,19310,987.97,354.90,0.0359,3,235,375,306,2.68,137125,3101,0.255,0.161,0.0226,509,691,546,10.31,381153,15943,0.709,0.826,0.0418,739,745,745,0.64,2254,0,0.004,0.000,0.0000,,,,,,,,,,,,,,,,,,
"Cambodia","","",0,16718971,121643,3015,727.57,180.33,0.0248,2,436,582,530,5.70,88403,1829,0.727,0.607,0.0207,582,651,612,4.42,28291,976,0.233,0.324,0.0345,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Georgia","","",0,3989175,1293607,15174,32427.93,3803.79,0.0117,5,223,409,318,107.14,271002,3552,0.209,0.234,0.0131,409,508,471,33.52,81759,1485,0.063,0.098,0.0182,508,610,572,121.66,248390,3670,0.192,0.242,0.0148,610,695,654,117.99,303185,4318,0.234,0.285,0.0142,695,745,745,558.92,393188,2249,0.304,0.148,0.0057
"Indonesia","","",0,273523621,4471954,144486,1634.94,528.24,0.0323,4,162,277,246,1.55,330808,10349,0.074,0.072,0.0313,277,467,372,4.55,1297396,32806,0.290,0.227,0.0253,467,621,541,16.98,2542896,96428,0.569,0.667,0.0379,726,745,745,8.80,199338,314,0.045,0.002,0.0016,,,,,,,,,
"Iran","","",0,83992953,6541535,132734,7788.20,1580.30,0.0203,5,98,213,133,3.28,264269,14632,0.040,0.110,0.0554,213,357,310,16.07,950841,36086,0.145,0.272,0.0380,357,502,451,28.20,1676661,24855,0.256,0.187,0.0148,502,701,569,45.51,3212087,50191,0.491,0.378,0.0156,701,745,745,37.63,364177,1521,0.056,0.011,0.0042
"Iraq","","",0,40222503,2245361,24496,5582.35,609.01,0.0109,4,123,353,229,10.80,597914,12733,0.266,0.520,0.0213,353,493,454,18.84,592075,3457,0.264,0.141,0.0058,493,689,556,28.85,897987,7657,0.400,0.313,0.0085,689,745,739,17.51,158380,541,0.071,0.022,0.0034,,,,,,,,,
"Israel","","",0,8655541,3158120,9142,36486.69,1056.20,0.0029,5,51,106,70,6.60,16113,246,0.005,0.027,0.0152,125,294,247,66.94,304881,2424,0.097,0.265,0.0080,294,471,357,94.10,517858,3675,0.164,0.402,0.0071,513,668,586,104.76,499971,1736,0.158,0.190,0.0035,668,745,733,918.82,1818690,982,0.576,0.107,0.0005
"Jordan","","",0,10203140,1312817,13301,12866.79,1303.62,0.0101,4,219,362,301,52.06,313597,4142,0.239,0.311,0.0132,362,521,422,80.23,434943,5574,0.331,0.419,0.0128,521,702,684,48.34,300050,2699,0.229,0.203,0.0090,702,745,745,164.23,266053,930,0.203,0.070,0.0035,,,,,,,,,
"Kazakhstan","","",0,18776707,1355605,18603,7219.61,990.75,0.0137,5,83,254,162,16.98,140068,2071,0.103,0.111,0.0148,329,400,369,7.78,72488,724,0.053,0.039,0.0100,400,502,456,15.08,192190,4110,0.142,0.221,0.0214,502,685,560,43.03,609529,10548,0.450,0.567,0.0173,685,745,729,70.80,296221,669,0.219,0.036,0.0023
"Kuwait","","",0,4270563,575098,2507,13466.56,587.04,0.0044,5,68,197,117,21.56,69835,469,0.121,0.187,0.0067,249,330,274,17.99,44293,317,0.077,0.126,0.0072,330,478,446,33.70,142946,764,0.249,0.305,0.0053,478,659,528,41.25,123977,790,0.216,0.315,0.0064,673,745,739,141.37,161893,43,0.282,0.017,0.0003
"Kyrgyzstan","","",0,6524191,199398,2900,3056.29,444.50,0.0145,5,118,233,179,31.59,43533,1048,0.218,0.361,0.0241,233,400,278,8.14,41426,400,0.208,0.138,0.0097,400,624,528,20.77,92992,1154,0.466,0.398,0.0124,624,683,642,1.60,4650,145,0.023,0.050,0.0311,683,745,728,11.24,15840,144,0.079,0.050,0.0091
"Laos","","",0,7275556,136161,564,1871.49,77.52,0.0041,2,456,481,463,1.05,1475,2,0.011,0.003,0.0012,529,745,690,18.89,133915,562,0.984,0.996,0.0042,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Maldives","","",0,540541,148922,281,27550.55,519.85,0.0019,5,151,330,213,25.47,11254,40,0.076,0.143,0.0036,330,417,403,28.01,8198,16,0.055,0.058,0.0020,417,557,485,275.74,56052,157,0.376,0.559,0.0028,557,623,589,28.70,7829,12,0.053,0.042,0.0015,675,745,736,469.55,57676,32,0.387,0.115,0.0006
"Mongolia","","",0,3278292,449102,2123,13699.27,647.59,0.0047,5,333,355,350,0.65,463,2,0.001,0.001,0.0041,367,474,456,35.28,44092,175,0.098,0.082,0.0040,474,553,512,75.15,115626,627,0.257,0.295,0.0054,553,688,591,104.37,225427,1238,0.502,0.583,0.0055,688,745,729,80.58,64473,97,0.144,0.046,0.0015
"Nepal","","",0,29136808,966253,11803,3316.26,405.09,0.0122,5,128,170,154,1.73,15383,31,0.016,0.003,0.0020,183,377,270,12.37,253151,1988,0.262,0.168,0.0079,433,534,475,29.97,375738,6308,0.389,0.534,0.0168,534,682,564,8.74,171148,2225,0.177,0.189,0.0130,682,745,730,26.04,144118,268,0.149,0.023,0.0019
"Oman","","",0,5106622,346948,4159,6794.08,814.43,0.0120,5,73,217,174,29.60,84448,642,0.243,0.154,0.0076,217,345,258,13.62,44514,863,0.128,0.207,0.0194,345,476,446,24.25,73663,646,0.212,0.155,0.0088,476,616,517,38.90,101724,1962,0.293,0.472,0.0193,697,745,739,40.47,42121,46,0.121,0.011,0.0011
"Papua New Guinea","","",0,8947027,37432,597,418.37,66.73,0.0159,3,408,506,432,3.05,15137,150,0.404,0.251,0.0099,594,688,639,4.41,17746,381,0.474,0.638,0.0215,734,745,740,0.96,872,0,0.023,0.001,0.0005,,,,,,,,,,,,,,,,,,
"Philippines","","",0,109581085,3604369,54231,3289.23,494.89,0.0150,4,128,330,205,3.87,438985,7940,0.122,0.146,0.0181,330,527,445,9.47,970749,16084,0.269,0.297,0.0166,527,677,598,18.78,1412994,23636,0.392,0.436,0.0167,704,745,724,30.12,765386,3134,0.212,0.058,0.0041,,,,,,,,,
"Qatar","","",0,2881060,344972,652,11973.79,226.31,0.0019,5,45,266,128,63.50,128577,221,0.373,0.339,0.0017,266,329,275,8.46,13011,21,0.038,0.032,0.0016,329,530,445,33.08,81412,353,0.236,0.541,0.0043,530,629,575,8.14,15019,14,0.044,0.022,0.0010,629,745,723,136.52,107468,45,0.312,0.070,0.0004
"Saudi Arabia","","",0,34813867,705983,8952,2027.88,257.14,0.0127,4,73,322,146,11.89,357122,5976,0.506,0.668,0.0167,360,586,524,3.88,178576,2197,0.253,0.245,0.0123,588,596,593,0.76,2055,77,0.003,0.009,0.0373,698,745,726,15.46,154954,90,0.219,0.010,0.0006,,,,,,,,,
"Singapore","","",0,5850343,379888,865,6493.43,147.85,0.0023,5,56,165,91,15.50,44494,26,0.117,0.030,0.0006,165,238,187,6.43,12866,1,0.034,0.001,0.0001,476,490,482,0.62,497,1,0.001,0.001,0.0023,537,697,643,62.07,213087,776,0.561,0.898,0.0036,697,745,745,90.58,104379,55,0.275,0.064,0.0005
"Sri Lanka","","",0,21413250,617142,15569,2882.06,727.07,0.0252,5,256,427,385,3.99,87317,540,0.141,0.035,0.0062,427,534,498,14.09,181104,2876,0.293,0.185,0.0159,534,650,582,24.96,271732,10386,0.440,0.667,0.0382,650,705,691,4.35,42991,1148,0.070,0.074,0.0267,705,745,745,5.57,33285,683,0.054,0.044,0.0205
"Taiwan","","",0,23816775,19096,851,80.18,35.73,0.0446,1,478,515,490,2.20,12458,533,0.652,0.626,0.0428,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Tajikistan","","",0,9537642,17738,125,185.98,13.11,0.0070,3,103,173,121,2.02,6403,51,0.361,0.407,0.0079,318,335,324,0.64,1000,2,0.056,0.019,0.0024,543,577,553,0.81,2314,13,0.130,0.107,0.0058,,,,,,,,,,,,,,,,,,
"Thailand","","",0,69799977,2496007,22291,3575.94,319.36,0.0089,3,367,382,375,1.09,9583,7,0.004,0.000,0.0007,441,695,569,30.62,2154480,21225,0.863,0.952,0.0099,695,745,745,13.77,314607,1001,0.126,0.045,0.0032,,,,,,,,,,,,,,,,,,
"Timor-Leste","","",0,1318442,20312,122,1540.61,92.53,0.0060,3,412,533,489,13.53,9521,25,0.469,0.204,0.0026,533,639,580,22.39,10146,96,0.499,0.784,0.0094,734,745,745,4.72,433,0,0.021,0.000,0.0000,,,,,,,,,,,,,,,,,,
"United Arab Emirates","","",0,9890399,855735,2261,8652.18,228.61,0.0026,5,64,193,120,8.54,60563,349,0.071,0.154,0.0058,193,307,275,13.81,100807,208,0.118,0.092,0.0021,307,477,370,36.72,381658,1068,0.446,0.472,0.0028,477,661,508,21.37,200467,523,0.234,0.231,0.0026,661,745,727,29.43,114940,119,0.134,0.053,0.0010
"Uzbekistan","","",0,33469199,227982,1581,681.17,47.24,0.0069,5,148,312,195,2.15,67217,589,0.295,0.373,0.0088,432,490,469,1.17,16736,58,0.073,0.036,0.0034,490,688,563,2.73,96453,749,0.423,0.474,0.0078,688,700,688,0.60,2457,39,0.011,0.025,0.0159,714,745,732,3.70,28568,94,0.125,0.060,0.0033
"Vietnam","","",0,97338583,2329647,38251,2393.34,392.97,0.0164,2,523,635,586,13.28,851592,21180,0.366,0.554,0.0249,635,745,717,19.43,1465702,17072,0.629,0.446,0.0116,,,,,,,,,,,,,,,,,,,,,,,,,,,
"West Bank and Gaza","","",0,5101416,559204,5130,10961.74,1005.60,0.0092,5,145,262,236,13.72,43456,369,0.078,0.072,0.0085,262,370,315,38.45,112912,1434,0.202,0.280,0.0127,370,536,440,46.80,159149,1788,0.285,0.349,0.0112,536,671,623,84.02,143615,1200,0.257,0.234,0.0084,671,745,742,138.18,100734,354,0.180,0.069,0.0035
"Yemen","","",0,29825968,11165,2025,37.43,67.89,0.1814,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Japan","","",0,133719176,3226429,20106,2412.84,150.36,0.0062,5,181,221,196,0.99,41616,296,0.013,0.015,0.0071,280,407,355,4.63,338227,6386,0.105,0.318,0.0189,407,517,476,4.52,352208,6440,0.109,0.320,0.0183,517,627,578,16.93,927916,3467,0.288,0.172,0.0037,709,745,745,69.66,1477282,860,0.458,0.043,0.0006
"India","","",0,1371753893,42229514,502217,3078.51,366.11,0.0119,4,125,380,238,6.74,10672872,150845,0.253,0.300,0.0141,380,676,468,28.09,23778095,313910,0.563,0.625,0.0132,676,693,676,0.63,145472,8161,0.003,0.016,0.0561,695,745,730,21.91,7500747,25274,0.178,0.050,0.0034,,,,,,,,,
"Pakistan","","",0,211877156,1463416,29526,690.69,139.35,0.0202,5,101,185,143,2.93,257185,5434,0.176,0.184,0.0211,283,387,318,1.49,228077,5444,0.156,0.184,0.0239,387,509,455,2.59,382714,9555,0.262,0.324,0.0250,525,625,559,2.19,299031,5782,0.204,0.196,0.0193,714,745,735,3.30,160648,526,0.110,0.018,0.0033
"China","","",0,1467916324,121286,4856,8.26,3.31,0.0400,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Malaysia","","",0,36400899,2902872,32024,7974.73,879.76,0.0110,4,59,66,62,0.65,1734,28,0.001,0.001,0.0161,252,427,375,12.13,325429,1109,0.112,0.035,0.0034,427,711,581,58.96,2428491,30288,0.837,0.946,0.0125,711,745,745,18.00,142156,518,0.049,0.016,0.0036,,,,,,,,,
