Admin0,Admin1,Admin2,FIPS,Population,CaseCount,DeathCount,CasesPer100K,DeathsPerM,CFR,Waves,Start,End,Peak,NormalizedPeakValue,CaseCount,DeathCount,Weight,DeathWeight,CFR,Start,End,Peak,NormalizedPeakValue,CaseCount,DeathCount,Weight,DeathWeight,CFR,Start,End,Peak,NormalizedPeakValue,CaseCount,DeathCount,Weight,DeathWeight,CFR,Start,End,Peak,NormalizedPeakValue,CaseCount,DeathCount,Weight,DeathWeight,CFR,Start,End,Peak,NormalizedPeakValue,CaseCount,DeathCount,Weight,DeathWeight,CFR
"Albania","","",0,2877800,203800,3134,7081.80,1089.03,0.0154,4,62,97,91,0.72,625,25,0.003,0.008,0.0398,124,342,322,27.33,56141,1133,0.275,0.361,0.0202,342,493,384,37.67,75602,1291,0.371,0.412,0.0171,540,690,597,30.12,71171,679,0.349,0.217,0.0095,,,,,,,,,
"Andorra","","",0,77265,19524,133,25268.88,1721.35,0.0068,5,169,330,277,129.70,6616,28,0.339,0.209,0.0042,330,403,361,89.87,3434,31,0.176,0.233,0.0090,403,506,435,68.75,2960,17,0.152,0.127,0.0057,506,599,546,40.23,1294,3,0.066,0.023,0.0023,599,690,683,274.25,4438,3,0.227,0.023,0.0007
"Austria","","",0,9006400,1229021,13169,13646.09,1462.18,0.0107,5,47,101,64,7.72,15363,589,0.012,0.045,0.0384,155,376,295,78.49,398172,7091,0.324,0.538,0.0178,376,522,430,35.78,235918,2957,0.192,0.225,0.0125,522,673,668,151.21,455093,1536,0.370,0.117,0.0034,673,690,673,135.58,136028,990,0.111,0.075,0.0073
"Belarus","","",0,9449321,674705,5276,7140.25,558.35,0.0078,4,70,200,114,10.01,68569,585,0.102,0.111,0.0085,200,424,328,20.09,241584,1572,0.358,0.298,0.0065,424,520,484,14.03,104786,945,0.155,0.179,0.0090,520,690,639,21.50,261501,2193,0.388,0.416,0.0084,,,,,,,,,
"Bosnia and Herzegovina","","",0,3280815,281209,12931,8571.32,3941.40,0.0460,5,128,229,189,9.09,19341,511,0.069,0.040,0.0264,229,372,288,47.82,99466,3995,0.354,0.309,0.0402,372,521,432,48.46,84224,5023,0.300,0.388,0.0596,534,627,603,22.63,35609,1257,0.127,0.097,0.0353,627,690,657,24.85,41092,2044,0.146,0.158,0.0498
"Bulgaria","","",0,6948445,715093,29562,10291.41,4254.48,0.0413,5,86,111,94,0.80,1218,58,0.002,0.002,0.0475,134,222,182,3.41,13760,479,0.019,0.016,0.0348,222,364,300,47.83,197173,8044,0.276,0.272,0.0408,364,525,427,52.16,208848,9445,0.292,0.320,0.0452,525,690,644,67.02,293356,11509,0.410,0.389,0.0392
"Croatia","","",0,4105268,654409,11622,15940.71,2831.00,0.0178,5,56,93,67,1.67,1883,53,0.003,0.005,0.0280,151,388,322,85.66,234941,5191,0.359,0.447,0.0221,388,528,450,53.20,123191,2936,0.188,0.253,0.0238,528,673,659,128.63,227982,2358,0.348,0.203,0.0103,673,690,673,112.25,70985,1118,0.108,0.096,0.0157
"Cyprus","","",0,1207360,140905,610,11670.50,505.23,0.0043,5,54,102,73,2.61,835,15,0.006,0.025,0.0179,237,383,346,48.98,30708,191,0.218,0.314,0.0062,383,498,456,68.69,41562,151,0.295,0.248,0.0036,498,622,542,81.91,46997,194,0.334,0.317,0.0041,622,690,680,47.74,20393,55,0.145,0.091,0.0027
"Czech Republic","","",0,10708982,2336000,34459,21813.46,3217.77,0.0148,5,52,101,69,2.42,7544,244,0.003,0.007,0.0324,136,315,277,113.88,522974,8160,0.224,0.237,0.0156,315,371,351,109.02,428134,7399,0.183,0.215,0.0173,371,529,406,112.93,717787,14671,0.307,0.426,0.0204,554,690,674,168.63,663015,4097,0.284,0.119,0.0062
"Denmark","","",0,5946704,560474,3027,9424.95,509.02,0.0054,5,44,157,74,4.94,12812,604,0.023,0.200,0.0471,174,393,330,56.97,193650,1710,0.346,0.565,0.0088,393,519,478,17.43,86777,220,0.155,0.073,0.0025,519,607,569,16.73,63556,100,0.113,0.033,0.0016,607,690,690,105.63,204263,398,0.364,0.131,0.0019
"Estonia","","",0,1326539,228292,1852,17209.60,1396.11,0.0081,5,47,102,71,4.11,1678,54,0.007,0.029,0.0321,130,140,136,0.70,90,2,0.000,0.001,0.0216,191,202,197,0.74,104,-5,0.000,-0.002,-0.0437,207,522,419,109.73,128788,1206,0.564,0.651,0.0094,522,690,647,130.25,97344,583,0.426,0.315,0.0060
"Finland","","",0,5540718,201580,1423,3638.16,256.83,0.0071,5,50,130,76,2.52,6723,317,0.033,0.223,0.0472,224,352,322,8.04,29911,249,0.148,0.175,0.0083,352,505,420,12.51,55768,381,0.277,0.268,0.0068,505,609,567,13.78,44114,100,0.219,0.070,0.0023,609,690,683,23.99,64404,364,0.319,0.256,0.0057
"France","","",0,68450410,8717946,121431,12736.15,1774.00,0.0139,5,47,143,82,10.13,194461,29380,0.022,0.242,0.1511,143,330,287,70.11,2288022,30377,0.262,0.250,0.0133,330,516,432,54.93,3711447,51589,0.426,0.425,0.0139,516,627,568,35.82,1336638,7026,0.153,0.058,0.0053,627,690,690,76.59,1206929,3524,0.138,0.029,0.0029
"Greece","","",0,10423056,1003580,19251,9628.46,1846.96,0.0192,5,60,79,72,0.86,1408,76,0.001,0.004,0.0540,188,356,297,24.62,141633,5117,0.141,0.266,0.0361,356,511,437,28.67,271184,7191,0.270,0.374,0.0265,511,610,578,30.90,224419,2140,0.224,0.111,0.0095,610,690,666,64.31,365376,4685,0.364,0.243,0.0128
"Vatican City","","",0,809,27,0,3337.45,0.00,0.0000,2,36,113,64,61.80,12,0,0.447,0.000,0.0000,254,277,266,187.89,15,0,0.556,0.000,0.0000,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Iceland","","",0,341250,19208,35,5628.72,102.56,0.0018,5,37,96,66,20.18,1789,10,0.093,0.285,0.0056,187,392,262,23.93,4182,19,0.218,0.545,0.0046,519,610,557,33.44,4948,3,0.258,0.087,0.0006,610,673,662,47.16,5666,2,0.295,0.048,0.0003,673,690,673,40.96,2136,0,0.111,0.013,0.0002
"Ireland","","",0,4937796,623688,5793,12630.90,1173.20,0.0093,5,51,135,82,16.43,25043,1670,0.040,0.288,0.0667,186,307,270,22.08,45032,269,0.072,0.046,0.0060,307,503,351,114.54,194457,2915,0.312,0.503,0.0150,503,603,578,36.59,106441,231,0.171,0.040,0.0022,603,690,680,93.96,253812,625,0.407,0.108,0.0025
"Kosovo","","",0,1810366,161200,2987,8904.28,1649.94,0.0185,5,130,245,190,12.79,14156,586,0.088,0.196,0.0414,256,357,302,41.33,40366,759,0.250,0.254,0.0188,357,515,432,50.04,52966,871,0.329,0.292,0.0165,515,534,525,3.13,623,11,0.004,0.004,0.0174,543,676,579,105.87,53177,715,0.330,0.239,0.0134
"Latvia","","",0,1886201,261966,4378,13888.55,2321.07,0.0167,4,54,100,67,1.52,821,15,0.003,0.003,0.0185,240,434,352,50.28,100835,1866,0.385,0.426,0.0185,434,540,473,33.58,36174,647,0.138,0.148,0.0179,540,690,641,128.35,123958,1839,0.473,0.420,0.0148,,,,,,,,,
"Liechtenstein","","",0,38137,5344,67,14012.64,1756.82,0.0125,5,230,306,287,82.12,1075,11,0.201,0.169,0.0105,306,404,335,99.51,1489,44,0.279,0.652,0.0293,404,512,449,26.30,472,3,0.088,0.044,0.0062,512,620,572,26.64,441,0,0.083,0.001,0.0001,620,690,686,155.57,1785,9,0.334,0.136,0.0051
"Lithuania","","",0,2722291,491169,6974,18042.49,2561.81,0.0142,4,57,97,70,1.68,1296,31,0.003,0.004,0.0239,189,405,333,105.83,197537,3205,0.402,0.460,0.0162,405,527,465,43.33,79869,1130,0.163,0.162,0.0142,527,690,644,105.66,212373,2589,0.432,0.371,0.0122,,,,,,,,,
"Luxembourg","","",0,625976,93585,891,14950.25,1423.38,0.0095,5,47,127,64,24.83,3997,110,0.043,0.123,0.0275,225,368,285,104.57,42798,442,0.457,0.496,0.0103,368,507,431,36.32,20896,254,0.223,0.285,0.0122,507,571,532,20.61,4301,10,0.046,0.011,0.0023,571,690,682,61.01,18964,63,0.203,0.071,0.0033
