Admin0,Admin1,Admin2,FIPS,Population,CaseCount,DeathCount,CasesPer100K,DeathsPerM,CFR,Waves,Start,End,Peak,NormalizedPeakValue,CaseCount,DeathCount,Weight,DeathWeight,CFR,Start,End,Peak,NormalizedPeakValue,CaseCount,DeathCount,Weight,DeathWeight,CFR,Start,End,Peak,NormalizedPeakValue,CaseCount,DeathCount,Weight,DeathWeight,CFR,Start,End,Peak,NormalizedPeakValue,CaseCount,DeathCount,Weight,DeathWeight,CFR,Start,End,Peak,NormalizedPeakValue,CaseCount,DeathCount,Weight,DeathWeight,CFR
"Antigua and Barbuda","","",0,97928,4161,117,4249.04,1194.76,0.0281,5,148,165,155,4.78,43,0,0.010,0.000,0.0000,246,287,270,1.14,32,0,0.008,0.000,0.0000,324,464,393,23.42,1084,28,0.261,0.237,0.0256,471,490,481,1.89,25,10,0.006,0.085,0.3988,539,690,616,71.22,2895,75,0.696,0.641,0.0259
"Bahamas","","",0,393248,22883,709,5818.97,1802.93,0.0310,5,68,80,75,0.63,30,7,0.001,0.010,0.2340,86,94,91,0.67,21,2,0.001,0.003,0.0947,171,361,270,25.84,7936,164,0.347,0.231,0.0207,361,508,460,16.11,4104,62,0.179,0.087,0.0151,508,690,579,31.87,10770,473,0.471,0.668,0.0440
"Barbados","","",0,287371,26780,251,9318.96,873.44,0.0094,5,57,81,71,1.22,65,4,0.002,0.016,0.0603,188,208,193,0.98,41,0,0.002,0.000,0.0000,304,319,310,0.76,30,0,0.001,0.000,0.0000,325,501,391,30.41,3737,40,0.140,0.160,0.0107,513,690,644,120.77,22740,204,0.849,0.815,0.0090
"Belize","","",0,397621,31056,586,7810.45,1473.77,0.0189,3,190,427,318,69.49,12359,315,0.398,0.537,0.0255,427,470,455,2.21,275,7,0.009,0.011,0.0239,470,690,632,67.10,18378,264,0.592,0.450,0.0143,,,,,,,,,,,,,,,,,,
"Costa Rica","","",0,5094114,568032,7333,11150.75,1439.50,0.0129,3,131,406,242,23.55,204649,2811,0.360,0.383,0.0137,406,540,477,47.49,181894,2030,0.320,0.277,0.0112,540,690,592,47.58,182105,2501,0.321,0.341,0.0137,,,,,,,,,,,,,,,,,,
"Cuba","","",0,11326616,963640,8313,8507.75,733.94,0.0086,2,236,240,238,0.51,286,4,0.000,0.001,0.0154,310,690,576,81.32,955566,8180,0.992,0.984,0.0086,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Dominica","","",0,71991,6238,42,8664.97,583.41,0.0067,5,58,76,63,1.67,14,0,0.002,0.000,0.0000,272,315,287,2.74,51,0,0.008,0.000,0.0000,344,379,351,2.99,32,0,0.005,0.000,0.0000,384,419,391,2.13,34,0,0.005,0.000,0.0000,529,690,600,99.11,6045,42,0.969,1.008,0.0070
"Dominican Republic","","",0,10847904,410283,4218,3782.14,388.83,0.0103,4,60,272,187,13.16,121900,2201,0.297,0.522,0.0181,272,434,361,15.09,131230,1122,0.320,0.266,0.0085,434,582,497,11.87,96364,685,0.235,0.162,0.0071,582,690,661,9.96,61635,217,0.150,0.052,0.0035,,,,,,,,,
"El Salvador","","",0,6486201,120805,3795,1862.49,585.09,0.0314,4,101,241,197,6.44,27115,796,0.224,0.210,0.0293,241,436,359,4.87,37554,1214,0.311,0.320,0.0323,436,471,447,3.07,5266,135,0.044,0.036,0.0256,471,690,655,6.35,50810,1651,0.421,0.435,0.0325,,,,,,,,,
"Grenada","","",0,112519,5915,200,5256.89,1777.48,0.0338,5,319,346,328,4.80,84,0,0.014,0.002,0.0054,353,371,358,1.06,19,0,0.003,0.000,0.0032,559,659,604,186.33,5698,199,0.963,0.994,0.0349,663,683,677,2.25,41,0,0.007,0.000,0.0015,683,690,683,1.68,12,0,0.002,0.000,0.0000
