Admin0,Admin1,Admin2,FIPS,Population,CaseCount,DeathCount,CasesPer100K,DeathsPerM,CFR,Waves,Start,End,Peak,NormalizedPeakValue,CaseCount,DeathCount,Weight,DeathWeight,CFR,Start,End,Peak,NormalizedPeakValue,CaseCount,DeathCount,Weight,DeathWeight,CFR,Start,End,Peak,NormalizedPeakValue,CaseCount,DeathCount,Weight,DeathWeight,CFR,Start,End,Peak,NormalizedPeakValue,CaseCount,DeathCount,Weight,DeathWeight,CFR,Start,End,Peak,NormalizedPeakValue,CaseCount,DeathCount,Weight,DeathWeight,CFR
"Argentina","","",0,45195777,5358551,116772,11856.31,2583.69,0.0218,4,109,322,271,32.03,1471739,39931,0.275,0.342,0.0271,322,398,354,25.12,605833,11402,0.113,0.098,0.0188,398,638,492,69.49,3205392,64430,0.598,0.552,0.0201,638,690,689,5.44,82318,1017,0.015,0.009,0.0123,,,,,,,,,
"Bolivia","","",0,11673029,552862,19315,4736.23,1654.67,0.0349,4,94,294,178,13.57,142014,8774,0.257,0.454,0.0618,294,419,371,18.23,118428,3181,0.214,0.165,0.0269,419,610,490,24.75,237884,6711,0.430,0.347,0.0282,610,690,690,12.60,54894,638,0.099,0.033,0.0116,,,,,,,,,
"Ecuador","","",0,17643059,532828,33560,3020.04,1902.16,0.0630,5,57,107,93,9.33,29783,1816,0.056,0.054,0.0610,128,225,200,6.13,76656,3987,0.144,0.119,0.0520,231,325,277,6.97,86555,4479,0.162,0.133,0.0517,325,627,466,11.56,311213,19000,0.584,0.566,0.0611,627,690,690,4.52,21119,723,0.040,0.022,0.0343
"Paraguay","","",0,7132530,463672,16501,6500.81,2313.48,0.0356,5,105,108,107,0.54,152,0,0.000,0.000,0.0012,151,286,229,11.21,63333,1425,0.137,0.086,0.0225,286,341,330,12.30,41359,781,0.089,0.047,0.0189,341,607,488,40.74,354763,13941,0.765,0.845,0.0393,632,690,677,1.20,3355,290,0.007,0.018,0.0865
"Uruguay","","",0,3473727,402532,6144,11587.90,1768.71,0.0153,5,58,69,64,0.63,242,2,0.001,0.000,0.0087,183,184,183,0.50,35,0,0.000,0.000,0.0129,252,380,357,24.83,42197,429,0.105,0.070,0.0102,380,584,491,106.07,340937,5558,0.847,0.905,0.0163,584,690,682,6.65,17976,119,0.045,0.019,0.0066
"Venezuela","","",0,28435943,438567,5239,1542.30,184.24,0.0119,4,150,329,228,3.82,105049,938,0.240,0.179,0.0089,329,466,438,4.71,91376,1207,0.208,0.230,0.0132,466,566,501,4.82,115752,1576,0.264,0.301,0.0136,566,690,621,5.32,125126,1524,0.285,0.291,0.0122,,,,,,,,,
"Brazil","","",0,211029058,22170009,616181,10505.67,2919.89,0.0278,3,72,274,187,21.51,5306821,155094,0.239,0.252,0.0292,274,469,427,35.95,9635425,258733,0.435,0.420,0.0269,469,690,514,35.03,7302852,204631,0.329,0.332,0.0280,,,,,,,,,,,,,,,,,,
"Colombia","","",0,48334716,5117652,129908,10587.94,2687.67,0.0254,4,93,250,204,23.15,836836,26220,0.164,0.202,0.0313,250,406,359,35.35,1451461,34626,0.284,0.267,0.0239,406,623,520,62.05,2707206,66527,0.529,0.512,0.0246,623,690,672,5.05,128859,2647,0.025,0.020,0.0205,,,,,,,,,
"Chile","","",0,18184310,1776952,38596,9771.90,2122.49,0.0217,4,58,292,146,49.02,520072,14559,0.293,0.377,0.0280,292,471,444,39.22,714501,12461,0.402,0.323,0.0174,471,595,499,39.63,412004,10238,0.232,0.265,0.0248,595,690,661,13.43,137169,1493,0.077,0.039,0.0109,,,,,,,,,
"Peru","","",0,33052791,2390175,220100,7231.39,6659.04,0.0921,4,69,165,127,63.33,437336,58856,0.183,0.267,0.1346,165,323,212,24.69,678851,50369,0.284,0.229,0.0742,323,626,443,26.87,1207014,109276,0.505,0.496,0.0905,626,690,690,4.96,71629,2146,0.030,0.010,0.0300,,,,,,,,,
